drug,dose_mg_kg,15,30,60,90
brotizolam,2.0,0.0,0.2,0.2,0.1
brotizolam,5.0,0.2,0.4,0.4,0.2
brotizolam,10.0,0.5,0.6,0.7,0.5
brotizolam,20.0,0.6,0.6,0.9,0.5
diazepam,2.0,0.1,0.3,0.4,0.3
diazepam,5.0,0.2,0.4,0.5,0.4
diazepam,10.0,0.4,0.7,0.9,0.8
diazepam,20.0,0.9,1.0,1.0,0.9
lormetazepam,2.0,0.1,0.4,0.4,0.0
lormetazepam,5.0,0.2,0.5,0.6,0.2
lormetazepam,10.0,0.7,0.9,0.9,0.5
lormetazepam,20.0,0.9,1.0,1.0,0.9
rilmazafone,5.0,0.1,0.2,0.2,0.2
rilmazafone,10.0,0.3,0.5,0.5,0.2
rilmazafone,20.0,0.6,0.7,0.8,0.4
rilmazafone,30.0,0.8,0.9,0.9,0.6
triazolam,0.5,0.2,0.3,0.3,0.9
triazolam,1.0,0.3,0.4,0.4,0.2
triazolam,2.0,0.5,0.8,0.7,0.5
triazolam,5.0,0.8,0.9,0.9,0.4
