study_id,drug,dose_mg_kg,time_min,n_positive,n_total,failure_fraction,administration_route,species,strain,sex,rotarod_rpm,trial_duration_sec,source_table,source_reference,vehicle,administration_volume_ml_kg,positive_event,source_anomaly
Nishino2008,diazepam,2.0,15,1,10,0.1,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,2.0,30,3,10,0.3,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,2.0,60,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,2.0,90,3,10,0.3,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,5.0,15,2,10,0.2,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,5.0,30,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,5.0,60,5,10,0.5,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,5.0,90,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,10.0,15,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,10.0,30,7,10,0.7,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,10.0,60,9,10,0.9,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,10.0,90,8,10,0.8,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,20.0,15,9,10,0.9,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,20.0,30,10,10,1.0,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,20.0,60,10,10,1.0,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,diazepam,20.0,90,9,10,0.9,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,0.5,15,2,10,0.2,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,0.5,30,3,10,0.3,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,0.5,60,3,10,0.3,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,0.5,90,9,10,0.9,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,published 9/10 without significance marker; retained verbatim
Nishino2008,triazolam,1.0,15,3,10,0.3,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,1.0,30,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,1.0,60,4,10,0.4,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,1.0,90,2,10,0.2,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
Nishino2008,triazolam,2.0,15,5,10,0.5,oral,Mus musculus,ICR,male,15,180,"Table 1, p353",https://doi.org/10.1254/jphs.08107FP,0.5% carboxymethylcellulose sodium,10,fall within 180 seconds,
