structural_feature,clinical_term,secondary,spearman_rho,n_effective,status,included_drugs,excluded_drugs
F01,Ataxia,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F01,Balance disorder,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F01,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F01,Gait disturbance,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F02,Ataxia,True,0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F02,Balance disorder,True,1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F02,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F02,Gait disturbance,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F03,Ataxia,True,-0.9486832980505139,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F03,Balance disorder,True,-0.632455532033676,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F03,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F03,Gait disturbance,True,-0.9486832980505139,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F04,Ataxia,True,0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F04,Balance disorder,True,1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F04,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F04,Gait disturbance,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F05,Ataxia,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F05,Balance disorder,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F05,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F05,Gait disturbance,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F06,Ataxia,True,-0.19999999999999998,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F06,Balance disorder,True,-0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F06,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F06,Gait disturbance,True,-0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F07,Ataxia,True,0.9486832980505139,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F07,Balance disorder,True,0.632455532033676,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F07,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F07,Gait disturbance,True,0.9486832980505139,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F08,Ataxia,True,-0.7378647873726218,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F08,Balance disorder,True,-0.21081851067789195,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
