drug,receptor,seed,n_poses,sha256,source_pdbqt,reused
diazepam,alpha1,2026091901,9,7c721834305bf82efd117d7106c6be989dc14d09d9dbef6fb9c9dfb87fcb75bf,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,True
diazepam,alpha1,2026091902,9,6112b0cafbea1fc4f3a221249de0bee208a253d3af11cb9b857d3ce6120814cd,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,True
diazepam,alpha1,2026091903,9,0e91ffa482590ec9f9c2fa537cb983530101623642ac84d82352de6eeead8016,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,True
diazepam,alpha1,2026091904,9,449845d96e94ff6b5ba4190e273d7a2ddc8f4319b01d076af46094862051581c,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,True
diazepam,alpha1,2026091905,9,d723c44be1583e254703352c34d9a58cc313d9642a8eab66f00bde9b23166668,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,True
diazepam,alpha2,2026091901,9,a9aec37adf92854351c2320326fc1d5789c05e83c0d0b45570d99a0565617317,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,True
diazepam,alpha2,2026091902,9,b076f0b29ce3e861683e915b66598d5df8138ccba92231a5fe4a817f7137b321,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,True
diazepam,alpha2,2026091903,9,da2ce0948f9fb13f1998cc0e3003d0f8e28b8d53f2b9fdc5b27937916ac7e819,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,True
diazepam,alpha2,2026091904,9,10a8e3630d6ec7b513f812ab20459414e09da6aa30294363945d214d1003ed0a,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,True
diazepam,alpha2,2026091905,9,ffa2a0f307f9231f5f6330766d4dcdf3a9d70983c65fa93069d377d7558515ed,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,True
triazolam,alpha1,2026091901,9,6b70a5239ec8a8955987cbbd58e5518ef52a4ce0cff4de84728219f4ab0a1bc7,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,True
triazolam,alpha1,2026091902,8,f0a43b352acf35cf65740742a33b27ff2da367104cec48f246b5b9ea65748911,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091902/poses.pdbqt,True
triazolam,alpha1,2026091903,8,ffe1ef8702dfd7a66fddeed924b042ae1d5357b3b8c40820348341217cbdbe51,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091903/poses.pdbqt,True
triazolam,alpha1,2026091904,9,e41b64461842d6850a1ac041d85a7332a1da8307f689f2310463ec0a0ac454f4,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091904/poses.pdbqt,True
triazolam,alpha1,2026091905,6,220ad5d1a532320add01f42aab473ec3ca6df21d60d22ca21901b2c35f3e4902,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091905/poses.pdbqt,True
triazolam,alpha2,2026091901,9,b21084a7dcaa60b65101bb94f0a4b44f9dc3a84edf2b127d1b6d2f196bfce02f,raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091901/poses.pdbqt,True
triazolam,alpha2,2026091902,9,7e918c466723a85ee43fce3c756dc8a9385272207b183958791337ca08f83bca,raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091902/poses.pdbqt,True
triazolam,alpha2,2026091903,9,3206a8933b78a207e05618f24de340fcb88d3eadad72585b703dd9ca00e8bf82,raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091903/poses.pdbqt,True
triazolam,alpha2,2026091904,9,8b2c066335eb605da2ea9db30fd56e3b75d350c6a1a0bd203196e32331f92b99,raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091904/poses.pdbqt,True
triazolam,alpha2,2026091905,9,57d51779b10014fd90c3910bf5947335906bf91847ef875c9059c5953cd17520,raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091905/poses.pdbqt,True
brotizolam,alpha1,2026091901,9,3fafdfa9f7c1af0b925a7e5c25168e4115acba0ee8d83a9fe56547fbb017740c,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091901/poses.pdbqt,False
brotizolam,alpha1,2026091902,9,6d65bae5f4c0d2d105638664cb0c02c8d1c2c8e3ffadda55cacbc9935b5584b8,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091902/poses.pdbqt,False
brotizolam,alpha1,2026091903,9,3b0be139f18fcd00b1782aab7614f1ed4be67d9905a546280989f3b134f62b6a,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091903/poses.pdbqt,False
brotizolam,alpha1,2026091904,9,ad985db1b820af79203716c1ad092d3996328ff6acb5459e2e8e686dab6b95c5,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091904/poses.pdbqt,False
brotizolam,alpha1,2026091905,9,5af3bbdff4344b99cb8ea6d40ea1d048d8dd9ba72264cd0a22ffce938670b81d,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091905/poses.pdbqt,False
brotizolam,alpha2,2026091901,9,ad210a8d0e3a5579493482c30414a86e107389449be341a9f38f93b3cecb75da,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091901/poses.pdbqt,False
brotizolam,alpha2,2026091902,8,c404c7fe0a4d122055e013fd21c3d99e10d7bd6f8630a3ccbff6d9bf2f0ebf45,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091902/poses.pdbqt,False
brotizolam,alpha2,2026091903,9,6e98c0ba7430ac96e146d311946bfdbb98df8ca3fc91f71f85837d4adef61f21,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091903/poses.pdbqt,False
brotizolam,alpha2,2026091904,9,aaa4177e9b15e9bcb0d6a1c3bab38fea72f8e3b2e06e85d248e01b3cebd874ee,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091904/poses.pdbqt,False
brotizolam,alpha2,2026091905,9,48ed1ab40568b75f228e9dbd7d83b4290fc6e6fe498066d150bf4230c3bb2de0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091905/poses.pdbqt,False
lormetazepam,alpha1,2026091901,9,04900879ba71ed3d9ffc7167e73f25e2f5619480982d193d9a4317351bad9a7e,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091901/poses.pdbqt,False
lormetazepam,alpha1,2026091902,9,9b9611baaa0e54a7f731f3e3499a6fe3d09edd49fa7e37db67da201d02409384,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091902/poses.pdbqt,False
lormetazepam,alpha1,2026091903,9,5341f9a15fdc4534bac352493379f998e16be545fe49ac51b2f8be80f3479338,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091903/poses.pdbqt,False
lormetazepam,alpha1,2026091904,9,0c3cd60cf33efbb668bdfca4e4ff6b60cd259eef5cf39dab7959d94d9641b82c,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091904/poses.pdbqt,False
