drug_id,receptor,seed,started_at,finished_at,returncode,n_poses,status,receptor_sha256,ligand_sha256,command,output_sha256
brotizolam,alpha1,2026091901,2026-09-20T18:42:16.776216+09:00,2026-09-20T18:42:23.788416+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha1/2026091901/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091901""]",3fafdfa9f7c1af0b925a7e5c25168e4115acba0ee8d83a9fe56547fbb017740c
brotizolam,alpha1,2026091902,2026-09-20T18:42:16.775390+09:00,2026-09-20T18:42:23.928514+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha1/2026091902/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091902""]",6d65bae5f4c0d2d105638664cb0c02c8d1c2c8e3ffadda55cacbc9935b5584b8
brotizolam,alpha1,2026091903,2026-09-20T18:42:16.773006+09:00,2026-09-20T18:42:24.064565+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha1/2026091903/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091903""]",3b0be139f18fcd00b1782aab7614f1ed4be67d9905a546280989f3b134f62b6a
brotizolam,alpha1,2026091904,2026-09-20T18:42:16.778522+09:00,2026-09-20T18:42:23.921880+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha1/2026091904/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091904""]",ad985db1b820af79203716c1ad092d3996328ff6acb5459e2e8e686dab6b95c5
brotizolam,alpha1,2026091905,2026-09-20T18:42:23.790872+09:00,2026-09-20T18:42:30.555713+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha1/2026091905/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091905""]",5af3bbdff4344b99cb8ea6d40ea1d048d8dd9ba72264cd0a22ffce938670b81d
brotizolam,alpha2,2026091901,2026-09-20T18:42:23.924260+09:00,2026-09-20T18:42:31.725759+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha2/2026091901/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091901""]",ad210a8d0e3a5579493482c30414a86e107389449be341a9f38f93b3cecb75da
brotizolam,alpha2,2026091902,2026-09-20T18:42:23.930871+09:00,2026-09-20T18:42:31.741875+09:00,0,8,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha2/2026091902/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091902""]",c404c7fe0a4d122055e013fd21c3d99e10d7bd6f8630a3ccbff6d9bf2f0ebf45
brotizolam,alpha2,2026091903,2026-09-20T18:42:24.068595+09:00,2026-09-20T18:42:31.840133+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha2/2026091903/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091903""]",6e98c0ba7430ac96e146d311946bfdbb98df8ca3fc91f71f85837d4adef61f21
brotizolam,alpha2,2026091904,2026-09-20T18:42:30.558437+09:00,2026-09-20T18:42:38.315675+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha2/2026091904/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091904""]",aaa4177e9b15e9bcb0d6a1c3bab38fea72f8e3b2e06e85d248e01b3cebd874ee
brotizolam,alpha2,2026091905,2026-09-20T18:42:31.727472+09:00,2026-09-20T18:42:39.682100+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/brotizolam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/brotizolam/alpha2/2026091905/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091905""]",48ed1ab40568b75f228e9dbd7d83b4290fc6e6fe498066d150bf4230c3bb2de0
