drug_id,input_drug_name,molecule_chembl_id,preferred_name,canonical_smiles,standard_inchikey,target_chembl_id,target_name,target_type,target_class,receptor_subtype,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,organism,document_chembl_id,reference,source,src_id,activity_id,record_id,api_retrieved_at,chembl_version
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL680686,B,IC50,=,12.0,nM,7.92,Rattus norvegicus,CHEMBL1124980,CHEMBL1124980 J Med Chem 1990,LITERATURE,1,90762,172969,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL652369,B,IC50,=,6.0,nM,8.22,Rattus norvegicus,CHEMBL1125882,CHEMBL1125882 J Med Chem 1991,LITERATURE,1,116266,82318,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL654242,B,IC50,=,25.0,nM,7.6,Bos taurus,CHEMBL1124214,CHEMBL1124214 J Med Chem 1988,LITERATURE,1,119027,189552,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL650280,B,Ki,=,5.02,nM,8.3,Rattus norvegicus,CHEMBL1124689,CHEMBL1124689 J Med Chem 1989,LITERATURE,1,139849,25089,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL678606,B,IC50,=,74000.0,nM,4.13,Homo sapiens,CHEMBL1153654,CHEMBL1153654 Bioorg Med Chem Lett 1993,LITERATURE,1,177698,100581,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094133,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL650542,B,IC50,=,12.0,nM,7.92,Mus musculus,CHEMBL1153654,CHEMBL1153654 Bioorg Med Chem Lett 1993,LITERATURE,1,177699,100581,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL680646,B,IC50,=,28.0,nM,7.55,Rattus norvegicus,CHEMBL1128598,CHEMBL1128598 J Med Chem 1995,LITERATURE,1,215667,105126,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL680647,B,IC50,=,13.0,nM,7.89,Rattus norvegicus,CHEMBL1128598,CHEMBL1128598 J Med Chem 1995,LITERATURE,1,215668,105126,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL842879,B,GS,=,2.2,,,Rattus norvegicus,CHEMBL1128598,CHEMBL1128598 J Med Chem 1995,LITERATURE,1,215671,105126,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL652733,B,Ki,=,14.0,nM,7.85,Rattus norvegicus,CHEMBL1125084,CHEMBL1125084 J Med Chem 1990,LITERATURE,1,217244,161992,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
