drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,gamma_subtype,target_name,target_organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id,assay_description,document_journal,document_year,source_src_id
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Ki,=,13.0,nM,7.89,CHEMBL677024,B,CHEMBL1129282,351492,81572,Displacement of [3H]Flunitrazepam from GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in Sf9 cells,J Med Chem,1996,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Ki,=,12.0,nM,7.92,CHEMBL677847,B,CHEMBL1133060,442386,43833,Binding affinity evaluated by ability to displace [3H]Ro-151788 from recombinant human Gamma-aminobutyric acid A receptor alpha-1-beta-2-gamma-2 expressed in L(tk-)cells,Bioorg Med Chem Lett,2000,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,6.6,nM,8.18,CHEMBL682708,B,CHEMBL1133060,442387,43833,Binding affinity evaluated by ability to displace [3H]-Ro-15-1788 from recombinant human Gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 expressed in L(tk-)cells,Bioorg Med Chem Lett,2000,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Efficacy,=,157.0,%,,CHEMBL679559,F,CHEMBL1133060,442389,43833,Ability to affect GABA-induced chloride current in Xenopus oocytes transiently expressing human GABA-A alpha-1-beta-2-gamma-2 receptors using two-electrode voltage-clamp electrophysiology at test concentration of 1 uM,Bioorg Med Chem Lett,2000,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,14.0,nM,7.85,CHEMBL678329,B,CHEMBL1132940,599580,343985,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,J Med Chem,2000,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,20.0,nM,7.70,CHEMBL681248,B,CHEMBL1132940,599581,343985,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,J Med Chem,2000,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,14.0,nM,7.85,CHEMBL676826,B,CHEMBL1149126,604850,88525,Binding affinity for human GABA-A receptor alpha-4-beta-3-gamma-2 subunits in L(tk-) cells,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,20.0,nM,7.70,CHEMBL681841,B,CHEMBL1149126,604851,88525,Binding affinity for human GABA-A receptor alpha-2-beta-3-gamma-2 subunits in L(tk-) cells,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,14.3,nM,7.84,CHEMBL677034,B,CHEMBL1148356,667544,230415,Binding affinity towards human alpha-1-beta-3-gamma-2 GABA-A receptor using [3H]Ro-151788 expressed in L(tk-) cells,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,156.0,%,,CHEMBL677030,F,CHEMBL1148356,667545,230415,Percent change in electrophysiological response in Xenopus oocytes expressing alpha-1-beta-3-gamma-2 GABA-A receptor,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,26.2,nM,7.58,CHEMBL682709,B,CHEMBL1148356,667546,230415,Binding affinity towards human gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 using [3H]Ro-151788 expressed in L(tk-) cells,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Efficacy,=,89.0,%,,CHEMBL680445,F,CHEMBL1148356,667547,230415,Percent change in electrophysiological response in Xenopus oocytes expressing alpha-2-beta-3-gamma-2 GABA-A receptor,J Med Chem,2004,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Activity,=,1.0,,,CHEMBL677789,F,CHEMBL1129735,701712,275620,In vitro efficacy for GABA-A alpha-1-beta-2-gamma-2 subtype expressed in A293 cells in Cl- current assay,J Med Chem,1996,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Change in Cl- current,=,1.0,,,CHEMBL681630,F,CHEMBL1132620,1145123,15634,In vitro GABA-mediated chloride current in A293 cells expressing GABA-A benzodiazepine receptor alpha-1-beta-2-gamma-2 subunits at 5 uM,J Med Chem,1999,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,13.0,nM,7.89,CHEMBL829006,B,CHEMBL1142695,1412501,363168,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,6.6,nM,8.18,CHEMBL829005,B,CHEMBL1142695,1412502,363168,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
