evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:0,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,12.0,,,nM,CHEMBL680686,CHEMBL1124980,,,CHEMBL1124980 J Med Chem 1990,ChEMBL,90762,,,,,,False
chembl:1,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,6.0,,,nM,CHEMBL652369,CHEMBL1125882,,,CHEMBL1125882 J Med Chem 1991,ChEMBL,116266,,,,,,False
chembl:2,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Bos taurus,IC50,25.0,,,nM,CHEMBL654242,CHEMBL1124214,,,CHEMBL1124214 J Med Chem 1988,ChEMBL,119027,,,,,,False
chembl:3,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,5.02,,,nM,CHEMBL650280,CHEMBL1124689,,,CHEMBL1124689 J Med Chem 1989,ChEMBL,139849,,,,,,False
chembl:4,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Homo sapiens,IC50,74000.0,,,nM,CHEMBL678606,CHEMBL1153654,,,CHEMBL1153654 Bioorg Med Chem Lett 1993,ChEMBL,177698,,,,,,False
chembl:5,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2094133,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Mus musculus,IC50,12.0,,,nM,CHEMBL650542,CHEMBL1153654,,,CHEMBL1153654 Bioorg Med Chem Lett 1993,ChEMBL,177699,,,,,,False
chembl:6,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,28.0,,,nM,CHEMBL680646,CHEMBL1128598,,,CHEMBL1128598 J Med Chem 1995,ChEMBL,215667,,,,,,False
chembl:7,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,13.0,,,nM,CHEMBL680647,CHEMBL1128598,,,CHEMBL1128598 J Med Chem 1995,ChEMBL,215668,,,,,,False
chembl:8,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GS,2.2,,,,CHEMBL842879,CHEMBL1128598,,,CHEMBL1128598 J Med Chem 1995,ChEMBL,215671,,,,,,False
chembl:9,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,14.0,,,nM,CHEMBL652733,CHEMBL1125084,,,CHEMBL1125084 J Med Chem 1990,ChEMBL,217244,,,,,,False
chembl:10,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,1000.0,,,nM,CHEMBL651108,CHEMBL1127014,,,CHEMBL1127014 J Med Chem 1993,ChEMBL,234637,,,,,,False
chembl:11,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,6.6,,,nM,CHEMBL647210,CHEMBL1127014,,,CHEMBL1127014 J Med Chem 1993,ChEMBL,234638,,,,,,False
chembl:12,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA shift,2.24,,,,CHEMBL841639,CHEMBL1127014,,,CHEMBL1127014 J Med Chem 1993,ChEMBL,234639,,,,,,False
chembl:13,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Homo sapiens,IC50,123594743.34,,,nM,CHEMBL650082,CHEMBL1128247,,,CHEMBL1128247 J Med Chem 1995,ChEMBL,286330,,,,,,False
chembl:14,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,16.0,,,nM,CHEMBL822941,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320285,alpha1,beta2,gamma2,,,False
chembl:15,diazepam,Diazepam,CHEMBL12,,alpha3/beta2/gamma2,CHEMBL2111343,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,17.0,,,nM,CHEMBL823756,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320286,alpha3,beta2,gamma2,,,False
chembl:16,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,10000.0,,,nM,CHEMBL824042,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320289,alpha6,beta2,gamma2,,,False
chembl:17,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,10000.0,,,nM,CHEMBL822942,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320290,alpha1,beta2,gamma2,,,False
