drug_id,input_drug_name,molecule_chembl_id,preferred_name,canonical_smiles,standard_inchikey,molecule_type,chirality,parent_chembl_id,active_chembl_id,salt_or_multicomponent,stereo_note,match_status,match_method,candidate_count,api_retrieved_at,chembl_version
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,Small molecule,2,CHEMBL12,CHEMBL12,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
lorazepam,Lorazepam,CHEMBL580,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,Small molecule,0,CHEMBL580,CHEMBL580,False,,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
clonazepam,Clonazepam,CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,DGBIGWXXNGSACT-UHFFFAOYSA-N,Small molecule,2,CHEMBL452,CHEMBL452,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
alprazolam,Alprazolam,CHEMBL661,ALPRAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,Small molecule,2,CHEMBL661,CHEMBL661,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
midazolam,Midazolam,CHEMBL655,MIDAZOLAM,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,Small molecule,2,CHEMBL655,CHEMBL655,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
temazepam,Temazepam,CHEMBL967,TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,SEQDDYPDSLOBDC-UHFFFAOYSA-N,Small molecule,0,CHEMBL967,CHEMBL967,False,,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
triazolam,Triazolam,CHEMBL646,TRIAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,JOFWLTCLBGQGBO-UHFFFAOYSA-N,Small molecule,2,CHEMBL646,CHEMBL646,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
zolpidem,Zolpidem,CHEMBL911,ZOLPIDEM,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB-UHFFFAOYSA-N,Small molecule,2,CHEMBL911,CHEMBL911,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
zopiclone,Zopiclone,CHEMBL135400,ZOPICLONE,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,GBBSUAFBMRNDJC-UHFFFAOYSA-N,Small molecule,0,CHEMBL135400,CHEMBL135400,False,,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
zaleplon,Zaleplon,CHEMBL1521,ZALEPLON,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,HUNXMJYCHXQEGX-UHFFFAOYSA-N,Small molecule,2,CHEMBL1521,CHEMBL1521,False,chirality=2,matched,exact_preferred_name,1,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
