target_chembl_id,target_name,target_type,organism,receptor_subtype,target_class
CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Homo sapiens,alpha1,subunit_specific
CHEMBL1920,Gamma-aminobutyric acid receptor subunit beta-2,SINGLE PROTEIN,Homo sapiens,beta2,subunit_specific
CHEMBL2472,Gamma-aminobutyric acid receptor subunit alpha-4,SINGLE PROTEIN,Homo sapiens,alpha4,subunit_specific
CHEMBL4558,Gamma-aminobutyric acid receptor subunit beta-1,SINGLE PROTEIN,Homo sapiens,beta1,subunit_specific
CHEMBL3591,Gamma-aminobutyric acid receptor subunit delta,SINGLE PROTEIN,Homo sapiens,delta,subunit_specific
CHEMBL3139,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Mus musculus,alpha1,subunit_specific
CHEMBL292,Gamma-aminobutyric acid receptor subunit alpha-4,SINGLE PROTEIN,Rattus norvegicus,alpha4,subunit_specific
CHEMBL5112,Gamma-aminobutyric acid receptor subunit alpha-5,SINGLE PROTEIN,Homo sapiens,alpha5,subunit_specific
CHEMBL2579,Gamma-aminobutyric acid receptor subunit alpha-6,SINGLE PROTEIN,Homo sapiens,alpha6,subunit_specific
CHEMBL293,Gamma-aminobutyric acid receptor subunit alpha-6,SINGLE PROTEIN,Rattus norvegicus,alpha6,subunit_specific
CHEMBL296,Gamma-aminobutyric acid receptor subunit gamma-1,SINGLE PROTEIN,Rattus norvegicus,gamma1,subunit_specific
CHEMBL300,Gamma-aminobutyric acid receptor subunit alpha-5,SINGLE PROTEIN,Rattus norvegicus,alpha5,subunit_specific
CHEMBL1847,Gamma-aminobutyric acid receptor subunit beta-3,SINGLE PROTEIN,Homo sapiens,beta3,subunit_specific
CHEMBL2304,Gamma-aminobutyric acid receptor subunit alpha-5,SINGLE PROTEIN,Mus musculus,alpha5,subunit_specific
CHEMBL3026,Gamma-aminobutyric acid receptor subunit alpha-3,SINGLE PROTEIN,Homo sapiens,alpha3,subunit_specific
CHEMBL328,Gamma-aminobutyric acid receptor subunit alpha-3,SINGLE PROTEIN,Rattus norvegicus,alpha3,subunit_specific
CHEMBL4956,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,Homo sapiens,alpha2,subunit_specific
CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,Rattus norvegicus,alpha2,subunit_specific
CHEMBL343,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Rattus norvegicus,alpha1,subunit_specific
CHEMBL3430899,Gamma-aminobutyric acid receptor subunit alpha-4/beta3/delta,PROTEIN COMPLEX,Homo sapiens,alpha4/beta3/delta,composite_target
CHEMBL3883322,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2/beta3/gamma2,composite_target
CHEMBL3885570,Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1,PROTEIN COMPLEX,Homo sapiens,alpha1/beta1,composite_target
CHEMBL3885571,Gamma-aminobutyric acid receptor subunit alpha-2/beta-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta2,composite_target
CHEMBL3885572,Gamma-aminobutyric acid receptor subunit alpha-3/ beta-2,PROTEIN COMPLEX,Homo sapiens,alpha3/beta2,composite_target
CHEMBL3885573,Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3,PROTEIN COMPLEX,Homo sapiens,alpha3/beta3/gamma3,composite_target
CHEMBL3885574,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha3/beta3,composite_target
CHEMBL3885575,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3/theta,PROTEIN COMPLEX,Homo sapiens,alpha3/beta3/theta,composite_target
CHEMBL3885576,Gamma-aminobutyric acid receptor subunit alpha-5/beta-2,PROTEIN COMPLEX,Homo sapiens,alpha5/beta2,composite_target
CHEMBL3885577,Gamma-aminobutyric acid receptor subunit alpha-5/beta-3/gamma-3,PROTEIN COMPLEX,Homo sapiens,alpha5/beta3/gamma3,composite_target
CHEMBL3885578,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha6/beta3,composite_target
CHEMBL4296044,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/delta,PROTEIN COMPLEX,Homo sapiens,alpha1/beta2/delta,composite_target
CHEMBL4296045,Gamma-aminobutyric acid receptor subunit beta-1/beta-2,PROTEIN COMPLEX,Homo sapiens,beta1/beta2,composite_target
