drug_id,input_drug_name,molecule_chembl_id,target_alpha1_chembl_id,target_alpha2_chembl_id,alpha1_assay_chembl_id,alpha2_assay_chembl_id,alpha1_document_chembl_id,alpha2_document_chembl_id,same_document,same_standard_type,same_unit,pair_priority,pair_basis,standard_type,alpha1_standard_relation,alpha2_standard_relation,alpha1_standard_value,alpha2_standard_value,standard_units,alpha1_pchembl_value,alpha2_pchembl_value,ki_alpha2_over_alpha1,chembl_version,api_retrieved_at,pair_rank
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL681248,CHEMBL1132940,CHEMBL1132940,True,True,True,1,same_document_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,1
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL919088,CHEMBL1139460,CHEMBL1139460,True,True,True,1,same_document_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,2
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL829005,CHEMBL1142695,CHEMBL1142695,True,True,True,1,same_document_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,3
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL682709,CHEMBL1148356,CHEMBL1148356,True,True,True,1,same_document_standard_type_unit,Ki,=,=,14.3,26.2,nM,7.84,7.58,1.832167832167832,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,4
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL864003,CHEMBL1148587,CHEMBL1148587,True,True,True,1,same_document_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,5
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL681841,CHEMBL1149126,CHEMBL1149126,True,True,True,1,same_document_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,6
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL853070,CHEMBL1149444,CHEMBL1149444,True,True,True,1,same_document_standard_type_unit,Ki,=,=,13.0,33.0,nM,7.89,7.48,2.5384615384615383,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,7
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL6080338,CHEMBL6078658,CHEMBL6078658,True,True,True,1,same_document_standard_type_unit,Ki,=,=,31.0,22.0,nM,7.51,7.66,0.7096774193548387,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,8
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL682708,CHEMBL1132940,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,9
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL681841,CHEMBL1132940,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,10
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL682709,CHEMBL1132940,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,26.2,nM,7.85,7.58,1.8714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,11
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL829005,CHEMBL1132940,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,12
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL864003,CHEMBL1132940,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,13
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL853070,CHEMBL1132940,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,33.0,nM,7.85,7.48,2.357142857142857,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,14
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL919088,CHEMBL1132940,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,15
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL6080338,CHEMBL1132940,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,22.0,nM,7.85,7.66,1.5714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,16
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL682708,CHEMBL1139460,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,17
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL681248,CHEMBL1139460,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,18
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL681841,CHEMBL1139460,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,19
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL682709,CHEMBL1139460,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,26.2,nM,7.85,7.58,1.8714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,20
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL829005,CHEMBL1139460,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,21
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL864003,CHEMBL1139460,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,22
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL853070,CHEMBL1139460,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,33.0,nM,7.85,7.48,2.357142857142857,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,23
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL919087,CHEMBL6080338,CHEMBL1139460,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,22.0,nM,7.85,7.66,1.5714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,24
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL682708,CHEMBL1142695,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,25
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL681248,CHEMBL1142695,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,26
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL681841,CHEMBL1142695,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,27
