drug_id,input_drug_name,molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id,document_journal,document_year,src_id,activity_id,record_id,assay_description,data_validity_comment,potential_duplicate,target_label,standard_value_num
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL678329,B,Ki,=,14.0,nM,7.85,CHEMBL1132940,J Med Chem,2000,1,599580,343985,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,,0,alpha1_beta3_gamma2,14.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL919087,B,Ki,=,14.0,nM,7.85,CHEMBL1139460,J Med Chem,2005,1,1844027,630949,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,,1,alpha1_beta3_gamma2,14.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL829006,B,Ki,=,13.0,nM,7.89,CHEMBL1142695,J Med Chem,2005,1,1412501,363168,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,,0,alpha1_beta3_gamma2,13.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL677034,B,Ki,=,14.3,nM,7.84,CHEMBL1148356,J Med Chem,2004,1,667544,230415,Binding affinity towards human alpha-1-beta-3-gamma-2 GABA-A receptor using [3H]Ro-151788 expressed in L(tk-) cells,,1,alpha1_beta3_gamma2,14.3
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL864002,B,Ki,=,13.0,nM,7.89,CHEMBL1148587,J Med Chem,2006,1,1667045,417849,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha1 in combination with beta-3-gamma-2 expressed in L(tk-) cells,,1,alpha1_beta3_gamma2,13.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL676826,B,Ki,=,14.0,nM,7.85,CHEMBL1149126,J Med Chem,2004,1,604850,88525,Binding affinity for human GABA-A receptor alpha-4-beta-3-gamma-2 subunits in L(tk-) cells,,1,alpha1_beta3_gamma2,14.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL853068,B,Ki,=,13.0,nM,7.89,CHEMBL1149444,J Med Chem,2006,1,1679889,426607,Displacement of [3H]Ro 15-1788 from recombinant human GABAA alpha-1 receptor plus beta3gamma2 expressed in L(tk-) cells,,1,alpha1_beta3_gamma2,13.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL6080337,B,Ki,=,31.0,nM,7.51,CHEMBL6078658,Bioorg Med Chem,2025,1,29082441,4664399,Displacement of [3H]flumazenil from human recombinant alpha1-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,,0,alpha1_beta3_gamma2,31.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL681248,B,Ki,=,20.0,nM,7.7,CHEMBL1132940,J Med Chem,2000,1,599581,343985,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,,0,alpha2_beta3_gamma2,20.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL682708,B,Ki,=,6.6,nM,8.18,CHEMBL1133060,Bioorg Med Chem Lett,2000,1,442387,43833,Binding affinity evaluated by ability to displace [3H]-Ro-15-1788 from recombinant human Gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 expressed in L(tk-)cells,,0,alpha2_beta3_gamma2,6.6
