target_chembl_id,target_name,target_type,organism,receptor_subtype,target_class,activity_count,has_activity
CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta3/gamma2,composite_target,27,True
CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta3/gamma2,composite_target,25,True
CHEMBL343,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Rattus norvegicus,alpha1,subunit_specific,22,True
CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2/gamma2,composite_target,21,True
CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta2/gamma2,composite_target,18,True
CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Homo sapiens,alpha1,subunit_specific,14,True
CHEMBL4296062,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3/gamma2,composite_target,7,True
CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,Rattus norvegicus,alpha2,subunit_specific,7,True
CHEMBL4956,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,Homo sapiens,alpha2,subunit_specific,6,True
CHEMBL2111327,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha2/beta2/gamma2,composite_target,5,True
CHEMBL2111413,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta2/gamma2,composite_target,5,True
CHEMBL5291947,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/alpha6/beta3/gamma2,composite_target,5,True
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta1/gamma2,composite_target,2,True
CHEMBL3883322,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2/beta3/gamma2,composite_target,1,True
CHEMBL5291948,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3/alpha-1,PROTEIN COMPLEX,Rattus norvegicus,alpha6/beta3/alpha1,composite_target,1,True
CHEMBL1907597,GABA-A receptor; GABA-A site (alpha1/beta2 interface),PROTEIN COMPLEX,Homo sapiens,alpha1/beta2,composite_target,0,False
CHEMBL3885570,Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1,PROTEIN COMPLEX,Homo sapiens,alpha1/beta1,composite_target,0,False
CHEMBL3885571,Gamma-aminobutyric acid receptor subunit alpha-2/beta-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta2,composite_target,0,False
CHEMBL4106151,GABA-A receptor alpha-1/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha1/beta3,composite_target,0,False
CHEMBL4296044,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/delta,PROTEIN COMPLEX,Homo sapiens,alpha1/beta2/delta,composite_target,0,False
CHEMBL4296048,Gamma-aminobutyric acid receptor subunit alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha2/beta3/gamma2,composite_target,0,False
CHEMBL4296058,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Mus musculus,alpha1/beta3/gamma2,composite_target,0,False
CHEMBL4296059,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Mus musculus,alpha1/beta2/gamma2,composite_target,0,False
CHEMBL4296060,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3,composite_target,0,False
CHEMBL4296061,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/delta,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3/delta,composite_target,0,False
CHEMBL4296063,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2,composite_target,0,False
CHEMBL4296064,Gamma-aminobutyric acid receptor subunit alpha-2/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha2/beta3,composite_target,0,False
CHEMBL4523638,Gamma-aminobutyric acid receptor subunit alpha-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/gamma2,composite_target,0,False
CHEMBL4680049,GABA-A receptor alpha-1/beta-1,PROTEIN COMPLEX,Bos taurus,alpha1/beta1,composite_target,0,False
CHEMBL5291949,Gamma-aminobutyric acid receptor subunit alpha-2/beta-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta1/gamma2,composite_target,0,False
CHEMBL5303741,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/alpha2/beta2/gamma2,composite_target,0,False
CHEMBL3139,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,Mus musculus,alpha1,subunit_specific,0,False
