drug_id,receptor_composition,standard_type,activity_count
alprazolam,alpha1/beta2/gamma2,Ki,1
alprazolam,alpha2/beta2/gamma2,Ki,1
diazepam,alpha1/beta2/gamma2,Activity,5
diazepam,alpha1/beta2/gamma2,Change in Cl- current,1
diazepam,alpha1/beta2/gamma2,EC50,2
diazepam,alpha1/beta2/gamma2,Efficacy,1
diazepam,alpha1/beta2/gamma2,Ki,3
diazepam,alpha1/beta3/gamma2,Activity,2
diazepam,alpha1/beta3/gamma2,Efficacy,5
diazepam,alpha1/beta3/gamma2,Ki,8
diazepam,alpha2/beta2/gamma2,Ki,1
diazepam,alpha2/beta3/gamma2,Activity,3
diazepam,alpha2/beta3/gamma2,EC50,1
diazepam,alpha2/beta3/gamma2,Efficacy,3
diazepam,alpha2/beta3/gamma2,Ki,9
triazolam,alpha1/beta3/gamma2,Ki,1
triazolam,alpha2/beta3/gamma2,Ki,1
zaleplon,alpha1/beta2/gamma2,EC50,1
zaleplon,alpha2/beta3/gamma2,EC50,1
zolpidem,alpha1/beta2/gamma2,EC50,1
zolpidem,alpha1/beta2/gamma2,FC,1
zolpidem,alpha1/beta2/gamma2,IC50,2
zolpidem,alpha1/beta3/gamma2,Efficacy,2
zolpidem,alpha1/beta3/gamma2,Ki,7
zolpidem,alpha2/beta2/gamma2,EC50,1
zolpidem,alpha2/beta2/gamma2,Efficacy,1
zolpidem,alpha2/beta2/gamma2,Ki,1
zolpidem,alpha2/beta3/gamma2,Efficacy,2
zolpidem,alpha2/beta3/gamma2,Ki,7
