drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Ki,=,13.0,nM,7.89,CHEMBL677024,B,CHEMBL1129282,351492,81572
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Ki,=,12.0,nM,7.92,CHEMBL677847,B,CHEMBL1133060,442386,43833
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,6.6,nM,8.18,CHEMBL682708,B,CHEMBL1133060,442387,43833
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Efficacy,=,157.0,%,,CHEMBL679559,F,CHEMBL1133060,442389,43833
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,14.0,nM,7.85,CHEMBL678329,B,CHEMBL1132940,599580,343985
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,20.0,nM,7.70,CHEMBL681248,B,CHEMBL1132940,599581,343985
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,14.0,nM,7.85,CHEMBL676826,B,CHEMBL1149126,604850,88525
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,20.0,nM,7.70,CHEMBL681841,B,CHEMBL1149126,604851,88525
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,14.3,nM,7.84,CHEMBL677034,B,CHEMBL1148356,667544,230415
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,156.0,%,,CHEMBL677030,F,CHEMBL1148356,667545,230415
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,26.2,nM,7.58,CHEMBL682709,B,CHEMBL1148356,667546,230415
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Efficacy,=,89.0,%,,CHEMBL680445,F,CHEMBL1148356,667547,230415
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,=,1.0,,,CHEMBL677789,F,CHEMBL1129735,701712,275620
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Change in Cl- current,=,1.0,,,CHEMBL681630,F,CHEMBL1132620,1145123,15634
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,13.0,nM,7.89,CHEMBL829006,B,CHEMBL1142695,1412501,363168
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,6.6,nM,8.18,CHEMBL829005,B,CHEMBL1142695,1412502,363168
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,103.0,%,,CHEMBL836221,B,CHEMBL1142695,1412505,363168
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Efficacy,=,138.0,%,,CHEMBL836222,B,CHEMBL1142695,1412506,363168
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,13.0,nM,7.89,CHEMBL864002,B,CHEMBL1148587,1667045,417849
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,6.6,nM,8.18,CHEMBL864003,B,CHEMBL1148587,1667046,417849
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,103.0,%,,CHEMBL864006,F,CHEMBL1148587,1667049,417849
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,13.0,nM,7.89,CHEMBL853068,B,CHEMBL1149444,1679889,426607
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,33.0,nM,7.48,CHEMBL853070,B,CHEMBL1149444,1679890,426607
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,0.93,%,,CHEMBL859118,F,CHEMBL1149444,1681580,426607
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,14.0,nM,7.85,CHEMBL919087,B,CHEMBL1139460,1844027,630949
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,20.0,nM,7.70,CHEMBL919088,B,CHEMBL1139460,1844028,630949
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,157.0,%,,CHEMBL919090,B,CHEMBL1139460,1844030,630949
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Efficacy,=,115.0,%,,CHEMBL919091,B,CHEMBL1139460,1844031,630949
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Activity,=,345.0,%,,CHEMBL960055,B,CHEMBL1153371,2278236,753846
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Activity,=,508.0,%,,CHEMBL960056,B,CHEMBL1153371,2278237,753846
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,EC50,=,35.0,nM,7.46,CHEMBL1638614,B,CHEMBL1629416,5118861,1314947
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,EC50,=,85.0,nM,7.07,CHEMBL1638613,B,CHEMBL1629416,5118869,1314947
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,=,192.0,%,,CHEMBL1638608,B,CHEMBL1629416,5118876,1314947
