drug_id,target_label,standard_type,activity_count,distinct_standard_value_count,standard_value_list,standard_units_list,distinct_assay_count,assay_chembl_id_list,document_chembl_id_list,pchembl_value_list,standard_value_min,standard_value_max,standard_value_median_descriptive
diazepam,alpha1_beta3_gamma2,Activity,2,2,345.0;216.0,%,2,CHEMBL960055;CHEMBL4351505,CHEMBL1153371;CHEMBL4350959,,216.0,345.0,280.5
diazepam,alpha1_beta3_gamma2,Efficacy,5,4,156.0;103.0;0.93;157.0,%,5,CHEMBL677030;CHEMBL836221;CHEMBL864006;CHEMBL859118;CHEMBL919090,CHEMBL1148356;CHEMBL1142695;CHEMBL1148587;CHEMBL1149444;CHEMBL1139460,,0.93,157.0,103.0
diazepam,alpha1_beta3_gamma2,Ki,8,4,14.0;14.3;13.0;31.0,nM,8,CHEMBL678329;CHEMBL676826;CHEMBL677034;CHEMBL829006;CHEMBL864002;CHEMBL853068;CHEMBL919087;CHEMBL6080337,CHEMBL1132940;CHEMBL1149126;CHEMBL1148356;CHEMBL1142695;CHEMBL1148587;CHEMBL1149444;CHEMBL1139460;CHEMBL6078658,7.85;7.84;7.89;7.51,13.0,31.0,14.0
diazepam,alpha2_beta3_gamma2,Activity,3,3,508.0;177.0;212.67,%,3,CHEMBL960056;CHEMBL1638609;CHEMBL6081998,CHEMBL1153371;CHEMBL1629416;CHEMBL6078707,,177.0,508.0,212.67
diazepam,alpha2_beta3_gamma2,EC50,1,1,35.0,nM,1,CHEMBL1638614,CHEMBL1629416,7.46,35.0,35.0,35.0
diazepam,alpha2_beta3_gamma2,Efficacy,3,3,89.0;138.0;115.0,%,3,CHEMBL680445;CHEMBL836222;CHEMBL919091,CHEMBL1148356;CHEMBL1142695;CHEMBL1139460,,89.0,138.0,115.0
diazepam,alpha2_beta3_gamma2,Ki,9,5,6.6;20.0;26.2;33.0;22.0,nM,9,CHEMBL682708;CHEMBL681248;CHEMBL681841;CHEMBL682709;CHEMBL829005;CHEMBL864003;CHEMBL853070;CHEMBL919088;CHEMBL6080338,CHEMBL1133060;CHEMBL1132940;CHEMBL1149126;CHEMBL1148356;CHEMBL1142695;CHEMBL1148587;CHEMBL1149444;CHEMBL1139460;CHEMBL6078658,8.18;7.70;7.58;7.48;7.66,6.6,33.0,20.0
triazolam,alpha1_beta3_gamma2,Ki,1,1,0.8,nM,1,CHEMBL678329,CHEMBL1132940,9.10,0.8,0.8,0.8
triazolam,alpha2_beta3_gamma2,Ki,1,1,0.59,nM,1,CHEMBL681248,CHEMBL1132940,9.23,0.59,0.59,0.59
zaleplon,alpha2_beta3_gamma2,EC50,1,1,1630.0,nM,1,CHEMBL2327958,CHEMBL2321869,5.79,1630.0,1630.0,1630.0
zolpidem,alpha1_beta3_gamma2,Efficacy,2,2,133.0;160.0,%,2,CHEMBL677029;CHEMBL919090,CHEMBL1148356;CHEMBL1139460,,133.0,160.0,146.5
zolpidem,alpha1_beta3_gamma2,Ki,7,3,27.0;26.7;52.1,nM,7,CHEMBL676826;CHEMBL678329;CHEMBL677034;CHEMBL822162;CHEMBL829006;CHEMBL919087;CHEMBL1273615,CHEMBL1149126;CHEMBL1132940;CHEMBL1148356;CHEMBL1131013;CHEMBL1142695;CHEMBL1139460;CHEMBL1268934,7.57;7.28,26.7,52.1,27.0
zolpidem,alpha2_beta3_gamma2,Efficacy,2,2,187.0;123.0,%,2,CHEMBL877823;CHEMBL919091,CHEMBL1148356;CHEMBL1139460,,123.0,187.0,155.0
zolpidem,alpha2_beta3_gamma2,Ki,7,4,160.0;156.0;255.1;103.0,nM,7,CHEMBL681841;CHEMBL681248;CHEMBL682709;CHEMBL824294;CHEMBL829005;CHEMBL919088;CHEMBL1273616,CHEMBL1149126;CHEMBL1132940;CHEMBL1148356;CHEMBL1131013;CHEMBL1142695;CHEMBL1139460;CHEMBL1268934,6.80;6.81;6.59;6.99,103.0,255.1,156.0
