drug_id,input_drug_name,target_label,target_chembl_id,target_pref_name,assay_chembl_id,assay_type,document_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_id,record_id
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL4351505,A,CHEMBL4350959,Activity,=,216.0,%,,19039236,3176269
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL960055,B,CHEMBL1153371,Activity,=,345.0,%,,2278236,753846
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL859118,F,CHEMBL1149444,Efficacy,=,0.93,%,,1681580,426607
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL836221,B,CHEMBL1142695,Efficacy,=,103.0,%,,1412505,363168
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL864006,F,CHEMBL1148587,Efficacy,=,103.0,%,,1667049,417849
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL677030,F,CHEMBL1148356,Efficacy,=,156.0,%,,667545,230415
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL919090,B,CHEMBL1139460,Efficacy,=,157.0,%,,1844030,630949
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL829006,B,CHEMBL1142695,Ki,=,13.0,nM,7.89,1412501,363168
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL864002,B,CHEMBL1148587,Ki,=,13.0,nM,7.89,1667045,417849
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL853068,B,CHEMBL1149444,Ki,=,13.0,nM,7.89,1679889,426607
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL678329,B,CHEMBL1132940,Ki,=,14.0,nM,7.85,599580,343985
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL676826,B,CHEMBL1149126,Ki,=,14.0,nM,7.85,604850,88525
diazepam,Diazepam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL919087,B,CHEMBL1139460,Ki,=,14.0,nM,7.85,1844027,630949
