target_chembl_id,target_name,target_type,target_class,receptor_subtype,activity_count
CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,104
CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha2/beta3/gamma2,27
CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta3/gamma2,26
CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta3/gamma2,25
CHEMBL343,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,subunit_specific,alpha1,22
CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,21
CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,21
CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha5/beta3/gamma2,20
CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,18
CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,16
CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,SINGLE PROTEIN,subunit_specific,alpha1,14
CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha6/beta2/gamma2,11
CHEMBL2111343,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta2/gamma2,9
CHEMBL2111374,GABA A receptor alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha5/beta3/gamma2,9
CHEMBL5112,Gamma-aminobutyric acid receptor subunit alpha-5,SINGLE PROTEIN,subunit_specific,alpha5,8
CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta2/gamma2,7
CHEMBL3026,Gamma-aminobutyric acid receptor subunit alpha-3,SINGLE PROTEIN,subunit_specific,alpha3,7
CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,subunit_specific,alpha2,7
CHEMBL4296062,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta3/gamma2,7
CHEMBL4956,Gamma-aminobutyric acid receptor subunit alpha-2,SINGLE PROTEIN,subunit_specific,alpha2,6
CHEMBL2094133,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,5
CHEMBL2095190,GABA-A receptor; alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha6/beta3/gamma2,5
CHEMBL2111327,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha2/beta2/gamma2,5
CHEMBL2111413,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha2/beta2/gamma2,5
CHEMBL5291947,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/alpha6/beta3/gamma2,5
CHEMBL4296054,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha6/beta3/gamma2,4
CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha6/beta2/gamma2,3
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta1/gamma2,2
CHEMBL300,Gamma-aminobutyric acid receptor subunit alpha-5,SINGLE PROTEIN,subunit_specific,alpha5,2
CHEMBL328,Gamma-aminobutyric acid receptor subunit alpha-3,SINGLE PROTEIN,subunit_specific,alpha3,2
CHEMBL4296052,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3,PROTEIN COMPLEX,composite_target,alpha6/beta3,2
CHEMBL4523641,Gamma-aminobutyric acid receptor subunit alpha-5/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha5/beta2/gamma2,2
CHEMBL2472,Gamma-aminobutyric acid receptor subunit alpha-4,SINGLE PROTEIN,subunit_specific,alpha4,1
CHEMBL296,Gamma-aminobutyric acid receptor subunit gamma-1,SINGLE PROTEIN,subunit_specific,gamma1,1
CHEMBL3883322,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/beta3/gamma2,1
CHEMBL3885577,Gamma-aminobutyric acid receptor subunit alpha-5/beta-3/gamma-3,PROTEIN COMPLEX,composite_target,alpha5/beta3/gamma3,1
CHEMBL4296047,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta3/gamma2,1
CHEMBL5291948,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3/alpha-1,PROTEIN COMPLEX,composite_target,alpha6/beta3/alpha1,1
CHEMBL5291950,Gamma-aminobutyric acid receptor subunit gamma-2/beta-3,PROTEIN COMPLEX,composite_target,gamma2/beta3,1
