drug_id,alpha1_composition,alpha2_composition,metric,unit,alpha1_reference_id,alpha2_reference_id,alpha1_assay,alpha2_assay,number_of_comparable_pairs,alpha1_value_median,alpha2_value_median,alpha2_over_alpha1_ratio_median,log10_ratio_median,reference,assay_id,reference_count,assay_count,comparison_context_id,selection_rule,jaccard_similarity,shared_features,alpha1_only_features,alpha2_only_features,changed_features,cosine_similarity_frequency,euclidean_distance_frequency,valid_features,unresolved_mapping_included
alprazolam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,Ki,nM,CHEMBL5143601,CHEMBL5143601,CHEMBL5146040,CHEMBL5146041,1,0.8,0.6,0.7499999999999999,-0.12493873660830002,CHEMBL5143601,CHEMBL5146040,1,1,CHEMBL5143601|CHEMBL5143601|CHEMBL5146040|CHEMBL5146041,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.7777777777777778,7,0,2,2,0.812721411819416,0.6666666666666667,9,True
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,Ki,nM,CHEMBL5143601,CHEMBL5143601,CHEMBL5146040,CHEMBL5146041,1,14.0,20.0,1.4285714285714286,0.1549019599857432,CHEMBL5143601,CHEMBL5146040,1,1,CHEMBL5143601|CHEMBL5143601|CHEMBL5146040|CHEMBL5146041,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1132940,CHEMBL1132940,CHEMBL678329,CHEMBL681248,1,14.0,20.0,1.4285714285714286,0.1549019599857432,CHEMBL1132940,CHEMBL678329,1,1,CHEMBL1132940|CHEMBL1132940|CHEMBL678329|CHEMBL681248,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1139460,CHEMBL1139460,CHEMBL919087,CHEMBL919088,1,14.0,20.0,1.4285714285714286,0.1549019599857432,CHEMBL1139460,CHEMBL919087,1,1,CHEMBL1139460|CHEMBL1139460|CHEMBL919087|CHEMBL919088,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1142695,CHEMBL1142695,CHEMBL829006,CHEMBL829005,1,13.0,6.6,0.5076923076923077,-0.2943994167649681,CHEMBL1142695,CHEMBL829006,1,1,CHEMBL1142695|CHEMBL1142695|CHEMBL829006|CHEMBL829005,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1148356,CHEMBL1148356,CHEMBL677034,CHEMBL682709,1,14.3,26.2,1.832167832167832,0.2629652538546836,CHEMBL1148356,CHEMBL677034,1,1,CHEMBL1148356|CHEMBL1148356|CHEMBL677034|CHEMBL682709,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1148587,CHEMBL1148587,CHEMBL864002,CHEMBL864003,1,13.0,6.6,0.5076923076923077,-0.2943994167649681,CHEMBL1148587,CHEMBL864002,1,1,CHEMBL1148587|CHEMBL1148587|CHEMBL864002|CHEMBL864003,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1149126,CHEMBL1149126,CHEMBL676826,CHEMBL681841,1,14.0,20.0,1.4285714285714286,0.1549019599857432,CHEMBL1149126,CHEMBL676826,1,1,CHEMBL1149126|CHEMBL1149126|CHEMBL676826|CHEMBL681841,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1149444,CHEMBL1149444,CHEMBL853068,CHEMBL853070,1,13.0,33.0,2.5384615384615383,0.4045705875710507,CHEMBL1149444,CHEMBL853068,1,1,CHEMBL1149444|CHEMBL1149444|CHEMBL853068|CHEMBL853070,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL6078658,CHEMBL6078658,CHEMBL6080337,CHEMBL6080338,1,31.0,22.0,0.7096774193548387,-0.1489390130120664,CHEMBL6078658,CHEMBL6080337,1,1,CHEMBL6078658|CHEMBL6078658|CHEMBL6080337|CHEMBL6080338,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.5555555555555556,5,0,4,4,0.7870437974535283,0.5555555555555556,9,True
triazolam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1132940,CHEMBL1132940,CHEMBL678329,CHEMBL681248,1,0.8,0.59,0.7374999999999999,-0.13223797534979945,CHEMBL1132940,CHEMBL678329,1,1,CHEMBL1132940|CHEMBL1132940|CHEMBL678329|CHEMBL681248,Ki-only; exact composition/metric/unit/reference/assay context; median only within this context,0.2222222222222222,2,0,7,7,0.5037394916424782,0.9558139185602917,9,True
