drug_id,alpha1_composition,alpha2_composition,alpha1_source,alpha2_source,metric,unit,same_beta_gamma,same_reference_or_assay,alpha1_species,alpha2_species,alpha1_value,alpha2_value,tier,alpha1_evidence_id,alpha2_evidence_id
alprazolam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,0.8,0.6,1,chembl:283,chembl:289
alprazolam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,0.8,333.0,4,chembl:283,chembl:292
alprazolam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,0.8,12.0,4,chembl:283,chembl:293
alprazolam,alpha1,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Activity,%,False,False,Homo sapiens,Homo sapiens,327.0,0.6,4,chembl:285,chembl:289
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,Activity,%,False,True,Homo sapiens,Homo sapiens,327.0,333.0,3,chembl:285,chembl:292
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,Activity,%,False,True,Homo sapiens,Homo sapiens,327.0,12.0,4,chembl:285,chembl:293
alprazolam,alpha1,alpha2/beta2/gamma2,ChEMBL,ChEMBL,EC50,nM,False,False,Homo sapiens,Homo sapiens,37.0,0.6,4,chembl:286,chembl:289
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,EC50,nM,False,True,Homo sapiens,Homo sapiens,37.0,333.0,4,chembl:286,chembl:292
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,EC50,nM,False,True,Homo sapiens,Homo sapiens,37.0,12.0,3,chembl:286,chembl:293
alprazolam,alpha1,alpha2/beta2/gamma2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,10000.0,0.6,4,chembl:290,chembl:289
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,10000.0,333.0,4,chembl:290,chembl:292
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,10000.0,12.0,4,chembl:290,chembl:293
alprazolam,alpha1,alpha2/beta2/gamma2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,4.2,0.6,4,chembl:291,chembl:289
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,4.2,333.0,4,chembl:291,chembl:292
alprazolam,alpha1,alpha2,ChEMBL,ChEMBL,AC50,nM,False,False,Rattus norvegicus,Homo sapiens,4.2,12.0,4,chembl:291,chembl:293
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,6.6,4,chembl:14,chembl:40
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,20.0,4,chembl:14,chembl:64
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,20.0,4,chembl:14,chembl:69
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,26.2,4,chembl:14,chembl:76
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,89.0,4,chembl:14,chembl:77
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,False,Rattus norvegicus,Rattus norvegicus,16.0,20.0,4,chembl:14,chembl:98
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,6.6,4,chembl:14,chembl:157
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,138.0,4,chembl:14,chembl:161
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,6.6,4,chembl:14,chembl:167
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,33.0,4,chembl:14,chembl:174
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,20.0,4,chembl:14,chembl:182
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,115.0,4,chembl:14,chembl:185
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,508.0,4,chembl:14,chembl:191
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,35.0,4,chembl:14,chembl:195
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,177.0,4,chembl:14,chembl:200
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,22.0,4,chembl:14,chembl:214
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,212.67,4,chembl:14,chembl:217
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,False,Rattus norvegicus,Homo sapiens,16.0,20.0,4,chembl:14,chembl:230
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Rattus norvegicus,16.0,7.0,4,chembl:14,chembl:231
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Rattus norvegicus,16.0,39.0,4,chembl:14,chembl:232
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Rattus norvegicus,16.0,15.0,4,chembl:14,chembl:233
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Rattus norvegicus,16.0,81.0,4,chembl:14,chembl:234
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Rattus norvegicus,16.0,20.0,4,chembl:14,chembl:236
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,16.0,17.0,4,chembl:14,chembl:253
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Rattus norvegicus,Homo sapiens,10000.0,6.6,4,chembl:17,chembl:40
