drug_id,alpha1_composition,alpha2_composition,metric,unit,alpha1_reference_id,alpha2_reference_id,alpha1_assay,alpha2_assay,number_of_comparable_pairs,alpha1_value,alpha2_value,alpha2_over_alpha1_ratio,reference,assay_id,species_qc,composition_qc,primary_inclusion,log10_alpha2_over_alpha1_ratio,summary_method
alprazolam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,Ki,nM,CHEMBL5143601,CHEMBL5143601,CHEMBL5146040,CHEMBL5146041,1,0.8,0.6,0.7499999999999999,CHEMBL5143601,CHEMBL5146040,True,True,True,-0.12493873660830002,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,Ki,nM,CHEMBL5143601,CHEMBL5143601,CHEMBL5146040,CHEMBL5146041,1,14.0,20.0,1.4285714285714286,CHEMBL5143601,CHEMBL5146040,True,True,True,0.1549019599857432,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Activity,%,CHEMBL1153371,CHEMBL1153371,CHEMBL960055,CHEMBL960056,1,345.0,508.0,1.472463768115942,CHEMBL1153371,CHEMBL960055,True,True,True,0.16804461721064515,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Efficacy,%,CHEMBL1139460,CHEMBL1139460,CHEMBL919090,CHEMBL919091,1,157.0,115.0,0.732484076433121,CHEMBL1139460,CHEMBL919090,True,True,True,-0.1352018120556221,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Efficacy,%,CHEMBL1142695,CHEMBL1142695,CHEMBL836221,CHEMBL836222,1,103.0,138.0,1.3398058252427185,CHEMBL1142695,CHEMBL836221,True,True,True,0.12704186169606432,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Efficacy,%,CHEMBL1148356,CHEMBL1148356,CHEMBL677030,CHEMBL680445,1,156.0,89.0,0.5705128205128205,CHEMBL1148356,CHEMBL677030,True,True,True,-0.24373459170954884,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1132940,CHEMBL1132940,CHEMBL678329,CHEMBL681248,1,14.0,20.0,1.4285714285714286,CHEMBL1132940,CHEMBL678329,True,True,True,0.1549019599857432,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1139460,CHEMBL1139460,CHEMBL919087,CHEMBL919088,1,14.0,20.0,1.4285714285714286,CHEMBL1139460,CHEMBL919087,True,True,True,0.1549019599857432,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1142695,CHEMBL1142695,CHEMBL829006,CHEMBL829005,1,13.0,6.6,0.5076923076923077,CHEMBL1142695,CHEMBL829006,True,True,True,-0.2943994167649681,median_within_same_composition_metric_unit_reference_assay_group
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,Ki,nM,CHEMBL1148356,CHEMBL1148356,CHEMBL677034,CHEMBL682709,1,14.3,26.2,1.832167832167832,CHEMBL1148356,CHEMBL677034,True,True,True,0.2629652538546836,median_within_same_composition_metric_unit_reference_assay_group
