drug_id,alpha1_composition,alpha2_composition,alpha1_source,alpha2_source,metric,unit,same_beta_gamma,same_reference_or_assay,alpha1_species,alpha2_species,alpha1_value,alpha2_value,tier,alpha1_evidence_id,alpha2_evidence_id,ratio_alpha2_over_alpha1,log10_ratio,alpha1_reference_id,alpha1_assay,alpha1_reference,alpha1_target_name,alpha2_reference_id,alpha2_assay,alpha2_reference,alpha2_target_name,reference,assay_id,species_qc,composition_qc,metric_unit_qc,primary_inclusion
alprazolam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,0.8,0.6,1,chembl:283,chembl:289,0.7499999999999999,-0.12493873660830002,CHEMBL5143601,CHEMBL5146040,CHEMBL5143601 Bioorg Med Chem Lett 2022,GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL5143601,CHEMBL5146041,CHEMBL5143601 Bioorg Med Chem Lett 2022,GABA A receptor alpha-2/beta-2/gamma-2,CHEMBL5143601,CHEMBL5146040,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,14.0,20.0,1,chembl:63,chembl:64,1.4285714285714286,0.1549019599857432,CHEMBL1132940,CHEMBL678329,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1132940,CHEMBL681248,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1132940,CHEMBL678329,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,14.0,20.0,1,chembl:68,chembl:69,1.4285714285714286,0.1549019599857432,CHEMBL1149126,CHEMBL676826,CHEMBL1149126 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1149126,CHEMBL681841,CHEMBL1149126 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1149126,CHEMBL676826,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,14.3,26.2,1,chembl:74,chembl:76,1.832167832167832,0.2629652538546836,CHEMBL1148356,CHEMBL677034,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1148356,CHEMBL682709,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1148356,CHEMBL677034,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,156.0,89.0,1,chembl:75,chembl:77,0.5705128205128205,-0.24373459170954884,CHEMBL1148356,CHEMBL677030,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1148356,CHEMBL680445,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1148356,CHEMBL677030,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,13.0,6.6,1,chembl:156,chembl:157,0.5076923076923077,-0.2943994167649681,CHEMBL1142695,CHEMBL829006,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1142695,CHEMBL829005,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1142695,CHEMBL829006,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,103.0,138.0,1,chembl:160,chembl:161,1.3398058252427185,0.12704186169606432,CHEMBL1142695,CHEMBL836221,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1142695,CHEMBL836222,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1142695,CHEMBL836221,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,13.0,6.6,1,chembl:166,chembl:167,0.5076923076923077,-0.2943994167649681,CHEMBL1148587,CHEMBL864002,CHEMBL1148587 J Med Chem 2006,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1148587,CHEMBL864003,CHEMBL1148587 J Med Chem 2006,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1148587,CHEMBL864002,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,13.0,33.0,1,chembl:173,chembl:174,2.5384615384615383,0.4045705875710507,CHEMBL1149444,CHEMBL853068,CHEMBL1149444 J Med Chem 2006,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1149444,CHEMBL853070,CHEMBL1149444 J Med Chem 2006,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1149444,CHEMBL853068,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,14.0,20.0,1,chembl:181,chembl:182,1.4285714285714286,0.1549019599857432,CHEMBL1139460,CHEMBL919087,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1139460,CHEMBL919088,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1139460,CHEMBL919087,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,157.0,115.0,1,chembl:184,chembl:185,0.732484076433121,-0.1352018120556221,CHEMBL1139460,CHEMBL919090,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1139460,CHEMBL919091,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1139460,CHEMBL919090,True,True,True,True
