drug_id,species,strain,phenotype_category,assay,route,dose_mg_per_kg,time_min,endpoint,raw_value,raw_unit,n_tested,effect_size,effect_direction,evidence_tier,study_id,reference,pmid,doi,source_url,condition_note,sd
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,15.0,positive_or_fallen_mice,1.0,positive_mice_count,10.0,0.1,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,30.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,60.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,90.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,15.0,positive_or_fallen_mice,2.0,positive_mice_count,10.0,0.2,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,30.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,60.0,positive_or_fallen_mice,5.0,positive_mice_count,10.0,0.5,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,90.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,15.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,30.0,positive_or_fallen_mice,7.0,positive_mice_count,10.0,0.7,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,60.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,90.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,15.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
