assay_chembl_id,aidx,assay_category,assay_cell_type,assay_classifications,assay_group,assay_organism,assay_parameters,assay_strain,assay_subcellular_fraction,assay_tax_id,assay_test_type,assay_tissue,assay_type,assay_type_description,bao_format,bao_label,cell_chembl_id,confidence_description,confidence_score,description,document_chembl_id,relationship_description,relationship_type,src_assay_id,src_id,target_chembl_id,tissue_chembl_id,variant_sequence,source_request_id,source_file,source_json_pointer,source_sha256,retrieved_at_utc
CHEMBL1273615,CLD0,,HEK293,[],,Homo sapiens,[],,,9606,In vitro,,B,Binding,BAO_0000219,cell-based format,CHEMBL3307715,Direct protein complex subunits assigned,7,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,CHEMBL1268934,Direct protein target assigned,D,,1,CHEMBL2094121,,,request_00071,raw/responses/request_00071.json.gz,/assays/0,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1273616,CLD0,,HEK293,[],,Homo sapiens,[],,,9606,In vitro,,B,Binding,BAO_0000219,cell-based format,CHEMBL3307715,Direct protein complex subunits assigned,7,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,CHEMBL1268934,Direct protein target assigned,D,,1,CHEMBL2094130,,,request_00071,raw/responses/request_00071.json.gz,/assays/1,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1273617,CLD0,,HEK293,[],,Homo sapiens,[],,,9606,In vitro,,B,Binding,BAO_0000219,cell-based format,CHEMBL3307715,Direct protein complex subunits assigned,7,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-3-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,CHEMBL1268934,Direct protein target assigned,D,,1,CHEMBL2094120,,,request_00071,raw/responses/request_00071.json.gz,/assays/2,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1273619,CLD0,,HEK293,[],,Homo sapiens,[],,,9606,In vitro,,B,Binding,BAO_0000219,cell-based format,CHEMBL3307715,Direct protein complex subunits assigned,7,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-5-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,CHEMBL1268934,Direct protein target assigned,D,,1,CHEMBL2094122,,,request_00071,raw/responses/request_00071.json.gz,/assays/3,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1273620,CLD0,,HEK293,[],,Homo sapiens,[],,,9606,In vitro,,B,Binding,BAO_0000219,cell-based format,CHEMBL3307715,Direct protein complex subunits assigned,7,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-6-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,CHEMBL1268934,Direct protein target assigned,D,,1,CHEMBL2095190,,,request_00071,raw/responses/request_00071.json.gz,/assays/4,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1638608,CLD0,,Oocyte,[],,Homo sapiens,[],,,9606,,,B,Binding,BAO_0000219,cell-based format,CHEMBL3308859,Direct protein complex subunits assigned,7,Positive allosteric modulation of human alpha1beta2gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,CHEMBL1629416,Direct protein target assigned,D,,1,CHEMBL2095172,,,request_00071,raw/responses/request_00071.json.gz,/assays/5,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1638609,CLD0,,Oocyte,[],,Homo sapiens,[],,,9606,,,B,Binding,BAO_0000219,cell-based format,CHEMBL3308859,Direct protein complex subunits assigned,7,Positive allosteric modulation of human alpha2beta3gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,CHEMBL1629416,Direct protein target assigned,D,,1,CHEMBL2094130,,,request_00071,raw/responses/request_00071.json.gz,/assays/6,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1638610,CLD0,,Oocyte,[],,Homo sapiens,[],,,9606,,,B,Binding,BAO_0000219,cell-based format,CHEMBL3308859,Direct protein complex subunits assigned,7,Positive allosteric modulation of human alpha3beta3gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,CHEMBL1629416,Direct protein target assigned,D,,1,CHEMBL2094120,,,request_00071,raw/responses/request_00071.json.gz,/assays/7,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1638611,CLD0,,Oocyte,[],,Homo sapiens,[],,,9606,,,B,Binding,BAO_0000219,cell-based format,CHEMBL3308859,Direct protein complex subunits assigned,7,Positive allosteric modulation of human alpha5beta3gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,CHEMBL1629416,Direct protein target assigned,D,,1,CHEMBL2094122,,,request_00071,raw/responses/request_00071.json.gz,/assays/8,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
CHEMBL1638613,CLD0,,Oocyte,[],,Homo sapiens,[],,,9606,,,B,Binding,BAO_0000219,cell-based format,CHEMBL3308859,Direct protein complex subunits assigned,7,Binding affinity to human alpha1beta2gamma2 GABA receptor expressed in Xenopus laevis oocytes,CHEMBL1629416,Direct protein target assigned,D,,1,CHEMBL2095172,,,request_00071,raw/responses/request_00071.json.gz,/assays/9,5f1b1eabbc86125d03d59bfa575eb71e035f7b6dea9ff22ebd4435d9a8730542,2026-09-18T02:20:05.002453+00:00
