activity_id,qc_flags,molecule_chembl_id,source_request_id,source_json_pointer
90762,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/0
116266,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/1
119027,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/2
139849,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/3
177698,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/4
177699,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/5
215667,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/6
215668,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/7
215671,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/8
217244,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/9
234637,"[""censored_or_nonexact_relation"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/10
234638,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/11
234639,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/12
286330,"[""source_data_validity_comment"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/13
320285,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/14
320290,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/15
351488,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/16
351489,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/17
351492,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/18
351493,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/19
357786,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/20
372154,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/21
389956,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/22
389957,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/23
