molecule_chembl_id,rows,target_chembl_id,standard_type,standard_units,standard_relation,target_organism
CHEMBL12,1,CHEMBL1907607,Binding affinity,spec bound mg-1,=,Rattus norvegicus
CHEMBL12,3,CHEMBL1907607,Displacement,%,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,ED50,mg.kg-1,=,Rattus norvegicus
CHEMBL12,3,CHEMBL1907607,GABA ratio,,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,GABA ratio,,,Rattus norvegicus
CHEMBL12,5,CHEMBL1907607,GABA shift,,=,Rattus norvegicus
CHEMBL12,2,CHEMBL1907607,GS,,=,Rattus norvegicus
CHEMBL12,38,CHEMBL1907607,IC50,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,IC50,nM,>,Rattus norvegicus
CHEMBL12,2,CHEMBL1907607,ID50,mg.kg-1,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,Inhibition,%,<,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,Inhibition,%,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,Inhibition,%,,Rattus norvegicus
CHEMBL12,21,CHEMBL1907607,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,Ki,nM,~,Rattus norvegicus
CHEMBL12,6,CHEMBL1907607,Ratio,,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,Shift,,=,Rattus norvegicus
CHEMBL12,2,CHEMBL1907607,TBPS shift,,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1907607,[35S] TBPS shift,,=,Rattus norvegicus
CHEMBL12,1,CHEMBL1962,Kd,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL1962,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2093872,Activity,,,Homo sapiens
CHEMBL12,7,CHEMBL2093872,IC50,nM,=,Homo sapiens
CHEMBL12,2,CHEMBL2093872,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2093872,Log IC50,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2093872,Ratio,,=,Homo sapiens
CHEMBL12,1,CHEMBL2094107,GABA ratio,,=,Bos taurus
CHEMBL12,1,CHEMBL2094107,GR,,=,Bos taurus
CHEMBL12,3,CHEMBL2094107,IC50,nM,=,Bos taurus
CHEMBL12,4,CHEMBL2094107,Ki,nM,=,Bos taurus
CHEMBL12,2,CHEMBL2094107,Ratio,,=,Bos taurus
CHEMBL12,2,CHEMBL2094120,Activity,%,=,Homo sapiens
CHEMBL12,1,CHEMBL2094120,EC50,nM,=,Homo sapiens
CHEMBL12,5,CHEMBL2094120,Efficacy,%,=,Homo sapiens
CHEMBL12,7,CHEMBL2094120,Ki,nM,=,Homo sapiens
CHEMBL12,2,CHEMBL2094121,Activity,%,=,Homo sapiens
CHEMBL12,5,CHEMBL2094121,Efficacy,%,=,Homo sapiens
CHEMBL12,8,CHEMBL2094121,Ki,nM,=,Homo sapiens
CHEMBL12,3,CHEMBL2094122,Activity,%,=,Homo sapiens
CHEMBL12,1,CHEMBL2094122,EC50,nM,=,Homo sapiens
CHEMBL12,3,CHEMBL2094122,Efficacy,%,=,Homo sapiens
CHEMBL12,1,CHEMBL2094122,IC50,nM,=,Homo sapiens
CHEMBL12,5,CHEMBL2094122,Ki,nM,=,Homo sapiens
CHEMBL12,3,CHEMBL2094130,Activity,%,=,Homo sapiens
CHEMBL12,1,CHEMBL2094130,EC50,nM,=,Homo sapiens
CHEMBL12,3,CHEMBL2094130,Efficacy,%,=,Homo sapiens
CHEMBL12,9,CHEMBL2094130,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2094133,Activity,,=,Mus musculus
CHEMBL12,2,CHEMBL2094133,IC50,nM,=,Mus musculus
CHEMBL12,1,CHEMBL2094133,Ki,nM,=,Mus musculus
CHEMBL12,2,CHEMBL2095167,Activity,%,=,Rattus norvegicus
CHEMBL12,1,CHEMBL2095167,Cl - current change,,=,Rattus norvegicus
CHEMBL12,1,CHEMBL2095167,GABA current,%,=,Rattus norvegicus
CHEMBL12,6,CHEMBL2095167,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL2095167,Ki,nM,>,Rattus norvegicus
CHEMBL12,2,CHEMBL2095172,Activity,%,=,Homo sapiens
CHEMBL12,1,CHEMBL2095172,Activity,%,>,Homo sapiens
CHEMBL12,1,CHEMBL2095172,Activity,,=,Homo sapiens
CHEMBL12,1,CHEMBL2095172,Activity,,,Homo sapiens
CHEMBL12,1,CHEMBL2095172,Change in Cl- current,,=,Homo sapiens
CHEMBL12,2,CHEMBL2095172,EC50,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2095172,Efficacy,%,=,Homo sapiens
CHEMBL12,3,CHEMBL2095172,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2095190,Ki,nM,>,Homo sapiens
CHEMBL12,1,CHEMBL2111327,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL2111339,Change in Cl- current,,=,Homo sapiens
CHEMBL12,3,CHEMBL2111339,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2111343,Cl - current change,,=,Rattus norvegicus
CHEMBL12,4,CHEMBL2111343,Ki,nM,=,Rattus norvegicus
CHEMBL12,4,CHEMBL2111365,Ki,nM,=,Rattus norvegicus
CHEMBL12,2,CHEMBL2111365,Ki,nM,>,Rattus norvegicus
CHEMBL12,2,CHEMBL2111370,Ki,nM,>,Homo sapiens
CHEMBL12,2,CHEMBL2111374,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL2111392,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL2111413,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL296,IC50,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL300,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL3026,Activity,%,=,Homo sapiens
CHEMBL12,1,CHEMBL3026,Ki,nM,=,Homo sapiens
CHEMBL12,1,CHEMBL328,Ki,nM,=,Rattus norvegicus
CHEMBL12,1,CHEMBL341,Activity,%,=,Rattus norvegicus
CHEMBL12,2,CHEMBL341,Control,%,=,Rattus norvegicus
