activity_id,drug_id,molecule_chembl_id,target_chembl_id,target_record_pref_name,assay_chembl_id,assay_detail_description,target_name_subunit_mentions,assay_description_subunit_mentions,document_chembl_id,qc_flags,source_request_id,source_file,source_json_pointer,source_sha256,retrieved_at_utc
604850,diazepam,CHEMBL12,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL676826,Binding affinity for human GABA-A receptor alpha-4-beta-3-gamma-2 subunits in L(tk-) cells,"[""alpha1"", ""beta3"", ""gamma2""]","[""alpha4"", ""beta3"", ""gamma2""]",CHEMBL1149126,"[""source_potential_duplicate"", ""assay_target_subunit_text_discrepancy_review"", ""assay_target_subunit_conflict_review"", ""no_structured_assay_parameters""]",request_00010,raw/responses/request_00010.json.gz,/activities/61,d835832e14c863e4daa522f99d44a425411d5821d1cfd4d50e5311eef1e678f2,2026-09-18T02:18:03.618285+00:00
1876214,diazepam,CHEMBL12,CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL904139,Displacement of [3H]Ro-151788 from rat recombinant GABA alpha-5-beta-2-gamma-2 receptor expressed in HEK293 cells,"[""alpha1"", ""beta2"", ""gamma2""]","[""alpha5"", ""beta2"", ""gamma2""]",CHEMBL1142927,"[""assay_target_subunit_text_discrepancy_review"", ""assay_target_subunit_conflict_review"", ""no_structured_assay_parameters""]",request_00011,raw/responses/request_00011.json.gz,/activities/76,31e9d502b2591b5121d4b6dc5d4fc0ca74618d886fe42726d54cc520f9cdfeee,2026-09-18T02:18:06.345794+00:00
2461331,diazepam,CHEMBL12,CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,CHEMBL991886,Binding affinity to GABAA alpha-1-beta-2-gamma-2 receptor,"[""alpha1""]","[""alpha1"", ""beta2"", ""gamma2""]",CHEMBL1157475,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00011,raw/responses/request_00011.json.gz,/activities/80,31e9d502b2591b5121d4b6dc5d4fc0ca74618d886fe42726d54cc520f9cdfeee,2026-09-18T02:18:06.345794+00:00
1701379,diazepam,CHEMBL12,CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,CHEMBL861815,Displacement of [3H]Flumazenil from human GABA-Aalpha1 receptor plus beta-2-gamma-2 expressed in HEK293 cells,"[""alpha1"", ""beta1"", ""gamma2""]","[""alpha1"", ""beta2"", ""gamma2""]",CHEMBL1146066,"[""assay_target_subunit_text_discrepancy_review"", ""assay_target_subunit_conflict_review"", ""no_structured_assay_parameters""]",request_00013,raw/responses/request_00013.json.gz,/activities/14,8dd8bce91be6ccc884e2fef126e3663dd1a6acba39048c2a1feda8d8247ecb40,2026-09-18T02:18:10.095453+00:00
2278238,diazepam,CHEMBL12,CHEMBL3026,Gamma-aminobutyric acid receptor subunit alpha-3,CHEMBL960057,Activity at GABAA alpha-3-beta-3-gamma-2 receptor expressed in oocytes assessed as stimulation of GABA-induced current at 1 uM relative to control,"[""alpha3""]","[""alpha3"", ""beta3"", ""gamma2""]",CHEMBL1153371,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00013,raw/responses/request_00013.json.gz,/activities/16,8dd8bce91be6ccc884e2fef126e3663dd1a6acba39048c2a1feda8d8247ecb40,2026-09-18T02:18:10.095453+00:00
2633973,diazepam,CHEMBL12,CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,CHEMBL954626,Displacement of [3H]flumazenil from rat GABA-A alpha-2-beta-2-gamma-2 receptor expressed in HEK293 cells,"[""alpha2""]","[""alpha2"", ""beta2"", ""gamma2""]",CHEMBL1136986,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00014,raw/responses/request_00014.json.gz,/activities/2,b4e8cd9acc11c43e6e5a21c47f379d5da42e1220e327916239f1f851a4d20a13,2026-09-18T02:18:11.951585+00:00
2634003,diazepam,CHEMBL12,CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,CHEMBL954631,Agonist activity at rat GABA-A alpha-2-beta-2-gamma-2 receptor expressed in HEK293 cells assessed as increase in 36Cl- influx,"[""alpha2""]","[""alpha2"", ""beta2"", ""gamma2""]",CHEMBL1136986,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00014,raw/responses/request_00014.json.gz,/activities/3,b4e8cd9acc11c43e6e5a21c47f379d5da42e1220e327916239f1f851a4d20a13,2026-09-18T02:18:11.951585+00:00
2461352,diazepam,CHEMBL12,CHEMBL5112,Gamma-aminobutyric acid receptor subunit alpha-5,CHEMBL991887,Binding affinity to GABAA alpha-5-beta-2-gamma-2 receptor,"[""alpha5""]","[""alpha5"", ""beta2"", ""gamma2""]",CHEMBL1157475,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00016,raw/responses/request_00016.json.gz,/activities/0,7227bb167329141f99c0e8b3a23b8b9e4670f641a4253ebf0670c8bffddec3ae,2026-09-18T02:18:16.079756+00:00
2461330,triazolam,CHEMBL646,CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,CHEMBL991886,Binding affinity to GABAA alpha-1-beta-2-gamma-2 receptor,"[""alpha1""]","[""alpha1"", ""beta2"", ""gamma2""]",CHEMBL1157475,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00048,raw/responses/request_00048.json.gz,/activities/8,bed1763867a977131c7fb148549c1907c0cd19e60ee040163ec7b001ad846ed3,2026-09-18T02:19:18.642526+00:00
2461351,triazolam,CHEMBL646,CHEMBL5112,Gamma-aminobutyric acid receptor subunit alpha-5,CHEMBL991887,Binding affinity to GABAA alpha-5-beta-2-gamma-2 receptor,"[""alpha5""]","[""alpha5"", ""beta2"", ""gamma2""]",CHEMBL1157475,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",request_00052,raw/responses/request_00052.json.gz,/activities/0,66f3b9d15ad2943efc7947e6d32db66d9cbf57a602fd56c95351458561a7a7cb,2026-09-18T02:19:27.201090+00:00
