target_chembl_id,pref_name,scope
CHEMBL1962,Gamma-aminobutyric acid receptor subunit alpha-1,gabaa_related_site_unverified
CHEMBL1920,Gamma-aminobutyric acid receptor subunit beta-2,gabaa_related_site_unverified
CHEMBL2472,Gamma-aminobutyric acid receptor subunit alpha-4,gabaa_related_site_unverified
CHEMBL4558,Gamma-aminobutyric acid receptor subunit beta-1,gabaa_related_site_unverified
CHEMBL3591,Gamma-aminobutyric acid receptor subunit delta,gabaa_related_site_unverified
CHEMBL3139,Gamma-aminobutyric acid receptor subunit alpha-1,gabaa_related_site_unverified
CHEMBL292,Gamma-aminobutyric acid receptor subunit alpha-4,gabaa_related_site_unverified
CHEMBL5112,Gamma-aminobutyric acid receptor subunit alpha-5,gabaa_related_site_unverified
CHEMBL2579,Gamma-aminobutyric acid receptor subunit alpha-6,gabaa_related_site_unverified
CHEMBL293,Gamma-aminobutyric acid receptor subunit alpha-6,gabaa_related_site_unverified
CHEMBL296,Gamma-aminobutyric acid receptor subunit gamma-1,gabaa_related_site_unverified
CHEMBL300,Gamma-aminobutyric acid receptor subunit alpha-5,gabaa_related_site_unverified
CHEMBL2375,Gamma-aminobutyric acid receptor subunit rho-2,gabaa_rho_separate_review
CHEMBL1847,Gamma-aminobutyric acid receptor subunit beta-3,gabaa_related_site_unverified
CHEMBL2304,Gamma-aminobutyric acid receptor subunit alpha-5,gabaa_related_site_unverified
CHEMBL3026,Gamma-aminobutyric acid receptor subunit alpha-3,gabaa_related_site_unverified
CHEMBL328,Gamma-aminobutyric acid receptor subunit alpha-3,gabaa_related_site_unverified
CHEMBL4956,Gamma-aminobutyric acid receptor subunit alpha-2,gabaa_related_site_unverified
CHEMBL3561,Gamma-aminobutyric acid receptor subunit rho-1,gabaa_rho_separate_review
CHEMBL341,Gamma-aminobutyric acid receptor subunit alpha-2,gabaa_related_site_unverified
CHEMBL343,Gamma-aminobutyric acid receptor subunit alpha-1,gabaa_related_site_unverified
CHEMBL3430899,Gamma-aminobutyric acid receptor subunit alpha-4/beta3/delta,gabaa_related_site_unverified
CHEMBL3883322,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL3885570,Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1,gabaa_related_site_unverified
CHEMBL3885571,Gamma-aminobutyric acid receptor subunit alpha-2/beta-2,gabaa_related_site_unverified
CHEMBL3885572,Gamma-aminobutyric acid receptor subunit alpha-3/ beta-2,gabaa_related_site_unverified
CHEMBL3885573,Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3,gabaa_related_site_unverified
CHEMBL3885574,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3,gabaa_related_site_unverified
CHEMBL3885575,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3/theta,gabaa_related_site_unverified
CHEMBL3885576,Gamma-aminobutyric acid receptor subunit alpha-5/beta-2,gabaa_related_site_unverified
