comparison_group_id,species,assay_detail_assay_organism,receptor_composition,derived_assay_class,endpoint_class,endpoint_detail,standard_type,standard_units,standard_relation,type,units,target_chembl_id,assay_chembl_id,document_chembl_id,assay_detail_description,assay_detail_assay_parameters,assay_detail_variant_sequence,activity_count,compound_count,activity_ids,compound_ids,drug_ids,point_usable_count,numeric_values_not_aggregated
CG_025f22b7b38ed323d6a7,unknown,,alpha1_beta2_gamma2,binding,binding,binding_ic50,IC50,nM,>=,IC50,nM,CHEMBL2095172,CHEMBL678631,CHEMBL1130521,Inhibition of [3H]flumazenil binding to recombinant GABA-A receptor alpha-1-beta-2-gamma-2 subunits,[],,1,1,[574084],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_04c449edf4608c390953,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL822941,CHEMBL1127312,Binding affinity for rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],,2,2,"[320285,331765]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",2,True
CG_0e5315b4786b8b6e1906,human,Homo sapiens,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111413,CHEMBL5146041,CHEMBL5143601,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],,2,2,"[24843235,24843247]","[""CHEMBL12"",""CHEMBL661""]","[""alprazolam"",""diazepam""]",2,True
CG_144cd81959d1cbc1d58f,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL1273616,CHEMBL1268934,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,[],,1,1,[3519534],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_1a45b0053ea5eeefea35,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL6080338,CHEMBL6078658,Displacement of [3H]flumazenil from human recombinant alpha2-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,[],,1,1,[29082452],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_1a6a17c52101b46e112f,human,Homo sapiens,alpha2_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094130,CHEMBL680445,CHEMBL1148356,Percent change in electrophysiological response in Xenopus oocytes expressing alpha-2-beta-3-gamma-2 GABA-A receptor,[],,1,1,[667547],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_1aab5f3c1bea8001d410,unknown,,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL678329,CHEMBL1132940,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,[],,3,3,"[599580,599586,618407]","[""CHEMBL12"",""CHEMBL646"",""CHEMBL911""]","[""diazepam"",""triazolam"",""zolpidem""]",0,True
CG_1cc5d0a0832c7fc7485b,human,Homo sapiens,alpha2_beta2_gamma2,functional,functional_potency,ec50,EC50,nM,=,EC50,M,CHEMBL2111413,CHEMBL824292,CHEMBL1130157,Potentiation of GABA-evoked Cl- currents in Xenopus oocytes expressing human alpha-2-beta-2-gamma-2 subunits,[],,1,1,[1106756],"[""CHEMBL911""]","[""zolpidem""]",1,True
CG_20e8508de5244a23c021,human,Homo sapiens,alpha1_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094121,CHEMBL864006,CHEMBL1148587,Efficacy against human recombinant GABAA alpha-1 in combination with beta3gamma2 expressed in L(tk-) cells by whole cell patch clamp method,[],,1,1,[1667049],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_2126c743cf22babff10c,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL954625,CHEMBL1136986,Displacement of [3H]flumazenil from rat GABA-A alpha-1-beta-2-gamma-2 receptor expressed in HEK293 cells,[],,2,2,"[2633954,2633955]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",1,True
CG_2e9f85f330e92ff4a670,unknown,,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095172,CHEMBL677024,CHEMBL1129282,Displacement of [3H]Flunitrazepam from GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in Sf9 cells,[],,1,1,[351492],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_300313c6523056dfb88b,unknown,,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL822162,CHEMBL1131013,Binding affinity measured using LtK- cell membranes expressing GABA alpha-1-beta-3-gamma-2 receptor,[],,1,1,[886261],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_4a9804e88a309a23f957,unknown,,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL682709,CHEMBL1148356,Binding affinity towards human gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 using [3H]Ro-151788 expressed in L(tk-) cells,[],,2,2,"[667546,662352]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_4ae30c7b981b09fce5d0,rat,Rattus norvegicus,alpha1_beta2_gamma2,functional,functional_efficacy,response_not_established_emax,Activity,%,=,Activity,%,CHEMBL2095167,CHEMBL954630,CHEMBL1136986,Agonist activity at rat GABA-A alpha-1-beta-2-gamma-2 receptor expressed in HEK293 cells assessed as increase in 36Cl- influx,[],,1,1,[2633999],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_4c76e1cd6cec47fa114f,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL917143,CHEMBL1142972,Displacement of [3H]flumazenil from rat GABAA alpha-1-beta-2-gamma-2 expressed in HEK293 cells,[],,1,1,[1825760],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_4d9581572758aa801704,human,Homo sapiens,alpha1_beta2_gamma2,functional,functional_efficacy,fixed_concentration_response,Efficacy,%,=,Efficacy,%,CHEMBL2095172,CHEMBL679559,CHEMBL1133060,Ability to affect GABA-induced chloride current in Xenopus oocytes transiently expressing human GABA-A alpha-1-beta-2-gamma-2 receptors using two-electrode voltage-clamp electrophysiology at test concentration of 1 uM,[],,1,1,[442389],"[""CHEMBL12""]","[""diazepam""]",1,True
