molecule_chembl_id,drug_id,ifp_available,alpha1_binding_primary_count,alpha1_binding_usable_activity_count,alpha1_binding_comparison_group_count,alpha1_binding_human_data,alpha1_binding_manual_review_count,alpha1_binding_manual_review_present,alpha1_functional_potency_primary_count,alpha1_functional_potency_usable_activity_count,alpha1_functional_potency_comparison_group_count,alpha1_functional_potency_human_data,alpha1_functional_potency_manual_review_count,alpha1_functional_potency_manual_review_present,alpha1_functional_efficacy_primary_count,alpha1_functional_efficacy_usable_activity_count,alpha1_functional_efficacy_comparison_group_count,alpha1_functional_efficacy_human_data,alpha1_functional_efficacy_manual_review_count,alpha1_functional_efficacy_manual_review_present,alpha2_binding_primary_count,alpha2_binding_usable_activity_count,alpha2_binding_comparison_group_count,alpha2_binding_human_data,alpha2_binding_manual_review_count,alpha2_binding_manual_review_present,alpha2_functional_potency_primary_count,alpha2_functional_potency_usable_activity_count,alpha2_functional_potency_comparison_group_count,alpha2_functional_potency_human_data,alpha2_functional_potency_manual_review_count,alpha2_functional_potency_manual_review_present,alpha2_functional_efficacy_primary_count,alpha2_functional_efficacy_usable_activity_count,alpha2_functional_efficacy_comparison_group_count,alpha2_functional_efficacy_human_data,alpha2_functional_efficacy_manual_review_count,alpha2_functional_efficacy_manual_review_present,both_subtypes_present,both_subtypes_point_usable,recorded_context_pair_count,total_review_activity_count
CHEMBL12,diazepam,True,15,7,7,True,7,True,0,0,0,False,5,True,7,5,5,True,20,True,11,4,4,True,3,True,0,0,0,False,0,False,1,1,1,True,5,True,True,True,3,90
CHEMBL580,lorazepam,False,0,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,False,False,0,2
CHEMBL452,clonazepam,False,0,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,False,False,0,5
CHEMBL661,alprazolam,True,1,1,1,True,2,True,0,0,0,False,0,False,0,0,0,False,1,True,1,1,1,True,0,False,0,0,0,False,0,False,0,0,0,False,1,True,True,True,1,11
CHEMBL655,midazolam,False,0,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,False,False,0,2
CHEMBL967,temazepam,False,0,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,False,False,0,3
CHEMBL646,triazolam,True,1,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,0,False,1,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,True,False,0,2
CHEMBL911,zolpidem,True,16,3,3,False,6,True,0,0,0,False,2,True,1,0,0,False,5,True,12,3,3,True,0,False,1,1,1,True,0,False,2,1,1,True,2,True,True,True,0,33
CHEMBL135400,zopiclone,False,0,0,0,False,2,True,0,0,0,False,0,False,0,0,0,False,1,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,0,False,False,False,0,3
CHEMBL1521,zaleplon,False,0,0,0,False,2,True,0,0,0,False,1,True,0,0,0,False,0,False,0,0,0,False,0,False,0,0,0,False,1,True,0,0,0,False,0,False,False,False,0,6
