drug_id,receptor_id,pdb_id,pose_id,vina_score_kcal_mol,vina_seed,exhaustiveness,num_modes,pose_pdbqt,pose_pdb,status,rank,energy_range,docking_box,receptor_structure_id,ligand_preparation_method
diazepam,alpha1_beta3_gamma2,6HUP,1,-8.853,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_01.pdb,docked,1,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,2,-8.571,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_02.pdb,docked,2,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,3,-8.22,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_03.pdb,docked,3,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,4,-8.167,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_04.pdb,docked,4,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,5,-7.823,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_05.pdb,docked,5,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,6,-6.93,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_06.pdb,docked,6,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,7,-6.839,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_07.pdb,docked,7,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,8,-6.68,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_08.pdb,docked,8,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
diazepam,alpha1_beta3_gamma2,6HUP,9,-6.654,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/diazepam__alpha1_beta3_gamma2/pose_pdb/pose_09.pdb,docked,9,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
triazolam,alpha1_beta3_gamma2,6HUP,1,-7.755,20260917,8,9,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/triazolam__alpha1_beta3_gamma2/poses.pdbqt,/Users/k-atsumi/Documents/Codex/2026-09-17/files-pasted-by-the-user-benzodiazepine/data/raw/strict3/docking/triazolam__alpha1_beta3_gamma2/pose_pdb/pose_01.pdb,docked,1,4,"117.445,157.465,110.487;20.0,20.0,20.0",6HUP,RDKit ETKDG + MMFF/UFF + Gasteiger/PDBQT writer
