drug_id,molecule_chembl_id,x_block,x_columns,y_column,value,unit,endpoint,endpoint_class,structural_context,pharmacology_context,species,context_match_status,context_reason,pharmacology_context_match_status,source_activity_id,assay_id,document_id
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146040,14.0,nM,Ki,binding,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,context_mismatch,known_beta2_vs_beta3_mismatch; alpha2 additionally local construct,exact_context_match,24843214,CHEMBL5146040,CHEMBL5143601
diazepam,CHEMBL12,alpha2,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha2|gamma2_TYR58__pi_stack__angle_mean"", ""alpha2|gamma2_TYR58__pi_stack__offset_mean"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha2|gamma2_PHE77__pi_stack__angle_mean"", ""alpha2|gamma2_PHE77__pi_stack__offset_mean"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__pi_stack__centdist_mean"", ""alpha2|alpha_HIS102__pi_stack__angle_mean"", ""alpha2|alpha_HIS102__pi_stack__offset_mean"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",y|alpha2_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146041,20.0,nM,Ki,binding,provisional_beta3_alpha2_gamma2_local_CDE,alpha2_beta2_gamma2,human,context_mismatch,known_beta2_vs_beta3_mismatch; alpha2 additionally local construct,exact_context_match,24843235,CHEMBL5146041,CHEMBL5143601
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|binding|Kd|unavailable,NA,NA,Kd,binding,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|binding|other_affinity|unavailable,NA,NA,other_affinity,binding,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|functional_potency|EC50|unavailable,NA,NA,EC50,functional_potency,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|functional_potency|IC50|unavailable,NA,NA,IC50,functional_potency,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|functional_efficacy|Emax|unavailable,NA,NA,Emax,functional_efficacy,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha1,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",y|alpha1_beta2_gamma2|human|functional_efficacy|response|unavailable,NA,NA,response,functional_efficacy,alpha1_beta3_gamma2L_full_pentamer,alpha1_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha2,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha2|gamma2_TYR58__pi_stack__angle_mean"", ""alpha2|gamma2_TYR58__pi_stack__offset_mean"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha2|gamma2_PHE77__pi_stack__angle_mean"", ""alpha2|gamma2_PHE77__pi_stack__offset_mean"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__pi_stack__centdist_mean"", ""alpha2|alpha_HIS102__pi_stack__angle_mean"", ""alpha2|alpha_HIS102__pi_stack__offset_mean"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",y|alpha2_beta2_gamma2|human|binding|Kd|unavailable,NA,NA,Kd,binding,provisional_beta3_alpha2_gamma2_local_CDE,alpha2_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha2,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha2|gamma2_TYR58__pi_stack__angle_mean"", ""alpha2|gamma2_TYR58__pi_stack__offset_mean"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha2|gamma2_PHE77__pi_stack__angle_mean"", ""alpha2|gamma2_PHE77__pi_stack__offset_mean"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__pi_stack__centdist_mean"", ""alpha2|alpha_HIS102__pi_stack__angle_mean"", ""alpha2|alpha_HIS102__pi_stack__offset_mean"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",y|alpha2_beta2_gamma2|human|binding|other_affinity|unavailable,NA,NA,other_affinity,binding,provisional_beta3_alpha2_gamma2_local_CDE,alpha2_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
diazepam,CHEMBL12,alpha2,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha2|gamma2_TYR58__pi_stack__angle_mean"", ""alpha2|gamma2_TYR58__pi_stack__offset_mean"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha2|gamma2_PHE77__pi_stack__angle_mean"", ""alpha2|gamma2_PHE77__pi_stack__offset_mean"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__pi_stack__centdist_mean"", ""alpha2|alpha_HIS102__pi_stack__angle_mean"", ""alpha2|alpha_HIS102__pi_stack__offset_mean"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",y|alpha2_beta2_gamma2|human|functional_potency|EC50|unavailable,NA,NA,EC50,functional_potency,provisional_beta3_alpha2_gamma2_local_CDE,alpha2_beta2_gamma2,human,not_assessed_missing_activity,No observed y; planned context only,NA,NA,NA,NA
