column,receptor_block,receptor_composition,species,endpoint_class,endpoint,unit,relation,assay_id,document_id,availability
y|alpha1_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146040,alpha1,alpha1_beta2_gamma2,human,binding,Ki,nM,=,CHEMBL5146040,CHEMBL5143601,observed_same_recorded_assay_pair
y|alpha2_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146041,alpha2,alpha2_beta2_gamma2,human,binding,Ki,nM,=,CHEMBL5146041,CHEMBL5143601,observed_same_recorded_assay_pair
y|alpha1_beta2_gamma2|human|binding|Kd|unavailable,alpha1,alpha1_beta2_gamma2,human,binding,Kd,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha1_beta2_gamma2|human|binding|other_affinity|unavailable,alpha1,alpha1_beta2_gamma2,human,binding,other_affinity,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha1_beta2_gamma2|human|functional_potency|EC50|unavailable,alpha1,alpha1_beta2_gamma2,human,functional_potency,EC50,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha1_beta2_gamma2|human|functional_potency|IC50|unavailable,alpha1,alpha1_beta2_gamma2,human,functional_potency,IC50,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha1_beta2_gamma2|human|functional_efficacy|Emax|unavailable,alpha1,alpha1_beta2_gamma2,human,functional_efficacy,Emax,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha1_beta2_gamma2|human|functional_efficacy|response|unavailable,alpha1,alpha1_beta2_gamma2,human,functional_efficacy,response,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|binding|Kd|unavailable,alpha2,alpha2_beta2_gamma2,human,binding,Kd,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|binding|other_affinity|unavailable,alpha2,alpha2_beta2_gamma2,human,binding,other_affinity,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|functional_potency|EC50|unavailable,alpha2,alpha2_beta2_gamma2,human,functional_potency,EC50,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|functional_potency|IC50|unavailable,alpha2,alpha2_beta2_gamma2,human,functional_potency,IC50,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|functional_efficacy|Emax|unavailable,alpha2,alpha2_beta2_gamma2,human,functional_efficacy,Emax,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
y|alpha2_beta2_gamma2|human|functional_efficacy|response|unavailable,alpha2,alpha2_beta2_gamma2,human,functional_efficacy,response,NA,NA,NA,NA,no_comparable_two_drug_pair_in_selected_source; context_is_requested_not_observed
