representation,drug_id,cluster,k_requested,k_actual,method
B_alpha1,diazepam,1,3,3,euclidean_average
B_alpha1,alprazolam,1,3,3,euclidean_average
B_alpha1,triazolam,1,3,3,euclidean_average
B_alpha1,zolpidem,2,3,3,euclidean_average
B_alpha1,lorazepam,1,3,3,euclidean_average
B_alpha1,clonazepam,1,3,3,euclidean_average
B_alpha1,midazolam,1,3,3,euclidean_average
B_alpha1,temazepam,1,3,3,euclidean_average
B_alpha1,zopiclone,3,3,3,euclidean_average
B_alpha1,zaleplon,1,3,3,euclidean_average
B_alpha2,diazepam,2,3,3,euclidean_average
B_alpha2,alprazolam,1,3,3,euclidean_average
B_alpha2,triazolam,1,3,3,euclidean_average
B_alpha2,zolpidem,2,3,3,euclidean_average
B_alpha2,lorazepam,1,3,3,euclidean_average
B_alpha2,clonazepam,1,3,3,euclidean_average
B_alpha2,midazolam,1,3,3,euclidean_average
B_alpha2,temazepam,1,3,3,euclidean_average
B_alpha2,zopiclone,1,3,3,euclidean_average
B_alpha2,zaleplon,3,3,3,euclidean_average
E,diazepam,2,3,3,euclidean_average
E,alprazolam,2,3,3,euclidean_average
E,triazolam,2,3,3,euclidean_average
E,zolpidem,1,3,3,euclidean_average
E,lorazepam,2,3,3,euclidean_average
E,clonazepam,2,3,3,euclidean_average
E,midazolam,2,3,3,euclidean_average
E,temazepam,2,3,3,euclidean_average
E,zopiclone,3,3,3,euclidean_average
E,zaleplon,1,3,3,euclidean_average
