kind,drug_a,drug_b,context_id,receptor,endpoint,unit,value_a,value_b,difference_b_minus_a,structural_distance,same_primary_cluster,same_E_cluster,activity_id_a,activity_id_b,assay_id,document_id,context_status,interpretation,study_id,dose_mg_per_kg,time_min,route,source_row_a,source_row_b
pharmacology,diazepam,zolpidem,CG_04c449edf4608c390953,alpha1,Ki,nM,16.0,19.0,3.0,0.8751719407784541,False,False,320285,331765,CHEMBL822941,CHEMBL1127312,recorded_same_assay; structure_beta3_vs_pharmacology_beta2_mismatch,descriptive pair only; no pooled endpoint or association test,NA,NA,NA,NA,NA,NA
pharmacology,diazepam,zolpidem,CG_612500bdac24af01b5bd,alpha2,Ki,nM,20.0,156.0,136.0,0.6138323251970282,True,False,792165,810276,CHEMBL680297,CHEMBL1145105,recorded_same_assay; structure_beta3_vs_pharmacology_beta2_mismatch,descriptive pair only; no pooled endpoint or association test,NA,NA,NA,NA,NA,NA
pharmacology,diazepam,zolpidem,CG_5b90ed247aaede78cf53,alpha1,Ki,nM,14.0,26.7,12.7,0.8751719407784541,False,False,807851,793338,CHEMBL679467,CHEMBL1135690,recorded_same_assay; structure_beta3_vs_pharmacology_beta2_mismatch,descriptive pair only; no pooled endpoint or association test,NA,NA,NA,NA,NA,NA
pharmacology,diazepam,alprazolam,CG_968b29c8291e85dfb3de,alpha1,Ki,nM,14.0,0.8,-13.2,0.5365267208132661,True,True,24843214,24843226,CHEMBL5146040,CHEMBL5143601,recorded_same_assay; structure_beta3_vs_pharmacology_beta2_mismatch,descriptive pair only; no pooled endpoint or association test,NA,NA,NA,NA,NA,NA
pharmacology,diazepam,alprazolam,CG_0e5315b4786b8b6e1906,alpha2,Ki,nM,20.0,0.6,-19.4,0.5559998223643025,False,True,24843235,24843247,CHEMBL5146041,CHEMBL5143601,recorded_same_assay; structure_beta3_vs_pharmacology_beta2_mismatch,descriptive pair only; no pooled endpoint or association test,NA,NA,NA,NA,NA,NA
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|2.0|15.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,1.0,5.0,4.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,2.0,15.0,oral,0,24
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|2.0|30.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,3.0,8.0,5.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,2.0,30.0,oral,1,25
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|2.0|60.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,4.0,7.0,3.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,2.0,60.0,oral,2,26
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|2.0|90.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,3.0,5.0,2.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,2.0,90.0,oral,3,27
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|5.0|15.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,2.0,8.0,6.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,5.0,15.0,oral,4,28
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|5.0|30.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,4.0,9.0,5.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,5.0,30.0,oral,5,29
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|5.0|60.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,5.0,9.0,4.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,5.0,60.0,oral,6,30
mouse_phenotype,diazepam,triazolam,Nishino2008|mouse|not_reported_in_extracted_table|rotarod|oral|5.0|90.0|positive_or_fallen_mice|positive_mice_count,E,positive_or_fallen_mice,positive_mice_count,4.0,4.0,0.0,0.8942934655185265,True,NA,NA,NA,NA,NA,same_recorded_conditions; strain_missing; repeated_conditions_not_independent_drug_pairs,counts and conditions retained; not normalized to a potency label,Nishino2008,5.0,90.0,oral,7,31
