drug_id,molecule_chembl_id,receptor,endpoint_class,endpoint,value,unit,relation,receptor_composition,species,assay_id,target_id,document_id,activity_id,comparison_group_id,assay_description,assay_parameters,source_file,source_sha256,source_json_pointer,source_run,pharmacology_match,structure_pharmacology_match,availability
diazepam,CHEMBL12,alpha1,binding,Ki,16.0,nM,=,alpha1_beta2_gamma2,rat,CHEMBL822941,CHEMBL2095167,CHEMBL1127312,320285,CG_04c449edf4608c390953,Binding affinity for rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00010.json.gz,d835832e14c863e4daa522f99d44a425411d5821d1cfd4d50e5311eef1e678f2,/activities/14,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
zolpidem,CHEMBL911,alpha1,binding,Ki,19.0,nM,=,alpha1_beta2_gamma2,rat,CHEMBL822941,CHEMBL2095167,CHEMBL1127312,331765,CG_04c449edf4608c390953,Binding affinity for rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00054.json.gz,9eba94d3d318634b7dd21bb21ffd8d7b1b57cdcec5e1d904dcbc2fe63ac00792,/activities/0,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
diazepam,CHEMBL12,alpha2,binding,Ki,20.0,nM,=,alpha2_beta2_gamma2,rat,CHEMBL680297,CHEMBL2111327,CHEMBL1145105,792165,CG_612500bdac24af01b5bd,Binding affinity for recombinant rat GABA-A receptor alpha-2-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00010.json.gz,d835832e14c863e4daa522f99d44a425411d5821d1cfd4d50e5311eef1e678f2,/activities/90,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
zolpidem,CHEMBL911,alpha2,binding,Ki,156.0,nM,=,alpha2_beta2_gamma2,rat,CHEMBL680297,CHEMBL2111327,CHEMBL1145105,810276,CG_612500bdac24af01b5bd,Binding affinity for recombinant rat GABA-A receptor alpha-2-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00054.json.gz,9eba94d3d318634b7dd21bb21ffd8d7b1b57cdcec5e1d904dcbc2fe63ac00792,/activities/27,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
diazepam,CHEMBL12,alpha1,binding,Ki,14.0,nM,=,alpha1_beta2_gamma2,rat,CHEMBL679467,CHEMBL2095167,CHEMBL1135690,807851,CG_5b90ed247aaede78cf53,Displacement of [3H]Ro-151788 from rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00010.json.gz,d835832e14c863e4daa522f99d44a425411d5821d1cfd4d50e5311eef1e678f2,/activities/93,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
zolpidem,CHEMBL911,alpha1,binding,Ki,26.7,nM,=,alpha1_beta2_gamma2,rat,CHEMBL679467,CHEMBL2095167,CHEMBL1135690,793338,CG_5b90ed247aaede78cf53,Displacement of [3H]Ro-151788 from rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],raw/responses/request_00054.json.gz,9eba94d3d318634b7dd21bb21ffd8d7b1b57cdcec5e1d904dcbc2fe63ac00792,/activities/25,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
diazepam,CHEMBL12,alpha1,binding,Ki,14.0,nM,=,alpha1_beta2_gamma2,human,CHEMBL5146040,CHEMBL2095172,CHEMBL5143601,24843214,CG_968b29c8291e85dfb3de,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00011.json.gz,31e9d502b2591b5121d4b6dc5d4fc0ca74618d886fe42726d54cc520f9cdfeee,/activities/98,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
alprazolam,CHEMBL661,alpha1,binding,Ki,0.8,nM,=,alpha1_beta2_gamma2,human,CHEMBL5146040,CHEMBL2095172,CHEMBL5143601,24843226,CG_968b29c8291e85dfb3de,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00030.json.gz,1f2a21ede51498267446c620ef83b643ea5156e0291137a109651bd0b8f730b4,/activities/4,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
diazepam,CHEMBL12,alpha2,binding,Ki,20.0,nM,=,alpha2_beta2_gamma2,human,CHEMBL5146041,CHEMBL2111413,CHEMBL5143601,24843235,CG_0e5315b4786b8b6e1906,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00013.json.gz,8dd8bce91be6ccc884e2fef126e3663dd1a6acba39048c2a1feda8d8247ecb40,/activities/20,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
alprazolam,CHEMBL661,alpha2,binding,Ki,0.6,nM,=,alpha2_beta2_gamma2,human,CHEMBL5146041,CHEMBL2111413,CHEMBL5143601,24843247,CG_0e5315b4786b8b6e1906,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00031.json.gz,940669eaab00723cb678d606da81c8fc825f8c42b3ec92e21917635204d6d088,/activities/2,runs/20260918_1518_bzd_pharmacology_filter/processed/bzd_activity_classification.jsonl,exact_recorded_context,context_mismatch,observed_matched
diazepam,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
diazepam,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
diazepam,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
diazepam,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
alprazolam,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
alprazolam,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
alprazolam,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
alprazolam,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha1,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha2,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
triazolam,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zolpidem,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zolpidem,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zolpidem,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zolpidem,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
lorazepam,NA,alpha1,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
lorazepam,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
lorazepam,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
