drug_id,atom1,atom2,element1,element2,bond_fragment_smiles,bond_type,in_ring
diazepam,6,7,C,C,cC(c(c)c)=N,SINGLE,False
alprazolam,13,14,C,C,cC(c(c)c)=N,SINGLE,False
triazolam,13,14,C,C,cC(c(c)c)=N,SINGLE,False
zolpidem,4,5,C,C,cc(-c(c)n)c,SINGLE,False
zolpidem,14,15,C,C,[H]C([H])(C)c(c)n,SINGLE,False
zolpidem,15,16,C,C,[H]C([H])(c)C(N)=O,SINGLE,False
lorazepam,10,11,C,C,cC(c(c)c)=N,SINGLE,False
lorazepam,19,20,C,O,[H]O[C@@]([H])(C)N,SINGLE,False
clonazepam,4,5,C,C,cC(c(c)c)=N,SINGLE,False
clonazepam,14,15,C,N,cc([N+](=O)[O-])c,SINGLE,False
midazolam,13,14,C,C,cC(c(c)c)=N,SINGLE,False
temazepam,4,5,C,O,[H]O[C@@]([H])(C)N,SINGLE,False
temazepam,7,8,C,C,cC(c(c)c)=N,SINGLE,False
zopiclone,5,7,C,O,COC(N)=O,SINGLE,False
zopiclone,7,8,O,C,[H][C@@](OC)(c)N,SINGLE,False
zopiclone,17,18,N,C,CN(c(c)n)C,SINGLE,False
zaleplon,1,2,C,N,[H]C([H])(C)N(C)c,SINGLE,False
zaleplon,2,3,N,C,cN(C)C(C)=O,SINGLE,False
zaleplon,2,6,N,C,CN(C)c(c)c,SINGLE,False
zaleplon,10,11,C,C,cc(-c(c)n)c,SINGLE,False
