representation,seed,aggregate_distance_spearman,aggregate_cluster_ARI,seed_assignments,interpretation
B_alpha1,2026091901,0.8226768166139709,0.6463654223968566,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
B_alpha1,2026091902,0.9143610013175228,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
B_alpha1,2026091903,0.8909312557916816,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
B_alpha1,2026091904,0.879715372782887,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
B_alpha1,2026091905,0.874958826590774,0.6463654223968566,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
B_alpha2,2026091901,0.804875649199235,0.9110671936758893,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 3, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 2}",computational_search_sensitivity_not_biological_replicates
B_alpha2,2026091902,0.8566628348795395,0.6463654223968566,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 2, ""zopiclone"": 1}",computational_search_sensitivity_not_biological_replicates
B_alpha2,2026091903,0.8886253625762184,0.6463654223968566,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 2, ""zopiclone"": 1}",computational_search_sensitivity_not_biological_replicates
B_alpha2,2026091904,0.8377363480858582,0.37375745526838966,"{""alprazolam"": 1, ""clonazepam"": 2, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 1, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 3, ""zolpidem"": 1, ""zopiclone"": 2}",computational_search_sensitivity_not_biological_replicates
B_alpha2,2026091905,0.8921029460046067,0.6428571428571429,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
E,2026091901,0.8607286401180981,1.0,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
E,2026091902,0.9557568899217506,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
E,2026091903,0.9424242424242423,1.0,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
E,2026091904,0.8913043478260868,1.0,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
E,2026091905,0.9182779411417915,0.6428571428571429,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 2, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 2, ""zopiclone"": 3}",computational_search_sensitivity_not_biological_replicates
