representation,drug_i,drug_j,comparable_features,analysis_common_features
B_alpha1,diazepam,diazepam,21,21
B_alpha1,diazepam,alprazolam,21,21
B_alpha1,diazepam,triazolam,21,21
B_alpha1,diazepam,zolpidem,21,21
B_alpha1,diazepam,lorazepam,21,21
B_alpha1,diazepam,clonazepam,21,21
B_alpha1,diazepam,midazolam,21,21
B_alpha1,diazepam,temazepam,21,21
B_alpha1,diazepam,zopiclone,21,21
B_alpha1,diazepam,zaleplon,21,21
B_alpha1,alprazolam,diazepam,21,21
B_alpha1,alprazolam,alprazolam,21,21
B_alpha1,alprazolam,triazolam,21,21
B_alpha1,alprazolam,zolpidem,21,21
B_alpha1,alprazolam,lorazepam,21,21
B_alpha1,alprazolam,clonazepam,21,21
B_alpha1,alprazolam,midazolam,21,21
B_alpha1,alprazolam,temazepam,21,21
B_alpha1,alprazolam,zopiclone,21,21
B_alpha1,alprazolam,zaleplon,21,21
B_alpha1,triazolam,diazepam,21,21
B_alpha1,triazolam,alprazolam,21,21
B_alpha1,triazolam,triazolam,21,21
B_alpha1,triazolam,zolpidem,21,21
B_alpha1,triazolam,lorazepam,21,21
B_alpha1,triazolam,clonazepam,21,21
B_alpha1,triazolam,midazolam,21,21
B_alpha1,triazolam,temazepam,21,21
B_alpha1,triazolam,zopiclone,21,21
B_alpha1,triazolam,zaleplon,21,21
B_alpha1,zolpidem,diazepam,21,21
B_alpha1,zolpidem,alprazolam,21,21
B_alpha1,zolpidem,triazolam,21,21
B_alpha1,zolpidem,zolpidem,21,21
B_alpha1,zolpidem,lorazepam,21,21
B_alpha1,zolpidem,clonazepam,21,21
B_alpha1,zolpidem,midazolam,21,21
B_alpha1,zolpidem,temazepam,21,21
B_alpha1,zolpidem,zopiclone,21,21
B_alpha1,zolpidem,zaleplon,21,21
B_alpha1,lorazepam,diazepam,21,21
B_alpha1,lorazepam,alprazolam,21,21
B_alpha1,lorazepam,triazolam,21,21
B_alpha1,lorazepam,zolpidem,21,21
B_alpha1,lorazepam,lorazepam,21,21
B_alpha1,lorazepam,clonazepam,21,21
B_alpha1,lorazepam,midazolam,21,21
B_alpha1,lorazepam,temazepam,21,21
B_alpha1,lorazepam,zopiclone,21,21
B_alpha1,lorazepam,zaleplon,21,21
B_alpha1,clonazepam,diazepam,21,21
B_alpha1,clonazepam,alprazolam,21,21
B_alpha1,clonazepam,triazolam,21,21
B_alpha1,clonazepam,zolpidem,21,21
B_alpha1,clonazepam,lorazepam,21,21
B_alpha1,clonazepam,clonazepam,21,21
B_alpha1,clonazepam,midazolam,21,21
B_alpha1,clonazepam,temazepam,21,21
B_alpha1,clonazepam,zopiclone,21,21
B_alpha1,clonazepam,zaleplon,21,21
B_alpha1,midazolam,diazepam,21,21
B_alpha1,midazolam,alprazolam,21,21
B_alpha1,midazolam,triazolam,21,21
B_alpha1,midazolam,zolpidem,21,21
B_alpha1,midazolam,lorazepam,21,21
B_alpha1,midazolam,clonazepam,21,21
B_alpha1,midazolam,midazolam,21,21
B_alpha1,midazolam,temazepam,21,21
B_alpha1,midazolam,zopiclone,21,21
B_alpha1,midazolam,zaleplon,21,21
B_alpha1,temazepam,diazepam,21,21
B_alpha1,temazepam,alprazolam,21,21
B_alpha1,temazepam,triazolam,21,21
B_alpha1,temazepam,zolpidem,21,21
B_alpha1,temazepam,lorazepam,21,21
B_alpha1,temazepam,clonazepam,21,21
B_alpha1,temazepam,midazolam,21,21
B_alpha1,temazepam,temazepam,21,21
B_alpha1,temazepam,zopiclone,21,21
B_alpha1,temazepam,zaleplon,21,21
B_alpha1,zopiclone,diazepam,21,21
B_alpha1,zopiclone,alprazolam,21,21
B_alpha1,zopiclone,triazolam,21,21
B_alpha1,zopiclone,zolpidem,21,21
B_alpha1,zopiclone,lorazepam,21,21
B_alpha1,zopiclone,clonazepam,21,21
B_alpha1,zopiclone,midazolam,21,21
B_alpha1,zopiclone,temazepam,21,21
B_alpha1,zopiclone,zopiclone,21,21
B_alpha1,zopiclone,zaleplon,21,21
B_alpha1,zaleplon,diazepam,21,21
B_alpha1,zaleplon,alprazolam,21,21
B_alpha1,zaleplon,triazolam,21,21
