representation,drug_id,diazepam,alprazolam,triazolam,zolpidem,lorazepam,clonazepam,midazolam,temazepam,zopiclone,zaleplon
B_alpha1,diazepam,1.0,0.9454528714519743,0.9490213708962519,0.9098333292909875,0.9090103261308549,0.9789069635411956,0.9596925552657634,0.9182731980021637,0.7165717567179208,0.9492820086623645
B_alpha1,alprazolam,0.9454528714519743,1.0,0.9871575574093243,0.9314995336408023,0.9310779600844121,0.9798515227385469,0.9667270068679182,0.9615040312945289,0.8159157880779705,0.9558992059665811
B_alpha1,triazolam,0.9490213708962519,0.9871575574093243,1.0,0.9242959579498502,0.9423124180938313,0.9801985111237324,0.9771303305611828,0.9660817057797098,0.7812221888116929,0.9536673009663921
B_alpha1,zolpidem,0.9098333292909875,0.9314995336408023,0.9242959579498502,1.0,0.8576622203124692,0.9337604200489865,0.9048645778823591,0.9036848279367751,0.7874508442062118,0.9536182865666444
B_alpha1,lorazepam,0.9090103261308549,0.9310779600844121,0.9423124180938313,0.8576622203124692,1.0,0.9355107945831664,0.9314558037655042,0.9601915324805061,0.8088500397353817,0.909906465459776
B_alpha1,clonazepam,0.9789069635411956,0.9798515227385469,0.9801985111237324,0.9337604200489865,0.9355107945831664,1.0,0.9709866320136686,0.9562997284504106,0.7980216127561707,0.9628338109661015
B_alpha1,midazolam,0.9596925552657634,0.9667270068679182,0.9771303305611828,0.9048645778823591,0.9314558037655042,0.9709866320136686,1.0,0.9380422754968953,0.7415608221573364,0.9389710680668851
B_alpha1,temazepam,0.9182731980021637,0.9615040312945289,0.9660817057797098,0.9036848279367751,0.9601915324805061,0.9562997284504106,0.9380422754968953,1.0,0.7834362093656877,0.9391045199211738
B_alpha1,zopiclone,0.7165717567179208,0.8159157880779705,0.7812221888116929,0.7874508442062118,0.8088500397353817,0.7980216127561707,0.7415608221573364,0.7834362093656877,1.0,0.7801487664187201
B_alpha1,zaleplon,0.9492820086623645,0.9558992059665811,0.9536673009663921,0.9536182865666444,0.909906465459776,0.9628338109661015,0.9389710680668851,0.9391045199211738,0.7801487664187201,1.0
B_alpha2,diazepam,1.0,0.9228729935544244,0.8158747605467628,0.9186254932819361,0.6591776488991311,0.7372260802513695,0.8767793228755665,0.8201472476422559,0.8426162435422158,0.8569568545986067
B_alpha2,alprazolam,0.9228729935544244,1.0,0.9604930320578692,0.871921789474061,0.7900705878509012,0.825601782443009,0.94507734582068,0.8833039905025364,0.7836942407799259,0.78179859656055
B_alpha2,triazolam,0.8158747605467628,0.9604930320578692,1.0,0.798394328657084,0.8641325103042751,0.8573830255029683,0.9335844744154361,0.8743746162846273,0.7201464088654366,0.6817534601901272
B_alpha2,zolpidem,0.9186254932819361,0.871921789474061,0.798394328657084,1.0,0.7328452655738938,0.755790613383958,0.8742631743604184,0.8166223408470641,0.8778853476898667,0.8865578002719016
B_alpha2,lorazepam,0.6591776488991311,0.7900705878509012,0.8641325103042751,0.7328452655738938,1.0,0.934425248563098,0.8442066136574257,0.8439805061901883,0.7365366602966081,0.5547484739291777
B_alpha2,clonazepam,0.7372260802513695,0.825601782443009,0.8573830255029683,0.755790613383958,0.934425248563098,1.0,0.8386377396762256,0.8169210832640317,0.7321997572145273,0.6181015452985081
B_alpha2,midazolam,0.8767793228755665,0.94507734582068,0.9335844744154361,0.8742631743604184,0.8442066136574257,0.8386377396762256,1.0,0.9065645441184725,0.8018935545310604,0.7885131703667918
B_alpha2,temazepam,0.8201472476422559,0.8833039905025364,0.8743746162846273,0.8166223408470641,0.8439805061901883,0.8169210832640317,0.9065645441184725,1.0,0.8953162537990889,0.7057192778395386
B_alpha2,zopiclone,0.8426162435422158,0.7836942407799259,0.7201464088654366,0.8778853476898667,0.7365366602966081,0.7321997572145273,0.8018935545310604,0.8953162537990889,1.0,0.8090483182583958
B_alpha2,zaleplon,0.8569568545986067,0.78179859656055,0.6817534601901272,0.8865578002719016,0.5547484739291777,0.6181015452985081,0.7885131703667918,0.7057192778395386,0.8090483182583958,1.0
E,diazepam,1.0,0.9215880751412203,0.8919888808077634,0.9114340635363558,0.8012715232801305,0.8791320729394972,0.9219416500013407,0.8760469044295933,0.7369006261620187,0.9066115899923908
E,alprazolam,0.9215880751412203,1.0,0.9758833482626489,0.9060056865490808,0.8725074864533762,0.9286595941010852,0.9390950379184763,0.9296720938224846,0.8069918495934667,0.8722206360380481
E,triazolam,0.8919888808077634,0.9758833482626489,1.0,0.8783218495935423,0.9100457779703108,0.937624857645845,0.9523821864619423,0.9322787355824775,0.7576646836468074,0.8359051389220066
E,zolpidem,0.9114340635363558,0.9060056865490808,0.8783218495935423,1.0,0.8074695256551746,0.8685399372332796,0.8887522607670867,0.8706730354909762,0.8028204123765045,0.9209415979797944
E,lorazepam,0.8012715232801305,0.8725074864533762,0.9100457779703108,0.8074695256551746,1.0,0.9329484335246362,0.89213570357512,0.913308479610294,0.7695113660748216,0.7509274861290973
E,clonazepam,0.8791320729394972,0.9286595941010852,0.937624857645845,0.8685399372332796,0.9329484335246362,1.0,0.9113140317008261,0.9050018146125817,0.7718511767239263,0.8151158547104131
E,midazolam,0.9219416500013407,0.9390950379184763,0.9523821864619423,0.8887522607670867,0.89213570357512,0.9113140317008261,1.0,0.9215255236818368,0.7374004267831665,0.8685692245807242
E,temazepam,0.8760469044295933,0.9296720938224846,0.9322787355824775,0.8706730354909762,0.913308479610294,0.9050018146125817,0.9215255236818368,1.0,0.8050094299328635,0.8361042307768178
E,zopiclone,0.7369006261620187,0.8069918495934667,0.7576646836468074,0.8028204123765045,0.7695113660748216,0.7718511767239263,0.7374004267831665,0.8050094299328635,1.0,0.7627664551968699
E,zaleplon,0.9066115899923908,0.8722206360380481,0.8359051389220066,0.9209415979797944,0.7509274861290973,0.8151158547104131,0.8685692245807242,0.8361042307768178,0.7627664551968699,1.0
