representation,metric,k,aggregate_primary_ARI,assignments,complete_nonconstant_features,excluded_missing_or_constant
B_alpha1,euclidean,2,0.5833333333333334,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 2}",NA,NA
B_alpha1,euclidean,3,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 2, ""zopiclone"": 3}",NA,NA
B_alpha1,euclidean,4,0.6938775510204082,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 3, ""zopiclone"": 4}",NA,NA
B_alpha1,cosine,2,0.5833333333333334,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 2}",NA,NA
B_alpha1,cosine,3,0.6463654223968566,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",NA,NA
B_alpha1,cosine,4,0.28191489361702127,"{""alprazolam"": 3, ""clonazepam"": 3, ""diazepam"": 3, ""lorazepam"": 2, ""midazolam"": 3, ""temazepam"": 2, ""triazolam"": 3, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 4}",NA,NA
B_alpha2,euclidean,2,0.9112426035502958,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 2, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 2, ""zopiclone"": 1}",NA,NA
B_alpha2,euclidean,3,1.0,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 2, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 2, ""zopiclone"": 1}",NA,NA
B_alpha2,euclidean,4,0.731610337972167,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 3, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 4, ""zolpidem"": 3, ""zopiclone"": 2}",NA,NA
B_alpha2,cosine,2,0.19801980198019803,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 2, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 2, ""triazolam"": 1, ""zaleplon"": 2, ""zolpidem"": 2, ""zopiclone"": 2}",NA,NA
B_alpha2,cosine,3,0.46215139442231074,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 3, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 2, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 3, ""zopiclone"": 2}",NA,NA
B_alpha2,cosine,4,0.18837675350701402,"{""alprazolam"": 1, ""clonazepam"": 2, ""diazepam"": 4, ""lorazepam"": 2, ""midazolam"": 1, ""temazepam"": 3, ""triazolam"": 1, ""zaleplon"": 4, ""zolpidem"": 4, ""zopiclone"": 3}",NA,NA
E,euclidean,2,0.6908734052993131,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 2}",NA,NA
E,euclidean,3,1.0,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",NA,NA
E,euclidean,4,0.9554896142433235,"{""alprazolam"": 3, ""clonazepam"": 3, ""diazepam"": 3, ""lorazepam"": 3, ""midazolam"": 3, ""temazepam"": 3, ""triazolam"": 3, ""zaleplon"": 2, ""zolpidem"": 1, ""zopiclone"": 4}",NA,NA
E,cosine,2,0.38596491228070173,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 2}",NA,NA
E,cosine,3,0.6428571428571429,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",NA,NA
E,cosine,4,0.28,"{""alprazolam"": 3, ""clonazepam"": 2, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 3, ""temazepam"": 3, ""triazolam"": 3, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 4}",NA,NA
A_alpha1,jaccard,3,-0.22899159663865545,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 2, ""lorazepam"": 1, ""midazolam"": 3, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 1}",21,0
C_alpha1,euclidean,3,0.6463654223968566,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 2, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",60,0
D_alpha1,euclidean,3,0.3382352941176471,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 1, ""zolpidem"": 1, ""zopiclone"": 3}",63,15
A_alpha2,jaccard,3,0.2043222003929273,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 1, ""zopiclone"": 2}",27,0
C_alpha2,euclidean,3,1.0,"{""alprazolam"": 2, ""clonazepam"": 2, ""diazepam"": 1, ""lorazepam"": 2, ""midazolam"": 2, ""temazepam"": 2, ""triazolam"": 2, ""zaleplon"": 3, ""zolpidem"": 1, ""zopiclone"": 2}",58,0
D_alpha2,euclidean,3,0.2043222003929273,"{""alprazolam"": 1, ""clonazepam"": 1, ""diazepam"": 1, ""lorazepam"": 1, ""midazolam"": 1, ""temazepam"": 1, ""triazolam"": 1, ""zaleplon"": 3, ""zolpidem"": 1, ""zopiclone"": 2}",55,15
