evidence_id,drug,phenotype_axis,block_key,tier,tier_reason,primary_eligible
Y0001,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0002,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0003,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0004,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0005,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0006,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0007,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0008,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
Y0009,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0010,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0011,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0012,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0013,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0014,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0015,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0016,diazepam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0017,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0018,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0019,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0020,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0021,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0022,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
Y0023,triazolam,P1,Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,2,numeric but unmatched dose/vehicle/age/study or single panel drug,False
