drug,phenotype_axis,evidence_rows,numeric_rows,tier1_rows,status
diazepam,P1,20,16,8,numeric_available
diazepam,P2,0,0,0,NA
diazepam,P3,0,0,0,NA
diazepam,P4,0,0,0,NA
alprazolam,P1,2,0,0,qualitative_only
alprazolam,P2,0,0,0,NA
alprazolam,P3,1,0,0,qualitative_only
alprazolam,P4,0,0,0,NA
triazolam,P1,17,16,8,numeric_available
triazolam,P2,1,0,0,qualitative_only
triazolam,P3,1,0,0,qualitative_only
triazolam,P4,1,1,0,numeric_available
zolpidem,P1,3,0,0,qualitative_only
zolpidem,P2,2,0,0,qualitative_only
zolpidem,P3,1,0,0,qualitative_only
zolpidem,P4,2,2,0,numeric_available
lorazepam,P1,2,0,0,qualitative_only
lorazepam,P2,0,0,0,NA
lorazepam,P3,0,0,0,NA
lorazepam,P4,0,0,0,NA
clonazepam,P1,1,0,0,qualitative_only
clonazepam,P2,0,0,0,NA
clonazepam,P3,1,0,0,qualitative_only
clonazepam,P4,0,0,0,NA
midazolam,P1,0,0,0,NA
midazolam,P2,0,0,0,NA
midazolam,P3,0,0,0,NA
midazolam,P4,6,6,0,numeric_available
temazepam,P1,0,0,0,NA
temazepam,P2,0,0,0,NA
temazepam,P3,1,0,0,qualitative_only
temazepam,P4,0,0,0,NA
zopiclone,P1,1,0,0,qualitative_only
zopiclone,P2,1,0,0,qualitative_only
zopiclone,P3,0,0,0,NA
zopiclone,P4,2,2,0,numeric_available
zaleplon,P1,1,0,0,qualitative_only
zaleplon,P2,1,0,0,qualitative_only
zaleplon,P3,1,0,0,qualitative_only
zaleplon,P4,0,0,0,NA
