path,sha256,audit_disposition
data/processed/phenotype_processed.csv,1b1a32ae497012080f76e22af83c5943802516ace1a9b6881aaed89ef64871d4,header-only; no observations
data/raw/phenotype/phenotype.template.csv,f6616761eba4b11dd62d842fd7b4795a890b83c07e2cb3ffd883cf800dde893f,template/test fixture; not scientific observations
results/figures/phenotype_heatmap.png,1c7ddc37437c0554c3d214a028d2cd191d73d5d29b47360bfbaada1d89b5ff87,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1602_base_pipeline/figures/phenotype_heatmap.png,1c7ddc37437c0554c3d214a028d2cd191d73d5d29b47360bfbaada1d89b5ff87,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1602_base_pipeline/processed/phenotype_processed.csv,1b1a32ae497012080f76e22af83c5943802516ace1a9b6881aaed89ef64871d4,header-only; no observations
runs/20260917_1706_structure_mouse_bridge/FINAL_REPORT.md,3b12c54ffc2e1460978750dce24e817d08ee069e6062e65c3c03d93ceb40069f,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/QC_REPORT.md,52ac782da7127afdc5f5d2c74e9b71b0ca89e0d603f1b0305893061e8d65b600,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,canonical 44-row archived source; all rows retained
runs/20260917_1706_structure_mouse_bridge/data/processed/reassigned_interactions.csv,f98c0d507f28fbb7af0ef9531818906e5d0a37c629339d1a8b50b89ed4bfc3e9,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/aromatic_interaction_summary.csv,73e12dfa8547bfccca4290a55484559716716babafafb8ba06023489bbbeca4c,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/corrected_residue_mapping.csv,49cf7fa337afffed5474e3754288c7bcd1ca65eeae5ff34b740d08505f7d8e6e,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/docking_results_4drug.csv,8c4fbe72d6887487ec0753684f763695e8858311d5248bebab9a6bd545641f53,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/plip_interactions_4drug.csv,35c7906b49ec44eb497b98a107ecfce72b63da341ee440e393e86644ace23009,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/recovered_interactions_qc.csv,62870af0235b79a94721d8fd6d5ff377cacfa2433ee2c59c56816edd9786e54d,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/residue_interaction_features_alpha1.csv,6f431deff268e32af462c14bc621c5ef091ea0cb6a09a1138ef53c34a963ee81,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/data/raw/lineage/residue_interaction_features_alpha2.csv,94d82b7b1bf32334372b606534a54aa7dd02917de826cacf1f61a5563f86fa77,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/reports/STRUCTURE_TO_MOUSE_PHENOTYPE_REPORT.md,3b12c54ffc2e1460978750dce24e817d08ee069e6062e65c3c03d93ceb40069f,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/results/figures/mouse_primary_phenotype_heatmap.png,4008377020e0b1d03fa57381abcda700ba9d51acf5ecc6630c38426be53f695c,derived or lineage duplicate; not re-counted as independent evidence
runs/20260917_1706_structure_mouse_bridge/results/figures/residue_ligand_frequency_heatmap.png,fc204794c6a201d48c6f2851147dd8d3e7019b350f8a27760c821ad664f3c6c1,derived or lineage duplicate; not re-counted as independent evidence
