block_key,phenotype_axis,drug1,drug2,representation,structural_euclidean,structural_cosine,phenotype_abs_difference,phenotype_similarity,evidence_ids,n_effective_drugs,pair_independence
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.4,0.6,Y0001;Y0025,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.4,0.6,Y0001;Y0025,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.4,0.6,Y0001;Y0025,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.5,0.5,Y0002;Y0026,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.5,0.5,Y0002;Y0026,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.5,0.5,Y0002;Y0026,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.29999999999999993,0.7000000000000001,Y0003;Y0027,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.29999999999999993,0.7000000000000001,Y0003;Y0027,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.29999999999999993,0.7000000000000001,Y0003;Y0027,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.2,0.8,Y0004;Y0028,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.2,0.8,Y0004;Y0028,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.2,0.8,Y0004;Y0028,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.6000000000000001,0.3999999999999999,Y0005;Y0029,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.6000000000000001,0.3999999999999999,Y0005;Y0029,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.6000000000000001,0.3999999999999999,Y0005;Y0029,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha1,0.4669394044278203,0.9490213708962517,0.5,0.5,Y0006;Y0030,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,alpha2,0.762711213410245,0.8158747605467626,0.5,0.5,Y0006;Y0030,2,same drug pair repeated across conditions; not independent
Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,P1,diazepam,triazolam,E,0.8942934655185264,0.8919888808077633,0.5,0.5,Y0006;Y0030,2,same drug pair repeated across conditions; not independent
