study_id,assay_name,species,strain,sex,administration_route,observation_time,outcome_name,vehicle,co_treatment,acute_chronic,drug,phenotype_axis,tested_doses,dose_unit,maximum_observed_effect,auc_observed_range,auc_unit,lowest_effective_dose,ED50,notes,ED50_interval
Nishino2008,rotarod,mouse,ICR,male,oral,15.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,diazepam,P1,"[2.0, 5.0, 10.0, 20.0]",mg/kg,0.9,8.45,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,15.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,triazolam,P1,"[0.5, 1.0, 2.0, 5.0]",mg/kg,0.8,2.475,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,30.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,diazepam,P1,"[2.0, 5.0, 10.0, 20.0]",mg/kg,1.0,12.3,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,30.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,triazolam,P1,"[0.5, 1.0, 2.0, 5.0]",mg/kg,0.9,3.325,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,60.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,diazepam,P1,"[2.0, 5.0, 10.0, 20.0]",mg/kg,1.0,14.35,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,60.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,triazolam,P1,"[0.5, 1.0, 2.0, 5.0]",mg/kg,0.9,3.1250000000000004,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,90.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,diazepam,P1,"[2.0, 5.0, 10.0, 20.0]",mg/kg,0.9,12.55,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,rotarod,mouse,ICR,male,oral,90.0,positive_or_fallen_mice,0.5% CMC sodium,none,acute,triazolam,P1,"[0.5, 1.0, 2.0, 5.0]",mg/kg,0.9,1.975,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Shi2024_PMC11559241,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,within 10 min,LORR_count,NA,none,acute dose determination,midazolam,P4,"[30.0, 37.38, 46.56, 58.0, 71.25, 90.0]",mg/kg,1.0,41.52583333333334,fraction * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Tanaka2008,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,duration after thiopental,righting_reflex_duration,0.5% PPG,thiopental 20 mg/kg IV 10 min after drug,acute,triazolam,P4,[0.3],mg/kg,234.8,NA,seconds * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Tanaka2008,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,duration after thiopental,righting_reflex_duration,0.5% PPG,thiopental 20 mg/kg IV 10 min after drug,acute,zopiclone,P4,"[3.0, 6.0]",mg/kg,227.2,560.25,seconds * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Tanaka2008,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,duration after thiopental,righting_reflex_duration,saline,thiopental 20 mg/kg IV 10 min after drug,acute,zolpidem,P4,"[3.0, 10.0]",mg/kg,1109.1,4600.4,seconds * mg/kg,NA,NA,No significance-based threshold inferred. AUC descriptive within this drug/range only; different ranges not compared. No dose-only potency ranking.,NA
Nishino2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diazepam,P1,NA,mg/kg,NA,NA,NA,NA,3.11,"Source-reported probit estimate, not refit; rotarod context only, no exposure adjustment",2.53-3.81
Nishino2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,triazolam,P1,NA,mg/kg,NA,NA,NA,NA,1.25,"Source-reported probit estimate, not refit; rotarod context only, no exposure adjustment",1.00-1.49
Shi2024_PMC11559241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,midazolam,P4,NA,mg/kg,NA,NA,NA,NA,46.0,"Source-reported ED50; juvenile LORR, no cross-study potency comparison",32.809-56.841
