drug,receptor_block,seed,source_file,snapshot_file,sha256,docking_manifest_sha256,archive_member_sha256,n_models,n_result_records,n_valid_records,expected_n_poses,n_issues,file_status
diazepam,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,data/pdbqt/diazepam/alpha1/2026091901/poses.pdbqt,7c721834305bf82efd117d7106c6be989dc14d09d9dbef6fb9c9dfb87fcb75bf,7c721834305bf82efd117d7106c6be989dc14d09d9dbef6fb9c9dfb87fcb75bf,7c721834305bf82efd117d7106c6be989dc14d09d9dbef6fb9c9dfb87fcb75bf,9,9,9,9,0,ok
diazepam,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,data/pdbqt/diazepam/alpha1/2026091902/poses.pdbqt,6112b0cafbea1fc4f3a221249de0bee208a253d3af11cb9b857d3ce6120814cd,6112b0cafbea1fc4f3a221249de0bee208a253d3af11cb9b857d3ce6120814cd,6112b0cafbea1fc4f3a221249de0bee208a253d3af11cb9b857d3ce6120814cd,9,9,9,9,0,ok
diazepam,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,data/pdbqt/diazepam/alpha1/2026091903/poses.pdbqt,0e91ffa482590ec9f9c2fa537cb983530101623642ac84d82352de6eeead8016,0e91ffa482590ec9f9c2fa537cb983530101623642ac84d82352de6eeead8016,0e91ffa482590ec9f9c2fa537cb983530101623642ac84d82352de6eeead8016,9,9,9,9,0,ok
diazepam,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,data/pdbqt/diazepam/alpha1/2026091904/poses.pdbqt,449845d96e94ff6b5ba4190e273d7a2ddc8f4319b01d076af46094862051581c,449845d96e94ff6b5ba4190e273d7a2ddc8f4319b01d076af46094862051581c,449845d96e94ff6b5ba4190e273d7a2ddc8f4319b01d076af46094862051581c,9,9,9,9,0,ok
diazepam,alpha1,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,data/pdbqt/diazepam/alpha1/2026091905/poses.pdbqt,d723c44be1583e254703352c34d9a58cc313d9642a8eab66f00bde9b23166668,d723c44be1583e254703352c34d9a58cc313d9642a8eab66f00bde9b23166668,d723c44be1583e254703352c34d9a58cc313d9642a8eab66f00bde9b23166668,9,9,9,9,0,ok
diazepam,alpha2,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,data/pdbqt/diazepam/alpha2/2026091901/poses.pdbqt,a9aec37adf92854351c2320326fc1d5789c05e83c0d0b45570d99a0565617317,a9aec37adf92854351c2320326fc1d5789c05e83c0d0b45570d99a0565617317,a9aec37adf92854351c2320326fc1d5789c05e83c0d0b45570d99a0565617317,9,9,9,9,0,ok
diazepam,alpha2,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,data/pdbqt/diazepam/alpha2/2026091902/poses.pdbqt,b076f0b29ce3e861683e915b66598d5df8138ccba92231a5fe4a817f7137b321,b076f0b29ce3e861683e915b66598d5df8138ccba92231a5fe4a817f7137b321,b076f0b29ce3e861683e915b66598d5df8138ccba92231a5fe4a817f7137b321,9,9,9,9,0,ok
diazepam,alpha2,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,data/pdbqt/diazepam/alpha2/2026091903/poses.pdbqt,da2ce0948f9fb13f1998cc0e3003d0f8e28b8d53f2b9fdc5b27937916ac7e819,da2ce0948f9fb13f1998cc0e3003d0f8e28b8d53f2b9fdc5b27937916ac7e819,da2ce0948f9fb13f1998cc0e3003d0f8e28b8d53f2b9fdc5b27937916ac7e819,9,9,9,9,0,ok
diazepam,alpha2,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,data/pdbqt/diazepam/alpha2/2026091904/poses.pdbqt,10a8e3630d6ec7b513f812ab20459414e09da6aa30294363945d214d1003ed0a,10a8e3630d6ec7b513f812ab20459414e09da6aa30294363945d214d1003ed0a,10a8e3630d6ec7b513f812ab20459414e09da6aa30294363945d214d1003ed0a,9,9,9,9,0,ok
diazepam,alpha2,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,data/pdbqt/diazepam/alpha2/2026091905/poses.pdbqt,ffa2a0f307f9231f5f6330766d4dcdf3a9d70983c65fa93069d377d7558515ed,ffa2a0f307f9231f5f6330766d4dcdf3a9d70983c65fa93069d377d7558515ed,ffa2a0f307f9231f5f6330766d4dcdf3a9d70983c65fa93069d377d7558515ed,9,9,9,9,0,ok
