drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,line_number,record_index,record_status,raw_record
diazepam,alpha1,2026091901,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000
diazepam,alpha1,2026091901,2,-9.433,3.01,5.965,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.433      3.010      5.965
diazepam,alpha1,2026091901,3,-9.246,2.549,3.352,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.246      2.549      3.352
diazepam,alpha1,2026091901,4,-8.813,1.845,4.704,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.813      1.845      4.704
diazepam,alpha1,2026091901,5,-7.847,3.339,5.005,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -7.847      3.339      5.005
diazepam,alpha1,2026091901,6,-6.717,5.133,7.245,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.717      5.133      7.245
diazepam,alpha1,2026091901,7,-6.643,5.08,7.178,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.643      5.080      7.178
diazepam,alpha1,2026091901,8,-6.603,4.729,7.072,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.603      4.729      7.072
diazepam,alpha1,2026091901,9,-6.563,6.296,8.891,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.563      6.296      8.891
diazepam,alpha1,2026091902,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000
diazepam,alpha1,2026091902,2,-9.397,3.007,5.975,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.397      3.007      5.975
