drug,receptor_block,median_best_seed_score,mean_best_seed_score,min_best_seed_score,max_best_seed_score,IQR_best_seed_score,n_seeds_available,n_seeds_expected,best_score_seed_2026091901,best_score_seed_2026091902,best_score_seed_2026091903,best_score_seed_2026091904,best_score_seed_2026091905
diazepam,alpha1,-10.13,-10.1372,-10.155,-10.124,0.028999999999999915,5,5,-10.124,-10.124,-10.155,-10.153,-10.13
diazepam,alpha2,-7.774,-7.8146,-7.907,-7.733,0.14500000000000046,5,5,-7.902,-7.907,-7.733,-7.774,-7.757
alprazolam,alpha1,-10.581,-10.5808,-10.589,-10.574,0.010000000000001563,5,5,-10.585,-10.575,-10.589,-10.581,-10.574
alprazolam,alpha2,-7.657,-7.656000000000001,-7.66,-7.65,0.001000000000000334,5,5,-7.657,-7.65,-7.656,-7.657,-7.66
triazolam,alpha1,-10.887,-10.8818,-10.889,-10.871,0.016000000000000014,5,5,-10.889,-10.873,-10.889,-10.871,-10.887
triazolam,alpha2,-6.82,-6.8427999999999995,-6.901,-6.806,0.052999999999999936,5,5,-6.901,-6.817,-6.82,-6.87,-6.806
zolpidem,alpha1,-10.359,-10.359200000000001,-10.374,-10.348,0.015000000000000568,5,5,-10.365,-10.348,-10.359,-10.374,-10.35
zolpidem,alpha2,-7.525,-7.5238,-7.545,-7.499,0.005999999999999339,5,5,-7.499,-7.528,-7.545,-7.522,-7.525
lorazepam,alpha1,-8.499,-8.5118,-8.546,-8.494,0.027999999999998693,5,5,-8.499,-8.496,-8.546,-8.524,-8.494
lorazepam,alpha2,-6.848,-6.8446,-6.882,-6.813,0.041999999999999815,5,5,-6.861,-6.882,-6.819,-6.848,-6.813
clonazepam,alpha1,-9.497,-9.496,-9.503,-9.485,0.009000000000000341,5,5,-9.497,-9.493,-9.485,-9.502,-9.503
clonazepam,alpha2,-6.873,-6.873600000000001,-6.879,-6.87,0.0039999999999995595,5,5,-6.875,-6.873,-6.879,-6.87,-6.871
midazolam,alpha1,-10.753,-10.7474,-10.754,-10.731,0.009000000000000341,5,5,-10.754,-10.754,-10.745,-10.753,-10.731
midazolam,alpha2,-7.546,-7.5652,-7.661,-7.489,0.09799999999999986,5,5,-7.516,-7.546,-7.614,-7.661,-7.489
temazepam,alpha1,-9.788,-9.7898,-9.8,-9.786,0.0009999999999994458,5,5,-9.8,-9.787,-9.786,-9.788,-9.788
temazepam,alpha2,-6.893,-6.895200000000001,-6.913,-6.885,0.0129999999999999,5,5,-6.913,-6.893,-6.899,-6.885,-6.886
zopiclone,alpha1,-9.677,-9.673599999999999,-9.699,-9.652,0.03399999999999892,5,5,-9.652,-9.653,-9.699,-9.687,-9.677
zopiclone,alpha2,-8.1,-7.947799999999999,-8.112,-7.333,0.013999999999999346,5,5,-7.333,-8.112,-8.09,-8.104,-8.1
zaleplon,alpha1,-9.18,-9.183,-9.208,-9.171,0.008000000000000895,5,5,-9.18,-9.171,-9.174,-9.182,-9.208
zaleplon,alpha2,-8.601,-8.5958,-8.629,-8.536,0.026999999999999247,5,5,-8.62,-8.601,-8.629,-8.536,-8.593
