drug,adverse_event_term,phenotype_axis,report_count,total_drug_reports,background_event_reports,background_total,generic_only_total,role_cod,suspect_status,sex,age,country,report_date_quarter,seriousness,source_dataset,query,retrieval_date,a,b,c,d,ROR,logROR,CI95_low,CI95_high,zero_cell_corrected,unstable_signal,estimable
diazepam,Ataxia,C1,375,118049,11464,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22ATAXIA%22&limit=1,2026-09-20T01:52:43.274976+00:00,375,117674,11089,19889394,5.715838099407628,1.7432409355600527,5.15604792689991,6.336404479134317,False,False,True
diazepam,Balance disorder,C1,1355,118049,83538,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22BALANCE+DISORDER%22&limit=1,2026-09-20T01:52:44.226411+00:00,1355,116694,82183,19818300,2.800110538616071,1.0296588944790876,2.6529394934901203,2.9554458545731555,False,False,True
diazepam,Coordination abnormal,C1,335,118049,13648,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22COORDINATION+ABNORMAL%22&limit=1,2026-09-20T01:52:45.248484+00:00,335,117714,13313,19887170,4.251221599865744,1.4472063768972525,3.813814623653388,4.738794848359042,False,False,True
diazepam,Gait disturbance,C1,2287,118049,185496,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22GAIT+DISTURBANCE%22&limit=1,2026-09-20T01:52:47.578638+00:00,2287,115762,183209,19717274,2.1261808908749114,0.7543273613777952,2.0394594363880656,2.2165898963540114,False,False,True
diazepam,Fall,C2,4226,118049,319310,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22FALL%22&limit=1,2026-09-20T01:52:50.701964+00:00,4226,113823,315084,19585399,2.3078391587709666,0.8363116576433871,2.2376041048536757,2.3802787862265635,False,False,True
diazepam,Somnolence,C3,4917,118049,193065,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SOMNOLENCE%22&limit=1,2026-09-20T01:52:51.578077+00:00,4917,113132,188148,19712335,4.553582490094797,1.5159142836176152,4.423817701079594,4.68715369736816,False,False,True
diazepam,Sedation,C3,1087,118049,24810,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SEDATION%22&limit=1,2026-09-20T01:52:59.918841+00:00,1087,116962,23723,19876760,7.786830893165661,2.0524339598014016,7.325545082545854,8.277163634311654,False,False,True
diazepam,Dizziness,C4,4490,118049,477766,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22DIZZINESS%22&limit=1,2026-09-20T01:53:00.949704+00:00,4490,113559,473276,19427207,1.6230080257527257,0.48428123353114927,1.5751004096889418,1.672372780461638,False,False,True
diazepam,Vertigo,C4,791,118049,58684,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22VERTIGO%22&limit=1,2026-09-20T01:53:03.080371+00:00,791,117258,57893,19842590,2.312098355041129,0.8381554910130387,2.154927295150467,2.480732791038608,False,False,True
diazepam,Muscular weakness,C5,1185,118049,109349,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MUSCULAR+WEAKNESS%22&limit=1,2026-09-20T01:53:07.482013+00:00,1185,116864,108164,19792319,1.8554597839622686,0.618132527320963,1.7517164024439178,1.965347247475768,False,False,True
diazepam,Hypotonia,C5,290,118049,9684,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22HYPOTONIA%22&limit=1,2026-09-20T01:53:08.529670+00:00,290,117759,9394,19891089,5.21449065665797,1.6514414147773468,4.638740534686626,5.861701598753069,False,False,True
