drug,adverse_event_term,phenotype_axis,report_count,total_drug_reports,background_event_reports,background_total,generic_only_total,role_cod,suspect_status,sex,age,country,report_date_quarter,seriousness,source_dataset,query,retrieval_date
diazepam,Ataxia,C1,375,118049,11464,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22ATAXIA%22&limit=1,2026-09-20T01:52:43.274976+00:00
diazepam,Balance disorder,C1,1355,118049,83538,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22BALANCE+DISORDER%22&limit=1,2026-09-20T01:52:44.226411+00:00
diazepam,Coordination abnormal,C1,335,118049,13648,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22COORDINATION+ABNORMAL%22&limit=1,2026-09-20T01:52:45.248484+00:00
diazepam,Gait disturbance,C1,2287,118049,185496,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22GAIT+DISTURBANCE%22&limit=1,2026-09-20T01:52:47.578638+00:00
diazepam,Fall,C2,4226,118049,319310,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22FALL%22&limit=1,2026-09-20T01:52:50.701964+00:00
diazepam,Somnolence,C3,4917,118049,193065,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SOMNOLENCE%22&limit=1,2026-09-20T01:52:51.578077+00:00
diazepam,Sedation,C3,1087,118049,24810,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SEDATION%22&limit=1,2026-09-20T01:52:59.918841+00:00
diazepam,Dizziness,C4,4490,118049,477766,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22DIZZINESS%22&limit=1,2026-09-20T01:53:00.949704+00:00
diazepam,Vertigo,C4,791,118049,58684,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22VERTIGO%22&limit=1,2026-09-20T01:53:03.080371+00:00
diazepam,Muscular weakness,C5,1185,118049,109349,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MUSCULAR+WEAKNESS%22&limit=1,2026-09-20T01:53:07.482013+00:00
diazepam,Hypotonia,C5,290,118049,9684,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22HYPOTONIA%22&limit=1,2026-09-20T01:53:08.529670+00:00
