drug,generic_name,chembl_id,standard_inchikey,brand_synonyms,spelling_variants_and_other_synonyms,query_key,synonym_use,source,identity_source
diazepam,diazepam,CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,"[""Alupram 10"", ""Alupram 2"", ""Alupram 5"", ""Apozepam"", ""Atensine"", ""Dialar"", ""Dialar fte"", ""Diastat"", ""Diastat acudial"", ""Diazepam"", ""Diazepam intensol"", ""Dizac"", ""E-pam"", ""Libervant"", ""Paxel"", ""Q-pam"", ""Relanium"", ""Scriptopam"", ""Serenack"", ""Solis"", ""Stesolid"", ""Tensium"", ""Tranimul"", ""Valclair"", ""Valium"", ""Valrelease"", ""Valtoco"", ""Vivol""]","[""Ansiolisina"", ""Centrazepam"", ""Diacepin"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam"", ""Diazepam civ"", ""LA III"", ""LA-III"", ""Libervant"", ""Nrl-1"", ""NRL-1"", ""NSC-169897"", ""NSC-77518"", ""RO 5-2807"", ""RO-5-2807"", ""RO-52807"", ""Servizepam"", ""Tranquase"", ""WY-3467""]","(patient.drug.openfda.generic_name.exact:""DIAZEPAM"" OR patient.drug.medicinalproduct.exact:""DIAZEPAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL12.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
alprazolam,alprazolam,CHEMBL661,VREFGVBLTWBCJP-UHFFFAOYSA-N,"[""Alprazolam"", ""Niravam"", ""Xanax"", ""Xanax xr""]","[""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam"", ""Alprazolam civ"", ""NSC-760140"", ""U 31,889"", ""U-31,889"", ""U-31889""]","(patient.drug.openfda.generic_name.exact:""ALPRAZOLAM"" OR patient.drug.medicinalproduct.exact:""ALPRAZOLAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL661.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
triazolam,triazolam,CHEMBL646,JOFWLTCLBGQGBO-UHFFFAOYSA-N,"[""Halcion"", ""Kention"", ""Triazolam""]","[""N05CD05"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam"", ""Triazolam civ"", ""U-33,030"", ""U-33030""]","(patient.drug.openfda.generic_name.exact:""TRIAZOLAM"" OR patient.drug.medicinalproduct.exact:""TRIAZOLAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL646.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
zolpidem,zolpidem,CHEMBL911,ZAFYATHCZYHLPB-UHFFFAOYSA-N,[],"[""Sanval"", ""Zolpidem"", ""Zolpidem"", ""Zolpidem"", ""Zolpidem"", ""Zolpidem"", ""Zolpidem civ""]","(patient.drug.openfda.generic_name.exact:""ZOLPIDEM"" OR patient.drug.medicinalproduct.exact:""ZOLPIDEM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL911.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
lorazepam,lorazepam,CHEMBL580,DIWRORZWFLOCLC-UHFFFAOYSA-N,"[""Abbloraz"", ""Ativan"", ""Loraz"", ""Lorazepam"", ""Lorazepam intensol"", ""Lorazepam preservative free"", ""Loreev xr"", ""Temesta""]","[""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam"", ""Lorazepam civ"", ""NSC-289758"", ""WY-4036""]","(patient.drug.openfda.generic_name.exact:""LORAZEPAM"" OR patient.drug.medicinalproduct.exact:""LORAZEPAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL580.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
clonazepam,clonazepam,CHEMBL452,DGBIGWXXNGSACT-UHFFFAOYSA-N,"[""Clonazepam"", ""Klonopin"", ""Klonopin rapidly disintegrating"", ""Rivotril""]","[""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam"", ""Clonazepam civ"", ""NSC-179913"", ""Ravotril"", ""Rivatril"", ""RO 5-4023"", ""RO-5-4023"", ""RO-54023""]","(patient.drug.openfda.generic_name.exact:""CLONAZEPAM"" OR patient.drug.medicinalproduct.exact:""CLONAZEPAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL452.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
midazolam,midazolam,CHEMBL655,DDLIGBOFAVUZHB-UHFFFAOYSA-N,"[""Midazolam in 0.8% sodium chloride"", ""Midazolam in 0.9% sodium chloride"", ""Nayzilam""]","[""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam"", ""Midazolam civ"", ""USL-261"", ""USL261""]","(patient.drug.openfda.generic_name.exact:""MIDAZOLAM"" OR patient.drug.medicinalproduct.exact:""MIDAZOLAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL655.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
temazepam,temazepam,CHEMBL967,SEQDDYPDSLOBDC-UHFFFAOYSA-N,"[""Kentepam"", ""Normison"", ""Restoril"", ""Temaz"", ""Temazepam""]","[""NSC-246303"", ""(rs)-temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam"", ""Temazepam civ"", ""WY-3917""]","(patient.drug.openfda.generic_name.exact:""TEMAZEPAM"" OR patient.drug.medicinalproduct.exact:""TEMAZEPAM"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL967.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
zopiclone,zopiclone,CHEMBL135400,GBBSUAFBMRNDJC-UHFFFAOYSA-N,"[""Zileze 3.75"", ""Zileze 7.5"", ""Zimovane"", ""Zimovane ls""]","[""Amoban"", ""Imovane"", ""NSC-758463"", ""RP-27267"", ""Zopiclona"", ""Zopiclone"", ""Zopiclone"", ""Zopiclone"", ""Zopiclone""]","(patient.drug.openfda.generic_name.exact:""ZOPICLONE"" OR patient.drug.medicinalproduct.exact:""ZOPICLONE"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL135400.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
zaleplon,zaleplon,CHEMBL1521,HUNXMJYCHXQEGX-UHFFFAOYSA-N,"[""Sonata"", ""Zaleplon"", ""Zerene""]","[""CL 284,846"", ""CL-284846"", ""L-846"", ""L846"", ""LJC 10846"", ""LJC-10846"", ""LJC10846"", ""SKP-1041"", ""ZAL-846"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon"", ""Zaleplon civ"", ""Zaleplone"", ""Zerene""]","(patient.drug.openfda.generic_name.exact:""ZALEPLON"" OR patient.drug.medicinalproduct.exact:""ZALEPLON"")","documented only, not independently summed; exact generic or medicinalproduct primary",https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1521.json,runs/20260919_0724_10drug_standardized_redocking/tables/ligand_preparation_qc.csv
