drug,phenotype_axis,assay_name,species,strain,sex,administration_route,dose,dose_unit,observation_time,outcome_name,raw_value,raw_unit,control_value,sample_size,error_value,error_type,study_id,doi,pmid,source_url,source_table_figure,extraction_method,evidence_quality,notes,vehicle,co_treatment,acute_chronic,original_record,reported_direction,result_available,evidence_id,value,normalization_formula,block_key,tier,tier_reason,primary_eligible
diazepam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,15.0,positive_or_fallen_mice,1.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:2,motor_impairment,True,Y0001,0.1,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,30.0,positive_or_fallen_mice,3.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:3,motor_impairment,True,Y0002,0.3,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,60.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:4,motor_impairment,True,Y0003,0.4,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,90.0,positive_or_fallen_mice,3.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:5,motor_impairment,True,Y0004,0.3,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,15.0,positive_or_fallen_mice,2.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:6,motor_impairment,True,Y0005,0.2,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,30.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:7,motor_impairment,True,Y0006,0.4,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,60.0,positive_or_fallen_mice,5.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:8,motor_impairment,True,Y0007,0.5,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
diazepam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,90.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:9,motor_impairment,True,Y0008,0.4,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,15.0,positive_or_fallen_mice,5.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:26,motor_impairment,True,Y0025,0.5,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,30.0,positive_or_fallen_mice,8.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:27,motor_impairment,True,Y0026,0.8,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,60.0,positive_or_fallen_mice,7.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828.0,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:28,motor_impairment,True,Y0027,0.7,positive_count / sample_size,Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute,1,same fully recorded study/assay/dose/time/route/vehicle; two drugs,True
