drug,P1_records,P1_best_tier,P2_records,P2_best_tier,P3_records,P3_best_tier,P4_records,P4_best_tier
diazepam,"[{""evidence_id"": ""Y0001"", ""value"": 0.1, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0002"", ""value"": 0.3, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0003"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0004"", ""value"": 0.3, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0005"", ""value"": 0.2, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0006"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0007"", ""value"": 0.5, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0008"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0009"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0010"", ""value"": 0.7, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0011"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0012"", ""value"": 0.8, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|10.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0013"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0014"", ""value"": 1.0, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0015"", ""value"": 1.0, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0016"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|20.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0038"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/1637802/"", ""study"": ""Bourin1992"", ""tier"": 4, ""block"": ""Bourin1992|rotarod|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0040"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/22302946/"", ""study"": ""Bayley1996"", ""tier"": 4, ""block"": ""Bayley1996|rotarod|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0057"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/15888506/"", ""study"": ""Stanley2005"", ""tier"": 4, ""block"": ""Stanley2005|rotarod|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0058"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/15888506/"", ""study"": ""Stanley2005"", ""tier"": 4, ""block"": ""Stanley2005|beam_walking|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",1.0,NA,NA,NA,NA,NA,NA
alprazolam,"[{""evidence_id"": ""Y0039"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/1637802/"", ""study"": ""Bourin1992"", ""tier"": 4, ""block"": ""Bourin1992|rotarod|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0042"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/6493004/"", ""study"": ""Henauer1984"", ""tier"": 4, ""block"": ""Henauer1984|rotarod|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,NA,NA,"[{""evidence_id"": ""Y0043"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/2845448/"", ""study"": ""Lopez1988"", ""tier"": 4, ""block"": ""Lopez1988|open_field|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,NA,NA
triazolam,"[{""evidence_id"": ""Y0017"", ""value"": 0.2, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0018"", ""value"": 0.3, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0019"", ""value"": 0.3, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0020"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|0.5|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0021"", ""value"": 0.3, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0022"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0023"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0024"", ""value"": 0.2, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 2, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|1.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0025"", ""value"": 0.5, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0026"", ""value"": 0.8, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0027"", ""value"": 0.7, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0028"", ""value"": 0.5, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|2.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0029"", ""value"": 0.8, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|15.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0030"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|30.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0031"", ""value"": 0.9, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|60.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0032"", ""value"": 0.4, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf"", ""study"": ""Nishino2008"", ""tier"": 1, ""block"": ""Nishino2008|rotarod|mouse|ICR|male|oral|5.0|mg/kg|90.0|positive_or_fallen_mice|0.5% CMC sodium|none|acute""}, {""evidence_id"": ""Y0033"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|rotarod|mouse|ddY|male|intraperitoneal|0.3|mg/kg|15/30/60 min; qualitative aggregate|qualitative_motor_coordination_result|0.5% PPG|none|acute""}]",1.0,"[{""evidence_id"": ""Y0050"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|traction|mouse|ddY|male|intraperitoneal|0.3|mg/kg|15/30/60 min; qualitative aggregate|qualitative_report|0.5% PPG|none|acute""}]",4.0,"[{""evidence_id"": ""Y0044"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/2845448/"", ""study"": ""Lopez1988"", ""tier"": 4, ""block"": ""Lopez1988|open_field|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0037"", ""value"": 234.8, ""raw_unit"": ""seconds_mean"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 2, ""block"": ""Tanaka2008|righting_reflex_with_thiopental|mouse|ddY|male|intraperitoneal|0.3|mg/kg|duration after thiopental|righting_reflex_duration|0.5% PPG|thiopental 20 mg/kg IV 10 min after drug|acute""}]",2.0
zolpidem,"[{""evidence_id"": ""Y0034"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|rotarod|mouse|ddY|male|intraperitoneal|3.0|mg/kg|15/30/60 min; qualitative aggregate|qualitative_motor_coordination_result|saline|none|acute""}, {""evidence_id"": ""Y0041"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/22302946/"", ""study"": ""Bayley1996"", ""tier"": 4, ""block"": ""Bayley1996|rotarod|mouse|not_reported_in_extracted_table|NA|not_reported_in_abstract|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0051"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|rotarod|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0047"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|traction|mouse|ddY|male|intraperitoneal|3.0|mg/kg|15/30/60 min; qualitative aggregate|qualitative_report|saline|none|acute""}, {""evidence_id"": ""Y0052"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|loaded_grid|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0053"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|locomotor_activity|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0035"", ""value"": 205.3, ""raw_unit"": ""seconds_mean"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 2, ""block"": ""Tanaka2008|righting_reflex_with_thiopental|mouse|ddY|male|intraperitoneal|3.0|mg/kg|duration after thiopental|righting_reflex_duration|saline|thiopental 20 mg/kg IV 10 min after drug|acute""}, {""evidence_id"": ""Y0036"", ""value"": 1109.1, ""raw_unit"": ""seconds_mean"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 2, ""block"": ""Tanaka2008|righting_reflex_with_thiopental|mouse|ddY|male|intraperitoneal|10.0|mg/kg|duration after thiopental|righting_reflex_duration|saline|thiopental 20 mg/kg IV 10 min after drug|acute""}]",2.0
lorazepam,"[{""evidence_id"": ""Y0059"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/15888506/"", ""study"": ""Stanley2005"", ""tier"": 4, ""block"": ""Stanley2005|rotarod|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}, {""evidence_id"": ""Y0060"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/15888506/"", ""study"": ""Stanley2005"", ""tier"": 4, ""block"": ""Stanley2005|beam_walking|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,NA,NA,NA,NA,NA,NA
clonazepam,"[{""evidence_id"": ""Y0062"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/2162948/"", ""study"": ""Barnhill1990"", ""tier"": 4, ""block"": ""Barnhill1990|rotarod|mouse|CD-1|male|intraperitoneal|2.0|mg/kg|multiple times up to 14 h|qualitative_report|NA|NA|NA""}]",4.0,NA,NA,"[{""evidence_id"": ""Y0061"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/986989/"", ""study"": ""Ono1976"", ""tier"": 4, ""block"": ""Ono1976|open_field|mouse|NA|NA|oral|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,NA,NA
midazolam,NA,NA,NA,NA,NA,NA,"[{""evidence_id"": ""Y0064"", ""value"": 1.0, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|90.0|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}, {""evidence_id"": ""Y0065"", ""value"": 0.8333333333333334, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|71.25|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}, {""evidence_id"": ""Y0066"", ""value"": 0.8333333333333334, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|58.0|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}, {""evidence_id"": ""Y0067"", ""value"": 0.5, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|46.56|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}, {""evidence_id"": ""Y0068"", ""value"": 0.3333333333333333, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|37.38|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}, {""evidence_id"": ""Y0069"", ""value"": 0.16666666666666666, ""raw_unit"": ""positive_mice_count"", ""source"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/"", ""study"": ""Shi2024_PMC11559241"", ""tier"": 2, ""block"": ""Shi2024_PMC11559241|loss_of_righting_reflex|mouse|C57BL/6|male|intraperitoneal|30.0|mg/kg|within 10 min|LORR_count|NA|none|acute dose determination""}]",2.0
temazepam,NA,NA,NA,NA,"[{""evidence_id"": ""Y0063"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/9264062/"", ""study"": ""Marshall1997"", ""tier"": 4, ""block"": ""Marshall1997|locomotor_activity|mouse|NA|NA|oral|10.0|mg/kg|NA|qualitative_report|NA|NA|daily for 7 days; acute challenge""}]",4.0,NA,NA
zopiclone,"[{""evidence_id"": ""Y0048"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|rotarod|mouse|ddY|male|intraperitoneal|6.0|mg/kg|15/30/60 min; qualitative aggregate|qualitative_report|0.5% PPG|none|acute""}]",4.0,"[{""evidence_id"": ""Y0049"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 4, ""block"": ""Tanaka2008|traction|mouse|ddY|male|intraperitoneal|6.0|mg/kg|15/30/60 min; qualitative aggregate|qualitative_report|0.5% PPG|none|acute""}]",4.0,NA,NA,"[{""evidence_id"": ""Y0045"", ""value"": 146.3, ""raw_unit"": ""seconds_mean"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 2, ""block"": ""Tanaka2008|righting_reflex_with_thiopental|mouse|ddY|male|intraperitoneal|3.0|mg/kg|duration after thiopental|righting_reflex_duration|0.5% PPG|thiopental 20 mg/kg IV 10 min after drug|acute""}, {""evidence_id"": ""Y0046"", ""value"": 227.2, ""raw_unit"": ""seconds_mean"", ""source"": ""https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf"", ""study"": ""Tanaka2008"", ""tier"": 2, ""block"": ""Tanaka2008|righting_reflex_with_thiopental|mouse|ddY|male|intraperitoneal|6.0|mg/kg|duration after thiopental|righting_reflex_duration|0.5% PPG|thiopental 20 mg/kg IV 10 min after drug|acute""}]",2.0
zaleplon,"[{""evidence_id"": ""Y0054"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|rotarod|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0055"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|loaded_grid|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,"[{""evidence_id"": ""Y0056"", ""value"": null, ""raw_unit"": ""qualitative"", ""source"": ""https://pubmed.ncbi.nlm.nih.gov/8905326/"", ""study"": ""Sanger1996"", ""tier"": 4, ""block"": ""Sanger1996|locomotor_activity|mouse|NA|NA|NA|NA|mg/kg|NA|qualitative_report|NA|NA|NA""}]",4.0,NA,NA
