drug_1,drug_2,structural_similarity,clinical_similarity,structural_shared_features,clinical_shared_features,clinical_status
diazepam,alprazolam,0.9215880751412202,0.9702206181492093,48,14,estimable
diazepam,triazolam,0.8919888808077632,0.960841532710109,48,12,estimable
diazepam,zolpidem,0.9114340635363558,0.9635303445812151,48,14,estimable
diazepam,lorazepam,0.8012715232801307,0.9780483410185156,48,14,estimable
diazepam,clonazepam,0.8791320729394971,0.986372120764713,48,14,estimable
diazepam,midazolam,0.9219416500013405,0.5980959108715102,48,14,estimable
diazepam,temazepam,0.8760469044295929,0.912962439135421,48,14,estimable
diazepam,zopiclone,0.7369006261620185,0.9703839238921002,48,14,estimable
diazepam,zaleplon,0.9066115899923907,0.9567099267750261,48,10,estimable
alprazolam,triazolam,0.975883348262649,0.926665080886223,48,12,estimable
alprazolam,zolpidem,0.9060056865490811,0.9446248130734382,48,14,estimable
alprazolam,lorazepam,0.8725074864533763,0.97755993955981,48,14,estimable
alprazolam,clonazepam,0.9286595941010852,0.9821038565039443,48,14,estimable
alprazolam,midazolam,0.9390950379184766,0.4401274259385506,48,14,estimable
alprazolam,temazepam,0.9296720938224843,0.9474178231195157,48,14,estimable
alprazolam,zopiclone,0.8069918495934667,0.9692965050461397,48,14,estimable
alprazolam,zaleplon,0.8722206360380479,0.941739662713386,48,10,estimable
triazolam,zolpidem,0.8783218495935423,0.9564770350478125,48,12,estimable
triazolam,lorazepam,0.9100457779703108,0.9541394240476957,48,12,estimable
triazolam,clonazepam,0.937624857645845,0.9534214585549362,48,12,estimable
triazolam,midazolam,0.9523821864619423,0.4248662391388555,48,12,estimable
triazolam,temazepam,0.9322787355824773,0.9417861940284887,48,12,estimable
triazolam,zopiclone,0.7576646836468073,0.9569911689712284,48,12,estimable
triazolam,zaleplon,0.8359051389220067,0.9059668526619743,48,10,estimable
zolpidem,lorazepam,0.8074695256551748,0.953011075532482,48,14,estimable
zolpidem,clonazepam,0.8685399372332795,0.9654601074119653,48,14,estimable
zolpidem,midazolam,0.888752260767087,0.5594085434580901,48,14,estimable
zolpidem,temazepam,0.8706730354909756,0.9369522631093328,48,14,estimable
zolpidem,zopiclone,0.8028204123765044,0.9755965065086236,48,14,estimable
zolpidem,zaleplon,0.9209415979797941,0.8970083848587452,48,10,estimable
lorazepam,clonazepam,0.9329484335246364,0.9917760294908714,48,14,estimable
lorazepam,midazolam,0.8921357035751201,0.5208205045600514,48,14,estimable
lorazepam,temazepam,0.9133084796102938,0.9591056721155725,48,14,estimable
lorazepam,zopiclone,0.7695113660748216,0.9804849781291737,48,14,estimable
lorazepam,zaleplon,0.7509274861290971,0.9359947228280946,48,10,estimable
clonazepam,midazolam,0.911314031700826,0.5097734914796699,48,14,estimable
clonazepam,temazepam,0.9050018146125819,0.9618122878601877,48,14,estimable
clonazepam,zopiclone,0.7718511767239262,0.9885389784003011,48,14,estimable
clonazepam,zaleplon,0.8151158547104129,0.9470598704654531,48,10,estimable
midazolam,temazepam,0.9215255236818367,0.3480747169194969,48,14,estimable
midazolam,zopiclone,0.7374004267831662,0.5008217894373609,48,14,estimable
midazolam,zaleplon,0.868569224580724,0.22224045902177328,48,10,estimable
temazepam,zopiclone,0.8050094299328631,0.9610480969127204,48,14,estimable
temazepam,zaleplon,0.8361042307768175,0.9331871559610261,48,10,estimable
zopiclone,zaleplon,0.7627664551968694,0.8891293319147233,48,10,estimable
