drug,alpha1_plif_vector_identifier,alpha1_plif_source_file,alpha1_plif_n_features,alpha1_median_vina_score,alpha1_vina_favorability,alpha2_plif_vector_identifier,alpha2_plif_source_file,alpha2_plif_n_features,alpha2_median_vina_score,alpha2_vina_favorability
diazepam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=diazepam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-10.13,10.13,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=diazepam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-7.774,7.774
alprazolam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=alprazolam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-10.581,10.581,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=alprazolam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-7.657,7.657
triazolam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=triazolam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-10.887,10.887,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=triazolam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-6.82,6.82
zolpidem,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zolpidem&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-10.359,10.359,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zolpidem&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-7.525,7.525
lorazepam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=lorazepam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-8.499,8.499,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=lorazepam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-6.848,6.848
clonazepam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=clonazepam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-9.497,9.497,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=clonazepam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-6.873,6.873
midazolam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=midazolam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-10.753,10.753,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=midazolam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-7.546,7.546
temazepam,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=temazepam&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-9.788,9.788,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=temazepam&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-6.893,6.893
zopiclone,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zopiclone&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-9.677,9.677,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zopiclone&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-8.1,8.1
zaleplon,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zaleplon&receptor_block=alpha1,data/frozen_plif_fingerprint.csv,21,-9.18,9.18,sha256:c986ba328a01fd4bc6909ca24e4724d7eea5971e5a5ea6ae0fc2faa3147b2f10#drug=zaleplon&receptor_block=alpha2,data/frozen_plif_fingerprint.csv,27,-8.601,8.601
