drug_id,F02,F04,F16,F28
diazepam,0.9111111111111112,0.8888888888888888,0.5111111111111111,0.9777777777777776
alprazolam,0.8857142857142857,0.8857142857142857,0.6285714285714286,0.6
triazolam,0.775,0.75,0.675,0.4444444444444444
zolpidem,1.0,1.0,0.6444444444444445,0.8222222222222222
lorazepam,0.8444444444444444,0.6222222222222222,0.7777777777777778,0.4
clonazepam,0.8222222222222222,0.8222222222222222,0.5555555555555556,0.4444444444444444
midazolam,0.9767441860465116,0.6511627906976745,0.627906976744186,0.7333333333333333
temazepam,0.9111111111111112,0.8222222222222222,0.8,0.7111111111111111
zopiclone,0.4444444444444444,0.4666666666666667,0.3111111111111111,0.4
zaleplon,0.9555555555555556,1.0,0.6,0.8888888888888888
