representation,drug_id,diazepam,alprazolam,triazolam,zolpidem,lorazepam,clonazepam,midazolam,temazepam,zopiclone,zaleplon
B_alpha1,diazepam,1.0,0.8125,0.6875,0.6875,0.6842105263157895,0.7222222222222222,0.7333333333333334,0.7222222222222222,0.631578947368421,0.6470588235294117
B_alpha1,alprazolam,0.8125,1.0,0.8666666666666667,0.75,0.736842105263158,0.8823529411764706,0.6875,0.8823529411764706,0.7777777777777778,0.8125
B_alpha1,triazolam,0.6875,0.8666666666666667,1.0,0.7333333333333334,0.7222222222222222,0.7647058823529411,0.7857142857142857,0.7647058823529411,0.7647058823529411,0.8
B_alpha1,zolpidem,0.6875,0.75,0.7333333333333334,1.0,0.7222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7647058823529411,0.9285714285714286
B_alpha1,lorazepam,0.6842105263157895,0.736842105263158,0.7222222222222222,0.7222222222222222,1.0,0.75,0.6666666666666667,0.75,0.8421052631578947,0.7777777777777778
B_alpha1,clonazepam,0.7222222222222222,0.8823529411764706,0.7647058823529411,0.6666666666666667,0.75,1.0,0.7058823529411764,1.0,0.7894736842105263,0.7222222222222222
B_alpha1,midazolam,0.7333333333333334,0.6875,0.7857142857142857,0.6666666666666667,0.6666666666666667,0.7058823529411764,1.0,0.7058823529411764,0.7058823529411764,0.625
B_alpha1,temazepam,0.7222222222222222,0.8823529411764706,0.7647058823529411,0.6666666666666667,0.75,1.0,0.7058823529411764,1.0,0.7894736842105263,0.7222222222222222
B_alpha1,zopiclone,0.631578947368421,0.7777777777777778,0.7647058823529411,0.7647058823529411,0.8421052631578947,0.7894736842105263,0.7058823529411764,0.7894736842105263,1.0,0.8235294117647058
B_alpha1,zaleplon,0.6470588235294117,0.8125,0.8,0.9285714285714286,0.7777777777777778,0.7222222222222222,0.625,0.7222222222222222,0.8235294117647058,1.0
B_alpha2,diazepam,1.0,0.7647058823529411,0.6470588235294117,0.7857142857142857,0.5882352941176471,0.625,0.6875,0.5909090909090908,0.4736842105263158,0.44999999999999996
B_alpha2,alprazolam,0.7647058823529411,1.0,0.6666666666666667,0.6875,0.44999999999999996,0.5555555555555556,0.7058823529411764,0.6818181818181819,0.4285714285714286,0.47619047619047616
B_alpha2,triazolam,0.6470588235294117,0.6666666666666667,1.0,0.5625,0.6875,0.4444444444444444,0.6875,0.5909090909090908,0.4,0.31818181818181823
B_alpha2,zolpidem,0.7857142857142857,0.6875,0.5625,1.0,0.5,0.6428571428571428,0.7142857142857143,0.5238095238095238,0.5625,0.5294117647058824
B_alpha2,lorazepam,0.5882352941176471,0.44999999999999996,0.6875,0.5,1.0,0.5625,0.5294117647058824,0.5454545454545454,0.42105263157894735,0.2727272727272727
B_alpha2,clonazepam,0.625,0.5555555555555556,0.4444444444444444,0.6428571428571428,0.5625,1.0,0.47058823529411764,0.5714285714285714,0.4444444444444444,0.35
B_alpha2,midazolam,0.6875,0.7058823529411764,0.6875,0.7142857142857143,0.5294117647058824,0.47058823529411764,1.0,0.6190476190476191,0.5,0.4736842105263158
B_alpha2,temazepam,0.5909090909090908,0.6818181818181819,0.5909090909090908,0.5238095238095238,0.5454545454545454,0.5714285714285714,0.6190476190476191,1.0,0.5217391304347826,0.43999999999999995
B_alpha2,zopiclone,0.4736842105263158,0.4285714285714286,0.4,0.5625,0.42105263157894735,0.4444444444444444,0.5,0.5217391304347826,1.0,0.5263157894736843
B_alpha2,zaleplon,0.44999999999999996,0.47619047619047616,0.31818181818181823,0.5294117647058824,0.2727272727272727,0.35,0.4736842105263158,0.43999999999999995,0.5263157894736843,1.0
E,diazepam,1.0,0.7878787878787878,0.6666666666666667,0.7333333333333334,0.6388888888888888,0.6764705882352942,0.7096774193548387,0.65,0.5526315789473684,0.5405405405405406
E,alprazolam,0.7878787878787878,1.0,0.7575757575757576,0.71875,0.5897435897435898,0.7142857142857143,0.696969696969697,0.7692307692307692,0.5897435897435898,0.6216216216216216
E,triazolam,0.6666666666666667,0.7575757575757576,1.0,0.6451612903225806,0.7058823529411764,0.6,0.7333333333333334,0.6666666666666667,0.5675675675675675,0.5135135135135135
E,zolpidem,0.7333333333333334,0.71875,0.6451612903225806,1.0,0.6176470588235294,0.65625,0.6896551724137931,0.5897435897435898,0.6666666666666667,0.7096774193548387
E,lorazepam,0.6388888888888888,0.5897435897435898,0.7058823529411764,0.6176470588235294,1.0,0.6666666666666667,0.6,0.6428571428571428,0.631578947368421,0.5
E,clonazepam,0.6764705882352942,0.7142857142857143,0.6,0.65625,0.6666666666666667,1.0,0.5882352941176471,0.7631578947368421,0.6216216216216216,0.5263157894736843
E,midazolam,0.7096774193548387,0.696969696969697,0.7333333333333334,0.6896551724137931,0.6,0.5882352941176471,1.0,0.6578947368421053,0.6,0.5428571428571429
E,temazepam,0.65,0.7692307692307692,0.6666666666666667,0.5897435897435898,0.6428571428571428,0.7631578947368421,0.6578947368421053,1.0,0.6428571428571428,0.5581395348837209
E,zopiclone,0.5526315789473684,0.5897435897435898,0.5675675675675675,0.6666666666666667,0.631578947368421,0.6216216216216216,0.6,0.6428571428571428,1.0,0.6666666666666667
E,zaleplon,0.5405405405405406,0.6216216216216216,0.5135135135135135,0.7096774193548387,0.5,0.5263157894736843,0.5428571428571429,0.5581395348837209,0.6666666666666667,1.0
