drug_id,alpha1|BZD_GAMMA2_056|ASP|salt_bridge|frequency,alpha1|BZD_GAMMA2_058|TYR|hydrogen_bond|frequency,alpha1|BZD_GAMMA2_058|TYR|hydrophobic_interaction|frequency,alpha1|BZD_GAMMA2_058|TYR|pi_stack|frequency,alpha1|BZD_GAMMA2_058|TYR|pi_stack|P_frequency,alpha1|BZD_GAMMA2_058|TYR|pi_stack|T_frequency,alpha1|BZD_GAMMA2_060|ASN|hydrogen_bond|frequency,alpha1|BZD_GAMMA2_077|PHE|hydrogen_bond|frequency,alpha1|BZD_GAMMA2_077|PHE|hydrophobic_interaction|frequency,alpha1|BZD_GAMMA2_077|PHE|pi_stack|frequency,alpha1|BZD_GAMMA2_077|PHE|pi_stack|P_frequency,alpha1|BZD_GAMMA2_077|PHE|pi_stack|T_frequency,alpha1|BZD_GAMMA2_079|ALA|hydrophobic_interaction|frequency,alpha1|BZD_GAMMA2_142|THR|hydrophobic_interaction|frequency,alpha1|BZD_GAMMA2_189|GLU|halogen_bond|frequency,alpha1|BZD_GAMMA2_189|GLU|hydrogen_bond|frequency,alpha1|BZD_GAMMA2_189|GLU|salt_bridge|frequency,alpha1|BZD_GAMMA2_192|ASP|hydrogen_bond|frequency,alpha1|BZD_GAMMA2_192|ASP|hydrophobic_interaction|frequency,alpha1|BZD_GAMMA2_192|ASP|salt_bridge|frequency,alpha1|BZD_GAMMA2_195|SER|halogen_bond|frequency,alpha1|BZD_GAMMA2_195|SER|hydrogen_bond|frequency,alpha1|BZD_SITE_100|PHE|hydrophobic_interaction|frequency,alpha1|BZD_SITE_100|PHE|pi_stack|frequency,alpha1|BZD_SITE_100|PHE|pi_stack|P_frequency,alpha1|BZD_SITE_100|PHE|pi_stack|T_frequency,alpha1|BZD_SITE_102|HIS|halogen_bond|frequency,alpha1|BZD_SITE_102|HIS|hydrogen_bond|frequency,alpha1|BZD_SITE_102|HIS|hydrophobic_interaction|frequency,alpha1|BZD_SITE_102|HIS|pi_cation_interaction|frequency,alpha1|BZD_SITE_102|HIS|pi_stack|frequency,alpha1|BZD_SITE_102|HIS|pi_stack|P_frequency,alpha1|BZD_SITE_102|HIS|pi_stack|T_frequency,alpha1|BZD_SITE_103|ASN|hydrogen_bond|frequency,alpha1|BZD_SITE_103|ASN|hydrophobic_interaction|frequency,alpha1|BZD_SITE_138|GLU|hydrogen_bond|frequency,alpha1|BZD_SITE_156|LYS|halogen_bond|frequency,alpha1|BZD_SITE_156|LYS|hydrogen_bond|frequency,alpha1|BZD_SITE_156|LYS|hydrophobic_interaction|frequency,alpha1|BZD_SITE_156|LYS|pi_cation_interaction|frequency,alpha1|BZD_SITE_160|TYR|halogen_bond|frequency,alpha1|BZD_SITE_160|TYR|hydrophobic_interaction|frequency,alpha1|BZD_SITE_160|TYR|pi_stack|frequency,alpha1|BZD_SITE_160|TYR|pi_stack|P_frequency,alpha1|BZD_SITE_160|TYR|pi_stack|T_frequency,alpha1|BZD_SITE_203|VAL|halogen_bond|frequency,alpha1|BZD_SITE_203|VAL|hydrophobic_interaction|frequency,alpha1|BZD_SITE_204|GLN|halogen_bond|frequency,alpha1|BZD_SITE_204|GLN|hydrogen_bond|frequency,alpha1|BZD_SITE_204|GLN|hydrophobic_interaction|frequency,alpha1|BZD_SITE_205|SER|hydrogen_bond|frequency,alpha1|BZD_SITE_206|SER|hydrogen_bond|frequency,alpha1|BZD_SITE_207|THR|hydrogen_bond|frequency,alpha1|BZD_SITE_207|THR|hydrophobic_interaction|frequency,alpha1|BZD_SITE_210|TYR|hydrogen_bond|frequency,alpha1|BZD_SITE_210|TYR|hydrophobic_interaction|frequency,alpha1|BZD_SITE_210|TYR|pi_cation_interaction|frequency,alpha1|BZD_SITE_210|TYR|pi_stack|frequency,alpha1|BZD_SITE_210|TYR|pi_stack|P_frequency,alpha1|BZD_SITE_210|TYR|pi_stack|T_frequency
diazepam,0.0,0.15555555555555556,0.6222222222222222,0.4222222222222222,0.4222222222222222,0.0,0.0,0.0,0.5555555555555556,0.37777777777777777,0.3111111111111111,0.06666666666666667,0.0,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.17777777777777778,0.0,0.17777777777777778,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.08888888888888889,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.2222222222222222,0.0,0.0,0.0,0.0,0.5111111111111111,0.022222222222222223,0.0,0.0,0.17777777777777778,0.0,0.13333333333333333,0.0,0.0,0.2,0.0,0.13333333333333333,0.1111111111111111,0.022222222222222223
alprazolam,0.0,0.0,0.6857142857142857,0.6,0.6,0.0,0.11428571428571428,0.0,0.6857142857142857,0.22857142857142856,0.22857142857142856,0.0,0.0,0.17142857142857143,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.17142857142857143,0.0,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.05714285714285714,0.0,0.22857142857142856,0.02857142857142857,0.02857142857142857,0.0,0.0,0.6285714285714286,0.0,0.14285714285714285,0.02857142857142857,0.34285714285714286,0.08571428571428572,0.0,0.02857142857142857,0.0,0.45714285714285713,0.0,0.22857142857142856,0.22857142857142856,0.0
triazolam,0.0,0.0,0.7,0.35,0.35,0.0,0.025,0.0,0.65,0.175,0.175,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.125,0.15,0.125,0.075,0.0,0.225,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.4,0.0,0.175,0.175,0.0
zolpidem,0.0,0.0,0.9333333333333333,0.28888888888888886,0.28888888888888886,0.0,0.06666666666666667,0.0,0.9333333333333333,0.6222222222222222,0.6,0.022222222222222223,0.15555555555555556,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.6222222222222222,0.0,0.0,0.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.0
lorazepam,0.0,0.06666666666666667,0.5111111111111111,0.4,0.4,0.0,0.24444444444444444,0.0,0.6,0.13333333333333333,0.13333333333333333,0.0,0.044444444444444446,0.08888888888888889,0.1111111111111111,0.0,0.0,0.15555555555555556,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.044444444444444446,0.2222222222222222,0.0,0.044444444444444446,0.0,0.13333333333333333,0.0,0.0,0.0,0.022222222222222223,0.7555555555555555,0.0,0.0,0.0,0.15555555555555556,0.06666666666666667,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.28888888888888886,0.0,0.022222222222222223,0.0,0.022222222222222223
clonazepam,0.0,0.06666666666666667,0.6,0.37777777777777777,0.37777777777777777,0.0,0.1111111111111111,0.0,0.6444444444444445,0.17777777777777778,0.17777777777777778,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.2222222222222222,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.06666666666666667,0.0,0.3111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,0.022222222222222223,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,0.24444444444444444,0.0,0.17777777777777778,0.17777777777777778,0.0
midazolam,0.0,0.09302325581395349,0.7441860465116279,0.7209302325581395,0.6976744186046512,0.023255813953488372,0.0,0.0,0.46511627906976744,0.37209302325581395,0.37209302325581395,0.0,0.0,0.06976744186046512,0.0,0.09302325581395349,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.09302325581395349,0.20930232558139536,0.0,0.20930232558139536,0.0,0.0,0.13953488372093023,0.0,0.06976744186046512,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.11627906976744186,0.06976744186046512,0.18604651162790697,0.0,0.0,0.0,0.0,0.627906976744186,0.0,0.0,0.0,0.20930232558139536,0.0,0.0,0.0,0.0,0.46511627906976744,0.0,0.0,0.0,0.0
temazepam,0.0,0.15555555555555556,0.7333333333333333,0.4444444444444444,0.4444444444444444,0.0,0.2222222222222222,0.022222222222222223,0.7333333333333333,0.08888888888888889,0.08888888888888889,0.0,0.0,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.0,0.2,0.0,0.0,0.022222222222222223,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.17777777777777778,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.022222222222222223,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.06666666666666667,0.0,0.24444444444444444,0.2,0.0,0.06666666666666667,0.0,0.28888888888888886,0.0,0.1111111111111111,0.1111111111111111,0.0
zopiclone,0.08888888888888889,0.2,0.2,0.2222222222222222,0.2222222222222222,0.0,0.5777777777777777,0.0,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.022222222222222223,0.15555555555555556,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.1111111111111111,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.4222222222222222,0.0,0.0,0.0,0.15555555555555556,0.0,0.0,0.0,0.0,0.3111111111111111,0.0,0.0,0.0,0.5111111111111111,0.08888888888888889,0.022222222222222223,0.0,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0
zaleplon,0.0,0.08888888888888889,0.9111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.17777777777777778,0.0,0.8888888888888888,0.9333333333333333,0.9333333333333333,0.0,0.08888888888888889,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08888888888888889,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.08888888888888889,0.06666666666666667,0.13333333333333333,0.0,0.35555555555555557,0.0,0.08888888888888889,0.08888888888888889,0.0
