model,receptor_scope,feature_table,columns,feature_count,representation,target_policy,future_evaluation,state,limitations
0,alpha1,baseline_features.csv,"[""alpha1|vina_score_min_kcal_mol""]",1,docking minimum archived score,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
0,alpha2,baseline_features.csv,"[""alpha2|vina_score_min_kcal_mol""]",1,docking minimum archived score,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
1,alpha1,baseline_features.csv,"[""alpha1|gamma2_TYR58__any_selected_contact__binary"", ""alpha1|gamma2_PHE77__any_selected_contact__binary"", ""alpha1|alpha_HIS102__any_selected_contact__binary"", ""alpha1|alpha_LYS156__any_selected_contact__binary"", ""alpha1|alpha_SER205__any_selected_contact__binary"", ""alpha1|gamma2_ASN60__any_selected_contact__binary""]",6,binary any selected residue contact,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
1,alpha2,baseline_features.csv,"[""alpha2|gamma2_TYR58__any_selected_contact__binary"", ""alpha2|gamma2_PHE77__any_selected_contact__binary"", ""alpha2|alpha_HIS102__any_selected_contact__binary"", ""alpha2|alpha_LYS156__any_selected_contact__binary"", ""alpha2|alpha_SER205__any_selected_contact__binary"", ""alpha2|gamma2_ASN60__any_selected_contact__binary""]",6,binary any selected residue contact,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
2,alpha1,baseline_features.csv,"[""alpha1|gamma2_TYR58__any_selected_contact__frequency"", ""alpha1|gamma2_PHE77__any_selected_contact__frequency"", ""alpha1|alpha_HIS102__any_selected_contact__frequency"", ""alpha1|alpha_LYS156__any_selected_contact__frequency"", ""alpha1|alpha_SER205__any_selected_contact__frequency"", ""alpha1|gamma2_ASN60__any_selected_contact__frequency""]",6,type-collapsed pose-union frequency,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
2,alpha2,baseline_features.csv,"[""alpha2|gamma2_TYR58__any_selected_contact__frequency"", ""alpha2|gamma2_PHE77__any_selected_contact__frequency"", ""alpha2|alpha_HIS102__any_selected_contact__frequency"", ""alpha2|alpha_LYS156__any_selected_contact__frequency"", ""alpha2|alpha_SER205__any_selected_contact__frequency"", ""alpha2|gamma2_ASN60__any_selected_contact__frequency""]",6,type-collapsed pose-union frequency,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
3,alpha1,raw_fingerprint.csv,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",18,type-resolved frequency plus P/T,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
3,alpha2,raw_fingerprint.csv,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",18,type-resolved frequency plus P/T,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
4,alpha1,raw_fingerprint.csv,"[""alpha1|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha1|gamma2_TYR58__pi_stack__frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha1|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha1|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha1|gamma2_TYR58__pi_stack__angle_mean"", ""alpha1|gamma2_TYR58__pi_stack__offset_mean"", ""alpha1|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha1|gamma2_PHE77__pi_stack__frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha1|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha1|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha1|gamma2_PHE77__pi_stack__angle_mean"", ""alpha1|gamma2_PHE77__pi_stack__offset_mean"", ""alpha1|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha1|alpha_HIS102__pi_stack__frequency"", ""alpha1|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha1|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha1|alpha_HIS102__pi_stack__centdist_mean"", ""alpha1|alpha_HIS102__pi_stack__angle_mean"", ""alpha1|alpha_HIS102__pi_stack__offset_mean"", ""alpha1|alpha_LYS156__hydrogen_bond__frequency"", ""alpha1|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha1|alpha_SER205__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha1|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha1|gamma2_ASN60__halogen_bond__frequency""]",27,type-resolved frequency plus P/T plus geometry,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
4,alpha2,raw_fingerprint.csv,"[""alpha2|gamma2_TYR58__hydrophobic_interaction__frequency"", ""alpha2|gamma2_TYR58__pi_stack__frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_P_frequency"", ""alpha2|gamma2_TYR58__pi_stack__type_T_frequency"", ""alpha2|gamma2_TYR58__pi_stack__centdist_mean"", ""alpha2|gamma2_TYR58__pi_stack__angle_mean"", ""alpha2|gamma2_TYR58__pi_stack__offset_mean"", ""alpha2|gamma2_PHE77__hydrophobic_interaction__frequency"", ""alpha2|gamma2_PHE77__pi_stack__frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_P_frequency"", ""alpha2|gamma2_PHE77__pi_stack__type_T_frequency"", ""alpha2|gamma2_PHE77__pi_stack__centdist_mean"", ""alpha2|gamma2_PHE77__pi_stack__angle_mean"", ""alpha2|gamma2_PHE77__pi_stack__offset_mean"", ""alpha2|alpha_HIS102__hydrophobic_interaction__frequency"", ""alpha2|alpha_HIS102__pi_stack__frequency"", ""alpha2|alpha_HIS102__pi_stack__type_P_frequency"", ""alpha2|alpha_HIS102__pi_stack__type_T_frequency"", ""alpha2|alpha_HIS102__pi_stack__centdist_mean"", ""alpha2|alpha_HIS102__pi_stack__angle_mean"", ""alpha2|alpha_HIS102__pi_stack__offset_mean"", ""alpha2|alpha_LYS156__hydrogen_bond__frequency"", ""alpha2|alpha_LYS156__hydrophobic_interaction__frequency"", ""alpha2|alpha_SER205__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrogen_bond__frequency"", ""alpha2|gamma2_ASN60__hydrophobic_interaction__frequency"", ""alpha2|gamma2_ASN60__halogen_bond__frequency""]",27,type-resolved frequency plus P/T plus geometry,"same endpoint, assay/context, drug split and eligible drug cohort across models; evaluate each y separately",drug-grouped held-out evaluation after n expansion; preprocessing fit within training folds; compare model5 against best prespecified single-block baseline,definition_and_features_only; no_training_no_CV_no_importance,Model1/2 cover six named sites and selected interaction types only; not all receptor residues. Docking poses not independent drugs. Geometry missingness retained.
