drug_id,molecule_chembl_id,canonical_smiles,standard_inchikey,identity_status,chirality,source_file,source_json_pointer,source_sha256,retrieved_at_utc,chembl_version,role,docking_status,stereochemistry_policy
diazepam,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00009.json.gz,,ee0b3e7e09eae193e3bf636a5cb5c4a51da08b78ecea76d2054664ee2f7a218e,2026-09-18T02:17:59.659258+00:00,ChEMBL_37,legacy,existing_only,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
alprazolam,CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00029.json.gz,,496a5884b1c6627526ffad3abdf3433d03f5874732e53a5928170a818b4ff1ce,2026-09-18T02:18:46.690769+00:00,ChEMBL_37,legacy,existing_only,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
triazolam,CHEMBL646,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,JOFWLTCLBGQGBO-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00047.json.gz,,41763168eb4ad3626548b65f25dae1d5987988d490ad2b2b5a690589b35a23a0,2026-09-18T02:19:17.021960+00:00,ChEMBL_37,legacy,existing_only,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
zolpidem,CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00053.json.gz,,3d72ebd13c5ecbff566aba18b7f501ac5b6e08fd8f2e710e8a09f705527d383f,2026-09-18T02:19:29.370297+00:00,ChEMBL_37,legacy,existing_only,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
lorazepam,CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,id_and_inchikey_verified,0,raw/responses/request_00017.json.gz,,3995c81a73d6df7f3e10b2f4966d8b29f943f1c60eb7c05caca92ac04f2526b9,2026-09-18T02:18:17.997065+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
clonazepam,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,DGBIGWXXNGSACT-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00023.json.gz,,b381bcd6cd203344449360921e57f282f253d9d2bf6bd665224e423947b8eb35,2026-09-18T02:18:29.597903+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
midazolam,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00035.json.gz,,c8cff39a9b12b00c8d170a79bf8410bd16a32048b9d181d2e197bdbb90efcd10,2026-09-18T02:18:55.092184+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
temazepam,CHEMBL967,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,SEQDDYPDSLOBDC-UHFFFAOYSA-N,id_and_inchikey_verified,0,raw/responses/request_00041.json.gz,,3564a3ed74a3729191fd2d1881b08bd20c81003abf44146e796413d8e2be730d,2026-09-18T02:19:05.083452+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
zopiclone,CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,GBBSUAFBMRNDJC-UHFFFAOYSA-N,id_and_inchikey_verified,0,raw/responses/request_00059.json.gz,,474c30146739f50e1c683713aa040bf8301ec9ea32b90d12f4a8a5fc1a499081,2026-09-18T02:19:39.136911+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
zaleplon,CHEMBL1521,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,HUNXMJYCHXQEGX-UHFFFAOYSA-N,id_and_inchikey_verified,2,raw/responses/request_00065.json.gz,,0e1f215f955873b855e86357cb76430a737bc1f86fb8c3b336c3b2d0d27fc467,2026-09-18T02:19:49.663684+00:00,ChEMBL_37,new,not_started_preflight_blocked,use recorded SMILES without inventing stereochemistry; unspecified stereocentres require explicit handling before 3D generation
