drug_id,input_drug_name,molecule_chembl_id,expected_standard_inchikey,ifp_available,identity_source,identity_source_commit,identity_note
diazepam,Diazepam,CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,True,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
lorazepam,Lorazepam,CHEMBL580,DIWRORZWFLOCLC-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
clonazepam,Clonazepam,CHEMBL452,DGBIGWXXNGSACT-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
alprazolam,Alprazolam,CHEMBL661,VREFGVBLTWBCJP-UHFFFAOYSA-N,True,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
midazolam,Midazolam,CHEMBL655,DDLIGBOFAVUZHB-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
temazepam,Temazepam,CHEMBL967,SEQDDYPDSLOBDC-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
triazolam,Triazolam,CHEMBL646,JOFWLTCLBGQGBO-UHFFFAOYSA-N,True,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
zolpidem,Zolpidem,CHEMBL911,ZAFYATHCZYHLPB-UHFFFAOYSA-N,True,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
zopiclone,Zopiclone,CHEMBL135400,GBBSUAFBMRNDJC-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
zaleplon,Zaleplon,CHEMBL1521,HUNXMJYCHXQEGX-UHFFFAOYSA-N,False,data/raw/pharmacology/chembl/molecules.csv,dc2c07ded7a3655ff3176ad1db40007b1a90fa83,Existing ID assignment; independently check full InChIKey on retrieval. No name resolution.
